time_s,conducting_positions,requested_positions,transition_count,maximum_kcl_residual_a,stored_energy_j,total_loss_w,diode_dc_voltage_v,full_bridge_dc_voltage_v,flying_capacitor_voltage_v,blocked_topologies
1e-05,26,16,16,1.42067347469e-14,1.38281561178e-09,0.116817984448,3.74097168131,6.68251690805,0.00018097116677,0
2e-05,24,16,16,9.05959335329e-15,1.38881363615e-09,0.123625611419,4.03379186539,6.91821730899,0.000974456058472,0
3e-05,24,16,16,3.27450740134e-14,1.36258552126e-09,0.124464390912,4.31510355622,7.14816197169,0.00173474864771,0
4e-05,27,16,16,1.77634599738e-14,1.32503064734e-09,0.125696778843,4.59313490093,7.37211915036,0.00204535172139,0
5e-05,26,16,16,3.57734675216e-14,1.28815067164e-09,0.126928348415,4.86773589761,7.58986274493,0.00236466372726,0
6e-05,27,16,16,2.98823465972e-14,1.25117177171e-09,0.128313538241,5.13863463908,7.80117252538,0.00267116192773,0
7e-05,27,16,16,4.32414520857e-14,1.21405323717e-09,0.1298104748,5.40556073515,8.00583435043,0.0029645703698,0
8e-05,27,16,16,2.80660911178e-14,1.17676414299e-09,0.131413717005,5.66824741729,8.20364038024,0.00324462524302,0
9e-05,26,16,16,2.044154776e-14,1.13928370415e-09,0.133117344784,5.92643183011,8.39438928299,0.00351107513388,0
0.0001,25,16,16,1.76612197089e-14,1.10160145747e-09,0.134799760574,6.17985529204,8.57788643505,0.00376368126808,0
0.00011,23,16,16,1.99102886955e-14,1.06371739282e-09,0.136988038725,6.42826355162,8.75394411463,0.00400221774053,0
0.00012,21,14,17,1.97715108174e-14,1.02564203489e-09,0.127497197508,6.67140703944,9.15226261641,0.0042264717329,1
0.00013,20,14,17,7.54864920571e-15,9.87396475133e-10,0.129058092477,6.90904111548,9.29358611434,0.00443624371833,1
0.00014,19,14,17,1.59386392973e-14,9.49012354026e-10,0.130543928593,7.14092631176,9.42671382048,0.00463134765339,1
0.00015,20,14,17,4.44121735915e-15,9.10531793386e-10,0.131985077442,7.36682856982,9.55150637267,0.00481161115675,1
0.00016,22,16,20,2.46365428058e-14,8.72007279283e-10,0.145744443633,7.58651947307,9.58593011709,0.00497687567476,0
0.00017,22,16,20,1.77646525962e-14,8.33501495937e-10,0.147369826539,7.79977647349,9.70349891846,0.00512699663338,0
0.00018,21,16,20,8.88189261722e-15,7.95087111272e-10,0.148901950214,8.00638311271,9.81244716602,0.00526184357671,0
0.00019,20,16,20,1.33223510349e-14,7.56846515054e-10,0.150300169549,8.20612923712,9.91265858736,0.00538130029164,0
0.0002,19,15,21,7.35089072945e-15,7.18871510701e-10,0.151400031404,8.39881120678,10.0040252986,0.00548526491876,0
0.00021,19,15,21,8.43769498715e-15,6.81262961969e-10,0.152522128399,8.584232098,10.0864479132,0.00557365004921,0
0.00022,19,15,21,6.30571983518e-15,6.44130396045e-10,0.153531983483,8.7622018994,10.1598356422,0.0056463828076,0
0.00023,20,15,21,8.88032052407e-15,6.07591564677e-10,0.154425538836,8.93253770107,10.224106386,0.00570340492065,0
0.00024,21,16,23,1.44120826384e-14,5.71771965071e-10,0.155447716562,9.09506387696,10.2791868182,0.00574467277174,0
0.00025,21,16,23,1.19019377687e-14,5.36804322653e-10,0.156120426049,9.24961226003,10.32501246,0.00577015744117,0
0.00026,20,16,23,8.55218673657e-15,5.02828037754e-10,0.156666507914,9.3960223101,10.3615277466,0.0057798447321,0
0.00027,21,16,23,1.3936768406e-14,4.69988598462e-10,0.157082369765,9.53414127431,10.3886860843,0.00577373518221,0
0.00028,20,17,30,2.61249355482e-15,2.83251168635e-10,0.158306185981,9.66382433986,10.4064498995,0.004191077516,0
0.00029,21,17,30,1.29705274299e-14,9.19713726616e-11,0.158720611673,9.78493477908,10.4147906779,-0.00100813864288,0
0.0003,22,17,30,1.32589794179e-14,1.11449673766e-09,0.159108908615,9.89734408646,10.4136889959,-0.0102719267665,0
0.00031,22,17,30,1.12583553591e-15,3.3887979658e-09,0.160110146717,10.0009321077,10.4031345421,-0.0182986327875,0
0.00032,22,17,30,2.46157261241e-15,5.36533426485e-09,0.160943283815,10.0955871607,10.3831261306,-0.0231092057774,0
0.00033,23,17,30,4.04017097555e-15,7.82806133399e-09,0.16189080004,10.1812061478,10.3536717048,-0.0279550779939,0
0.00034,21,17,30,4.68716862198e-15,1.07540739821e-08,0.162911210757,10.2576946603,10.3147883327,-0.0327856046563,0
0.00035,23,17,30,2.66106581215e-15,1.41278049264e-08,0.164072310115,10.3249670737,10.2665021927,-0.0375859282486,0
0.00036,27,17,38,3.99680288865e-15,1.79348374363e-08,0.313695303811,10.382946635,10.2088485512,-0.0423492554069,0
0.00037,27,17,38,4.06364395258e-15,2.21564457226e-08,0.199042588282,10.4616117701,10.1418717303,-0.0470706338383,0
0.00038,28,17,38,1.1411498916e-15,2.67760277823e-08,0.204350220404,10.5222149212,10.0656250677,-0.0517455579848,0
0.00039,28,17,38,1.16042158521e-15,3.17753848838e-08,0.208875283259,10.5733327854,9.98017086701,-0.0563696591609,0
0.0004,28,17,38,1.02587209561e-15,3.71351777462e-08,0.214231008123,10.6149041164,9.88558033933,-0.0609386392216,0
0.00041,28,17,38,4.01385196781e-16,4.28347462813e-08,0.219925497009,10.646876667,9.78193353634,-0.0654482588855,0
0.00042,28,17,38,2.26312295726e-15,4.88521857738e-08,0.22593625195,10.6692074464,9.66931927458,-0.0698943382923,0
0.00043,28,17,38,2.22044604925e-16,5.51644298634e-08,0.232239639015,10.6818627654,9.54783505106,-0.0742727602605,0
0.00044,28,17,38,1.66533453694e-16,6.17473384025e-08,0.238810979738,10.6848182728,9.41758695048,-0.0785794741052,0
0.00045,29,17,38,2.22044604925e-16,6.85757894398e-08,0.245636618861,10.6780589822,9.27868954389,-0.0828104995276,0
0.00046,29,17,38,2.22044604925e-16,7.56237748739e-08,0.25290639644,10.6615792899,9.13126577909,-0.0869619304684,0
0.00047,29,17,38,2.77555756156e-16,8.28644993835e-08,0.260500365877,10.635382983,8.97544686278,-0.0910299388932,0
0.00048,31,17,38,2.22044604925e-16,9.02704822438e-08,0.268416080395,10.5994832394,8.81137213459,-0.0950107785042,0
