time_s,SENSE_v_pu,DRIVEN_v_pu,MODUL_v_pu,SWOUT_v_pu,OBSOUT_v_pu,OBSIN_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,DRIVEN.SWOUT_pu,FILTER_pu,SENSE_pu,OBSIN_pu,OBSOUT_pu,PULSE_pu,RAMP_pu
0,10,0,0,0,4,4,10,0,0,0,4,4,0,0,10,0,0,0,0
5e-05,10,0,0,0,4,4,10,0,0,0,4,4,0,0.243902439024,10,4,1,2,1
0.0001,10,0.121951212243,0.487804878049,0.121951212121,4,4,10,0.121951212243,0.487804878049,0.121951212121,4,4,0.121951213017,0.719809637121,10,4,1,0,2
0.00015,10,0.359904797108,1.43961927424,0.359904796748,4,4,10,0.359904797108,1.43961927424,0.359904796748,4,4,0.359904828162,1.17250184994,10,4,1,0,5.42101086243e-16
0.0002,10,0.586250890029,2.34500369989,0.586250889443,4,4,10,0.586250890029,2.34500369989,0.586250889443,4,4,0.586250936685,1.6031115158,10,4,1,2,1
0.00025,10,0.801555710124,3.2062230316,0.801555709322,4,4,10,0.801555710124,3.2062230316,0.801555709322,4,4,0.801555710694,2.0127158321,10,4,1,2,2
0.0003,10,1.00635785607,4.02543166421,1.00635785506,4,4,10,1.00635785607,4.02543166421,1.00635785506,4,4,1.00635788591,2.40233945005,10,4,1,0,1.08420217249e-15
