time_s,BUSA2_v_pu,BUSAS2_v_pu,BUSB2_v_pu,BUSBS2_v_pu,BUSC2_v_pu,BUSCS2_v_pu,BUSMG_v_pu,BUSMGR_v_pu,BUSMS_v_pu,UM1TLA_v_pu,UM1TLB_v_pu,UM1TLC_v_pu,UM1MCC_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,branch_current_branch_fixed_1_pu,branch_current_branch_fixed_7_pu,branch_current_branch_fixed_9_pu,branch_current_branch_fixed_10_pu,torque_Nm_pu,mechanical_speed_rad_s_pu,mechanical_angle_rad_pu,phase_a_current_A_pu,phase_b_current_A_pu,phase_c_current_A_pu,shorted_rotor_axis_current_1_A_pu,shorted_rotor_axis_current_2_A_pu
0.0026,1601.23484555,1670.62684946,129.971158422,1322.63802222,-1731.20600397,-2993.26487168,184.725629057,92.3628145283,184.721663986,1592.91231485,-13.1513124887,-1579.76100236,184.725629057,1670.62684946,1601.23484555,184.725629057,-375.813700301,203.084464662,-1.55797344446,-3965.07077065,-4166.59726147,184.725648031,1.26568484828,-375.813700301,203.937935357,171.875764945,173.65391469,-335.540463773
0.0028,1515.75078204,1478.18202464,274.630627196,1521.71270019,-1790.38140924,-2999.89472484,184.725625737,92.3628128685,184.721660666,1520.2635465,124.978623956,-1645.24217046,184.725625737,1478.18202464,1515.75078204,184.725625737,-376.131180821,203.084461012,-1.69529980421,-3965.07077059,-4166.45993148,184.725648031,1.30262997788,-376.131180821,179.540062511,196.591118311,173.142048441,-335.790720564
0.003,1421.63175083,1277.3378747,417.526396033,1712.14070305,-1839.15814686,-2989.47857775,184.725622138,92.3628110688,184.721657067,1438.95150771,262.170829718,-1701.12233742,184.725622138,1277.3378747,1421.63175083,184.725622138,-374.311804043,203.084457055,-1.83202895522,-3965.07077059,-4166.32319836,184.725648031,1.33957510749,-374.311804043,154.122765048,220.189038995,172.628930018,-336.040716741
0.0032,1319.44086683,1069.23563614,558.261378395,1892.83998091,-1877.70224522,-2962.07561705,184.725618262,92.3628091312,184.721653192,1349.4699389,398.110412127,-1747.58035103,184.725618262,1069.23563614,1319.44086683,184.725618262,-370.366068297,203.084452795,-1.96568658948,-3965.07077056,-4166.18953649,184.725648031,1.3765202371,-370.366068297,127.830553999,242.535514298,172.114783513,-336.290586208
0.0034,1209.76373398,855.05778741,695.603732335,2062.7837644,-1905.36746631,-2917.84155181,184.725614117,92.3628070583,184.721649046,1252.33281936,531.540918733,-1783.8737381,184.725614117,855.05778741,1209.76373398,184.725614117,-364.316221842,203.084448237,-2.097217381,-3965.07077059,-4166.05800114,184.725648031,1.4134653667,-364.316221842,100.81273901,263.503482832,171.599484112,-336.540293607
0.0036,1093.18538208,636.021329766,829.220597057,2221.00639907,-1922.40597913,-2857.02772884,184.725609707,92.3628048535,184.721644636,1148.04934272,662.20542214,-1810.25476486,184.725609707,636.021329766,1093.18538208,184.725609707,-356.19680134,203.084443389,-2.22421878576,-3965.07077059,-4165.93099488,184.725648031,1.45041049631,-356.19680134,73.2229066336,282.973894707,171.083263325,-336.789962375
0.0038,970.439460222,413.370872054,957.891860876,2366.60883234,-1928.3313211,-2779.97970439,184.725605042,92.3628025209,184.721639971,1037.29184345,788.845281688,-1826.13712513,184.725605042,413.370872054,970.439460222,184.725605042,-346.053772685,203.084438261,-2.34767070413,-3965.07077059,-4165.80753779,184.725648031,1.48735562592,-346.053772685,45.2177604581,300.836012227,170.566000884,-337.039551132
0.004,842.11945411,188.371558588,1081.35856762,2498.76372213,-1923.47802173,-2687.13528072,184.725600131,92.3628000653,184.72163506,920.573208912,911.269745603,-1831.84295451,184.725600131,188.371558588,842.11945411,184.725600131,-333.944927849,203.084432861,-2.46525785327,-3965.07077056,-4165.6899453,184.725648031,1.52430075552,-333.944927849,16.9564770242,316.988450825,170.047934368,-337.289172108
0.0042,709.090744746,-37.6981196503,1198.43784019,2616.720138,-1907.52858494,-2579.02201835,184.725594984,92.3627974922,184.721629914,798.70924774,1028.24410126,-1826.953349,184.725594984,-37.6981196503,709.090744746,184.725594984,-319.938906366,203.084427204,-2.57800871134,-3965.07077056,-4165.57718877,184.725648031,1.56124588513,-319.938906366,-11.4004030551,331.339309421,169.528946724,-337.538777301
0.0044,571.941310487,-263.553589652,1308.95274552,2719.80782807,-1880.89405601,-2456.25423842,184.725589615,92.3627948077,184.721624545,672.204347889,1139.65061191,-1811.8549598,184.725589615,-263.553589652,571.941310487,184.725589615,-304.115444667,203.084421301,-2.68370860815,-3965.07077056,-4165.47148294,184.725648031,1.59819101473,-304.115444667,-39.6917257666,343.807170433,169.009280176,-337.788467211
0.0046,431.649269783,-487.911495585,1411.78220326,2807.44102752,-1843.43147304,-2319.52953193,184.725584037,92.3627920183,184.721618966,542.000000398,1244.30395743,-1786.30395783,184.725584037,-487.911495585,431.649269783,184.725584037,-286.564297332,203.084415168,-2.78344655037,-3965.07077053,-4165.37173888,184.725648031,1.63513614434,-286.564297332,-67.7567573862,354.321054718,168.488819504,-338.038186824
0.0048,288.782951924,-709.496991071,1506.837637,2879.12178702,-1795.62058892,-2169.62479595,184.725578263,92.3627891313,184.721613192,408.579753707,1342.16468423,-1750.74443793,184.725578263,-709.496991071,288.782951924,184.725578263,-267.385336299,203.08440882,-2.87511983514,-3965.07077056,-4165.28005927,184.725648031,1.67208127395,-267.385336299,-95.4360239362,362.821360235,167.967810108,-338.288024599
0.005,144.411956644,-927.050983125,1593.08286673,2934.4428022,-1737.49482338,-2007.39181908,184.725572308,92.3627861542,184.721607238,272.990469665,1432.12114535,-1705.11161501,184.725572308,-927.050983125,144.411956644,184.725572308,-246.687393398,203.084402274,-2.95988705754,-3965.07077056,-4165.19528547,184.725648031,1.70902640355,-246.687393398,-122.572246783,369.259640181,167.446137195,-338.537918331
0.0052,-0.929020770236,-1139.33728657,1670.522036,2973.08972802,-1669.59301523,-1833.75244146,184.72556619,92.3627830952,184.72160112,135.682666184,1514.2157011,-1649.89836728,184.72556619,-1139.33728657,-0.929020770236,184.72556619,-224.588210067,203.084395548,-3.03576681018,-3965.07077056,-4165.11939898,184.725648031,1.74597153316,-224.588210067,-149.011251474,373.599461541,166.924047863,-338.787944344
0.0054,-146.101951675,-1345.14964827,1738.22502779,2994.84296494,-1592.12307611,-1649.69331667,184.725559925,92.3627799627,184.721594855,-2.21381352437,1587.43297056,-1585.21915704,184.725559925,-1345.14964827,-146.101951675,184.725559925,-201.213224642,203.08438866,-3.10399445891,-3965.07077053,-4165.05116442,184.725648031,1.78291666277,-201.213224642,-174.602784152,375.816008794,166.401426346,-339.038033284
0.0056,-290.61926603,-1543.31860134,1796.29095729,2999.57890673,-1505.67169126,-1456.26030539,184.725553531,92.3627767654,184.72158846,-140.293225448,1651.89879377,-1511.60556833,184.725553531,-1543.31860134,-290.61926603,184.725553531,-176.695376414,203.08438163,-3.16271647811,-3965.07077056,-4164.99243541,184.725648031,1.81986179237,-176.695376414,-199.201469214,375.896845628,165.87851999,-339.288249452
0.0058,-433.298853632,-1732.71811027,1843.91455416,2987.27064282,-1410.61570053,-1254.55253255,184.725547025,92.3627735123,184.721581954,-277.36672875,1706.71449553,-1429.34776678,184.725547025,-1732.71811027,-433.298853632,184.725547025,-151.173862625,203.084374477,-3.21324944496,-3965.07077053,-4164.94189528,184.725648031,1.85680692198,-151.173862625,-222.667487726,373.841350351,165.355210691,-339.538516588
