time_s,rms_value,stored_energy_j,kcl_residual_a,valid
0.00096,0,4.01138739051e-07,5.81911634764e-19,0
0.00097,0,4.09276520151e-07,4.06575814682e-19,0
0.00098,0,4.17493776971e-07,1.7763568394e-15,0
0.00099,0,4.25778518514e-07,1.7763568394e-15,0
0.001,0,4.34142195821e-07,1.69406589451e-20,0
0.00101,0,4.42572597857e-07,1.7763568394e-15,0
0.00102,0,4.51081383698e-07,1.7763568394e-15,0
0.00103,0,4.59656123436e-07,1.99899775552e-19,0
0.00104,0,4.68308683113e-07,7.45388993584e-20,0
0.00105,0,4.77026415128e-07,4.76032516357e-19,0
0.00106,0,4.85821391415e-07,3.7947076037e-19,0
0.00107,0,4.94680747859e-07,3.5527136788e-15,0
0.00108,0,5.03616761212e-07,3.5527136788e-15,0
0.00109,0,5.12616352031e-07,2.60886147754e-19,0
0.0011,0,5.21692000805e-07,5.26854493192e-19,0
0.00111,0,5.30830413958e-07,8.14845695259e-19,0
0.00112,0,5.40044274631e-07,1.35355864971e-18,0
0.00113,0,5.49320076312e-07,3.5527136788e-15,0
0.00114,0,5.58670703706e-07,3.5527136788e-15,0
0.00115,0,5.68082438572e-07,4.70950318673e-19,0
0.00116,0,5.77568366081e-07,3.5527136788e-15,0
0.00117,0,5.87114557479e-07,3.5527136788e-15,0
0.00118,0,5.96734297304e-07,6.09863722023e-20,0
0.00119,0,6.06413447503e-07,2.01593841447e-19,0
0.0012,0,6.16165490883e-07,3.5527136788e-15,0
0.00121,0,6.25976081314e-07,3.5527136788e-15,0
0.00122,0,6.35858898763e-07,5.96311194867e-19,0
0.00123,0,6.45799390255e-07,2.37169225231e-20,0
0.00124,0,6.55811431805e-07,3.01543729223e-19,0
0.00125,0,6.65880264829e-07,1.02321580028e-18,0
0.00126,0,6.76019960276e-07,1.43995601033e-18,0
0.00127,0,6.86215555191e-07,4.16740210049e-19,0
0.00128,0,6.96481314337e-07,3.5527136788e-15,0
0.00129,0,7.06802071638e-07,1.08420217249e-18,0
0.0013,0,7.17192284546e-07,3.5527136788e-15,0
0.00131,0,7.27636585117e-07,3.5527136788e-15,0
0.00132,0,7.38149622366e-07,3.5527136788e-15,0
0.00133,0,7.48715827734e-07,2.03287907341e-19,0
0.00134,0,7.59350040669e-07,3.5527136788e-15,0
0.00135,0,7.70036493265e-07,9.92722614182e-19,0
0.00136,0,7.80790214265e-07,3.23227772672e-18,0
0.00137,0,7.91595237682e-07,2.39540917484e-18,0
0.00138,0,8.02466780417e-07,3.5527136788e-15,0
0.00139,0,8.13388679677e-07,2.23616698075e-19,0
0.0014,0,8.24376339376e-07,8.57197342621e-19,0
0.00141,0,8.35413401194e-07,6.64073830647e-19,0
0.00142,0,8.46515454913e-07,7.1054273576e-15,0
0.00143,0,8.57665947971e-07,8.50421079043e-19,0
0.00144,0,8.68880654866e-07,1.61275073157e-18,0
0.00145,0,8.80142830082e-07,8.80914265144e-20,0
0.00146,0,8.91468431682e-07,3.5527136788e-15,0
0.00147,0,9.02840522489e-07,7.45388993584e-19,0
0.00148,0,9.14275242973e-07,3.5527136788e-15,0
0.00149,0,9.25755465595e-07,3.5527136788e-15,0
0.0015,0,9.37297512071e-07,3.5527136788e-15,0
0.00151,0,9.48884065806e-07,1.31798326593e-18,0
0.00152,0,9.60531628597e-07,1.35186458382e-18,0
0.00153,0,9.722226961e-07,1.18923425795e-18,0
0.00154,0,9.83973949024e-07,2.55465136892e-18,0
0.00155,0,9.95767696593e-07,3.59141969636e-19,0
0.00156,0,1.00762079726e-06,1.14518854469e-18,0
0.00157,0,1.01951537512e-06,1.76182853029e-19,0
0.00158,0,1.03146846521e-06,1.03676832744e-18,0
0.00159,0,1.04346200782e-06,7.72494047896e-19,0
0.0016,0,1.05551321338e-06,3.5527136788e-15,0
0.00161,0,1.06760383972e-06,3.5527136788e-15,0
0.00162,0,1.07975127146e-06,9.89334482393e-19,0
0.00163,0,1.09193708531e-06,3.5527136788e-15,0
