time_s,phase_a_voltage_v,phase_b_voltage_v,phase_c_voltage_v,phase_a_current_a,phase_b_current_a,phase_c_current_a,zero_current_a,d_axis_current_a,q_axis_current_a,electromagnetic_torque_nm,shaft_mass_1_speed_rad_s,terminal_power_w,rotor_port_power_w,magnetic_coenergy_j,kinetic_energy_j,elastic_energy_j,dissipated_energy_j,maximum_energy_residual_j,maximum_energy_quadrature_defect_j,event_count,control_sample_count
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.49555921538757,0.0,0.0,0.0,31089.25386343147,0.0,0.0,0.0,0.0,0,0
1.0e-5,1.2252182327145844,-282.0688652738847,280.84364704117013,0.00038027836472687973,-0.15574934301845814,0.15536906465373126,1.3877787807814457e-17,-0.00036361496260091386,-0.21999412832584947,2.0309205528964174e-7,188.4955570611532,87.56692113108474,0.0,0.0002188888058011243,31089.253152820154,0.0,0.0007106683112437858,9.843166808975318e-11,0.000218888803152715,0,0
2.0e-5,2.4504190523660547,-282.6754654948903,280.22504644252433,0.0016512410556784709,-0.46746079702598076,0.4658095559703023,5.551115123125783e-17,-0.0029533543826252284,-0.6599182854598971,-6.093636936851259e-7,188.4955549069171,262.675249087624,0.0,0.0019696515172199914,31089.25244220828,0.0,0.0014218477375280104,3.8796237403215805e-10,0.000218888803152715,0,0
3.0000000000000004e-5,3.675585046138776,-283.27804827182763,279.60246322568895,0.0041095256244526885,-0.7796802047580879,0.7755706791336352,0.0,-0.0074045718061125365,-1.0997150360619101,-7.106561165940731e-6,188.49555275266016,437.73286388236687,0.0,0.0054699075421159645,31089.251731589524,0.0,0.0021343898036005633,1.1595425483505728e-9,0.000218888803152715,0,0
4.0e-5,4.900698801712063,-283.8766050406616,278.9759062389495,0.00775481108398268,-1.0924046432229002,1.0846498321389177,1.1102230246251565e-16,-0.013716290076281723,-1.5393781742558994,-2.4156587201544987e-5,188.49555059833597,612.737295315038,0.0,0.010718259031672362,31089.251020948606,0.0,0.0028492021451751405,1.9111848301861523e-9,0.000218888803152715,0,0
5.0e-5,6.125742907507657,-284.4711272945756,278.34538438706784,0.012586773851737693,-1.4056311881909298,1.3930444143391918,-2.220446049250313e-16,-0.02188750607592682,-1.9789014986831552,-5.66228752439062e-5,188.49554844387032,787.6860749832383,0.0,0.017713293331931352,31089.25031026103,0.0,0.0035671916745340314,2.687538688990465e-9,0.000218888803152715,0,0
6.000000000000001e-5,7.350699952937171,-285.06160658409226,277.71090663115507,0.018605087737649864,-1.719356914136765,1.7007518263991153,1.1102230246251565e-16,-0.031917190752502544,-2.418278812588412,-0.00010936386429094471,188.49554628916124,962.5767363167421,0.0,0.026453582994870363,31089.249599493163,0.0,0.00428926457831363,3.455198124141523e-9,0.000218888803152715,0,0
7.000000000000001e-5,8.57555252864954,-285.64803451719405,277.0724819885445,0.02580942393129652,-2.0335788941805224,2.0077694702492255,-2.220446049250313e-16,-0.043804289143553166,-2.8575039239059024,-0.00018723265853070117,188.495544134079,1137.4068146117502,0.0,0.0369376857891834,31089.248888602215,0.0,0.005016326315285591,4.223102215150654e-9,0.000218888803152715,0,0
8.0e-5,9.800283226778445,-286.2304027594419,276.43011953266347,0.034199450988340284,-2.3482942000290685,2.314094749040729,4.440892098500626e-16,-0.057547720402500224,-3.296570645345314,-0.0002950766876805232,188.4955419784662,1312.1738470651053,0.0,0.049164144710769096,31089.24817753625,0.0,0.005749281614133115,4.9883129189798314e-9,0.000218888803152715,0,0
9.0e-5,11.02487464118972,-286.8087030340941,275.78382839290435,0.04377483481622733,-2.663499901917028,2.6197250671008008,0.0,-0.07314637782476052,-3.7354727944776442,-0.0004377373680489183,188.4955398221377,1486.8753728084644,0.0,0.06313148799292655,31089.24746623421,0.0,0.006489034471221826,5.750914440841304e-9,0.000218888803152715,0,0
0.0001,12.249309367728726,-287.3829271222235,275.1336177544948,0.05453523865914755,-2.979193068547566,2.9246578298884183,0.0,-0.09059912887423471,-4.174204193820941,-0.0006200497643390973,188.49553766488071,1661.5089329424277,0.0,0.07883822911626064,31089.246754625907,0.0,0.007236488148364722,6.514360918752349e-9,0.000218888803152715,0,0
0.00011,13.473570004467703,-287.95306686283493,274.47949685836727,0.06648032308225559,-3.295370767032973,3.2288904439507173,2.220446049250313e-16,-0.10990481521012652,-4.612758670925945,-0.0008468422522131987,188.4955355064549,1836.0720705706285,0.0,0.09628286681829831,31089.246042632047,0.0,0.00799254517058069,7.278548139200147e-9,0.000218888803152715,0,0
0.00012000000000000002,14.6976391519531,-288.51911415298065,273.82147500102747,0.0796097459551569,-3.612030062835051,3.5324203168798936,0.0,-0.13106225271410965,-5.051130058461629,-0.0011229361816360497,188.49553334659228,2010.5623308337806,0.0,0.11546388510281759,31089.245330164245,0.0,0.00875810732384606,8.04016156083498e-9,0.000218888803152715,0,0
0.00013000000000000002,15.921499413452846,-289.08106094787564,273.1595615344227,0.09392316243465994,-3.9291680197052883,3.8352448572706277,-4.440892098500626e-16,-0.15407023151784593,-5.489312194300608,-0.0014531455410173935,188.4955311849974,2184.9772609436754,0.0,0.13637975324889023,31089.244617125034,0.0,0.009534075652838668,8.800299818728652e-9,0.000218888803152715,0,0
0.00014000000000000001,17.145133395203604,-289.63889926101206,272.4937658658084,0.10942022494679532,-4.246781699624866,4.137361474678072,8.881784197001252e-16,-0.17892751603085788,-5.9272989216044625,-0.0018422766221713113,188.49552902134727,2359.3144102171445,0.0,0.1590289258196404,31089.24390340787,0.0,0.010321350458673946,9.56846109984033e-9,0.000218888803152715,0,0
0.00015000000000000001,18.36852370665797,-290.19262116427274,271.8240974576148,0.12610058316810582,-4.564868162744477,4.438767579576371,-4.440892098500626e-16,-0.20563284496871237,-6.365084088908946,-0.002295127686111547,188.4955268552915,2533.571330109973,0.0,0.18340984267072077,31089.24318889718,0.0,0.011120831296632498,1.0322873292278878e-8,0.000218888803152715,0,0
0.00016,19.591652960731643,-290.74221878804383,271.1505658273122,0.1439638840062075,-4.8834244673239535,4.739460583317746,0.0,-0.234184931381602,-6.802661550209065,-0.0028164886297015017,188.4955246864523,2707.7455742507664,0.0,0.20952092895850707,31089.242473468337,0.0,0.011933416973878664,1.1076325655279273e-8,0.000218888803152715,0,0
0.00017,20.814503774050515,-291.2876843213265,270.47318054727594,0.16300977157962468,-5.2024476696717565,5.039437898092132,0.0,-0.2645824626832103,-7.24002516504406,-0.0034111406531773213,188.49552251442452,2881.8346984747764,0.0,0.23736059514801403,31089.24175698768,0.0,0.012760005547169566,1.1847413265708706e-8,0.000218888803152715,0,0
0.00018,22.037058767197745,-291.829010011848,269.79195124465036,0.18323788719690157,-5.521934824084278,5.338696936887377,4.440892098500626e-16,-0.2968241006799808,-7.677168798582278,-0.004083855928562814,188.49552033877572,3055.8362608576817,0.0,0.26692723702053317,31089.241039312583,0.0,0.013601494320554117,1.2595401808340734e-8,0.000218888803152715,0,0
0.00019,23.259300564960746,-292.3661881661724,269.10688760121167,0.20464786933498993,-5.841882982784999,5.637235113450009,-4.440892098500626e-16,-0.3309084816006771,-8.114086321705901,-0.004839397268994537,188.4955181590462,3229.7478217493162,0.0,0.2982192356809945,31089.240320291407,0.0,0.014458779843061507,1.3351542690887008e-8,0.000218888803152715,0,0
0.0002,24.481211796578133,-292.8992111498087,268.4179993532305,0.22723935361692021,-6.162289195863499,5.935049842246578,-8.881784197001252e-16,-0.3668342161263114,-8.550771611095598,-0.0056825177989753076,188.4955159747491,3403.566943807354,0.0,0.33123495756505544,31089.239599763532,0.0,0.015332757906378657,1.4113920546177106e-8,0.000218888803152715,0,0
0.00021,25.7027750959866,-293.4280713873207,267.7252962913341,0.25101197278875215,-6.483150511214319,6.232138538425567,0.0,-0.404599889420425,-8.987218549315019,-0.006617960625574973,188.49551378537043,3577.2911920309557,0.0,0.36597275444591604,31089.23887755943,0.0,0.016224323542516125,1.4855077307140974e-8,0.000218888803152715,0,0
0.00022,26.923973102067727,-293.95276136243365,267.0287882603659,0.2759653566958109,-6.804463974475693,6.528498617779881,-4.440892098500626e-16,-0.44420406115967515,-9.423421024895198,-0.007650458510596078,188.4955115903691,3750.9181337943464,0.0,0.40243096344086354,31089.2381535006,0.0,0.017134371021462,1.561694774193656e-8,0.000218888803152715,0,0
0.00023,28.144788458894713,-294.4732736181416,266.3284851592469,0.302099132258212,-7.126226628968153,6.824127496709941,-8.881784197001252e-16,-0.4856452655648056,-9.859372932418836,-0.008784733543722903,188.495509389177,3924.445338880371,0.0,0.44060790701755015,31089.237427399647,0.0,0.01806379384882326,1.636932751153397e-8,0.000218888803152715,0,0
0.00024000000000000003,29.36520381597907,-294.98960075681333,265.6243969408343,0.3294129234456727,-7.448435515633002,7.119022592187331,8.881784197001252e-16,-0.5289220114319249,-10.295068172604422,-0.010025496816672336,188.4955071811991,4097.870379513983,0.0,0.48050189300000234,31089.236699060297,0.0,0.01901348476345411,1.7115721992477795e-8,0.000218888803152715,0,0
0.00025,30.58520182851715,-295.5017354402973,264.9165336117802,0.3579063512516178,-7.771087672970679,7.413181321719062,8.881784197001252e-16,-0.5740327821641258,-10.730500652390289,-0.011377448098363899,188.49550496581347,4271.190830395685,0.0,0.5221112145743657,31089.235968277382,0.0,0.019984335735070805,1.786822954874534e-8,0.000218888803152715,0,0
0.00026000000000000003,31.804765157636755,-296.009670390026,264.20490523238925,0.387579033666578,-8.09418013697902,7.706601103312442,0.0,-0.620976035803471,-11.165664285018515,-0.012845275511127519,188.49550274237134,4444.404268734935,0.0,0.5654341502943877,31089.235234836902,0.0,0.02097723796185251,1.8618786644386542e-8,0.000218888803152715,0,0
0.00027,33.023876470643444,-296.5133983871195,263.48952191647606,0.41843058565088775,-8.417709941091406,7.999279355440519,0.0,-0.6697502050632989,-11.600552990118697,-0.014433655207966675,188.49550051019725,4617.508274283486,0.0,0.6104689640866389,31089.234498516045,0.0,0.021993081868027606,1.9357703898159606e-8,0.000218888803152715,0,0
0.00028000000000000003,34.242518441266974,-297.0129122724879,262.7703938312209,0.450460619106678,-8.74167411611482,8.291213497008142,0.0,-0.7203536973608502,-12.035160693791603,-0.01614725105089493,188.49549826858896,4790.500429368678,0.0,0.6572139052554751,31089.233759083174,0.0,0.02303275710144511,2.0092208195821026e-8,0.000218888803152715,0,0
0.00029,35.46067374990744,-297.50820494693323,262.0475311970258,0.4836687428491764,-9.066069690167817,8.582400947318643,1.7763568394002505e-15,-0.772784894850274,-12.469481328692712,-0.017990714290363224,188.49549601681767,4963.378318926694,0.0,0.7056672084877418,31089.23301629786,0.0,0.024097152531130577,2.0846786283335028e-8,0.000218888803152715,0,0
0.00030000000000000003,36.678325083881546,-297.99926937125036,261.3209442873688,0.518054562577307,-9.390893688618414,8.872839126041107,0.0,-0.8270421544559339,-12.903508834115595,-0.019968683245796426,188.495493754128,5136.139530535746,0.0,0.7558270938572274,31089.232269910946,0.0,0.025187156244826134,2.1594416824144425e-8,0.000218888803152715,0,0
0.00031,37.895455137668534,-298.48609856632675,260.5906434286582,0.5536176808436031,-9.716143134021888,9.162525453178286,1.7763568394002505e-15,-0.8831238079060655,-13.337237156075197,-0.02208578298725533,188.49549147973818,5308.7816544492125,0.0,0.8076917668288583,31089.23151966454,0.0,0.026303655546514038,2.2333311339162165e-8,0.000218888803152715,0,0
