frequency_hz,maximum_scattering_singular_value,minimum_admittance_loss_eigenvalue_s
1,0.999979394208,2.06060044167e-07
1.1220184543,0.999979394309,2.0605902536e-07
1.25892541179,0.999979394331,2.06058815558e-07
1.41253754462,0.999979394492,2.06057201419e-07
1.58489319246,0.999979394741,2.06054712869e-07
1.77827941004,0.999979394956,2.06052561651e-07
1.99526231497,0.99997939501,2.06052026732e-07
2.23872113857,0.999979394881,2.06053319262e-07
2.51188643151,0.999979394666,2.0605546399e-07
2.81838293126,0.999979394375,2.06058376851e-07
3.16227766017,0.999979394044,2.06061678472e-07
3.54813389234,0.999979393739,2.06064729603e-07
3.98107170553,0.999979393526,2.06066866286e-07
4.46683592151,0.999979393457,2.06067555379e-07
5.01187233627,0.999979393562,2.06066497307e-07
5.6234132519,0.999979393844,2.06063680985e-07
6.3095734448,0.999979394265,2.06059474485e-07
7.07945784384,0.999979394744,2.06054684479e-07
7.94328234724,0.999979395293,2.06049192065e-07
8.91250938134,0.999979395669,2.06045434274e-07
10,0.999979395675,2.06045367595e-07
11.220184543,0.999979395249,2.06049635388e-07
12.5892541179,0.999979394599,2.06056132931e-07
14.1253754462,0.999979393857,2.06063551826e-07
15.8489319246,0.999979393097,2.06071155341e-07
17.7827941004,0.999979392506,2.0607706006e-07
19.9526231497,0.999979392246,2.06079665485e-07
22.3872113857,0.999979392414,2.06077986046e-07
25.1188643151,0.999979393034,2.06071786907e-07
28.1838293126,0.999979394007,2.06062052562e-07
31.6227766017,0.999979395104,2.06051086184e-07
35.4813389234,0.999979396404,2.06038080162e-07
39.8107170553,0.999979397011,2.06032012489e-07
44.6683592151,0.999979396614,2.06035987092e-07
50.1187233627,0.999979395192,2.06050207609e-07
56.234132519,0.999979393655,2.06065572087e-07
63.095734448,0.999979391954,2.06082579894e-07
70.7945784384,0.99997939058,2.06096327846e-07
79.4328234724,0.999979389961,2.06102516527e-07
89.1250938134,0.999979390353,2.06098597776e-07
100,0.999979391804,2.06084087964e-07
112.20184543,0.999979394008,2.0606203996e-07
125.892541179,0.999979396679,2.0603534294e-07
141.253754462,0.999979399001,2.06012115861e-07
158.489319246,0.999979399322,2.06008911937e-07
177.827941004,0.999979397191,2.0603022268e-07
199.526231497,0.999979393775,2.060643766e-07
223.872113857,0.99997939023,2.06099826149e-07
251.188643151,0.999979387249,2.06129643011e-07
281.838293126,0.99997938592,2.0614293098e-07
316.227766017,0.999979386828,2.06133855325e-07
354.813389234,0.999979390044,2.06101699946e-07
398.107170553,0.999979394843,2.06053751504e-07
446.683592151,0.99997940126,2.05989593863e-07
501.187233627,0.999979404378,2.05958434763e-07
562.34132519,0.999979402338,2.05978865011e-07
630.95734448,0.999979395161,2.06050660292e-07
707.945784384,0.999979385433,2.06147860992e-07
794.328234724,0.99997937946,2.06207841154e-07
891.250938134,0.999979379285,2.06209674278e-07
1000,0.999979381896,2.06183672182e-07
1122.0184543,0.999979389824,2.06104357103e-07
1258.92541179,0.999979404275,2.05959969257e-07
1412.53754462,0.999979414222,2.05860652932e-07
1584.89319246,0.999979413632,2.05866746747e-07
1778.27941004,0.999979401144,2.05991868106e-07
1995.26231497,0.999979387995,2.06124186198e-07
2238.72113857,0.999979387731,2.06127354908e-07
2511.88643151,0.999979394795,2.06057369189e-07
2818.38293126,0.999979408331,2.05922829797e-07
3162.27766017,0.999979422215,2.05785014885e-07
3548.13389234,0.999979430583,2.05701017927e-07
3981.07170553,0.999979419096,2.05817118915e-07
4466.83592151,0.999979398569,2.06026518307e-07
5011.87233627,0.999979382202,2.06192817653e-07
5623.4132519,0.999979378577,2.06232372067e-07
6309.5734448,0.999979373822,2.06284072924e-07
7079.45784384,0.999979338309,2.06638016061e-07
7943.28234724,0.99997926412,2.07384945465e-07
8912.50938134,0.999979129258,2.08740035534e-07
10000,0.999979280601,2.07247203659e-07
