time_s,sending_v_pu,receiving_v_pu
0,0,0
5e-05,0.0188484396212,0
0.0001,0.0376901824874,0
0.00015,0.0565185342125,0.00282785113494
0.0002,0.0753268051723,0.0103654644207
0.00025,0.0941083128771,0.0210320765313
0.0003,0.112856384346,0.033213279703
0.00035,0.131564358476,0.0461879966073
0.0004,0.150225588414,0.0596393939629
0.00045,0.168833443913,0.0734523474968
0.0005,0.187381313693,0.0875980979762
0.00055,0.205862607783,0.102062457004
0.0006,0.224270759868,0.116817139051
0.00065,0.242599229619,0.131820906854
0.0007,0.260841505018,0.147029637698
0.00075,0.278991104673,0.162403652678
0.0008,0.297041580116,0.177910262657
0.00085,0.314986518099,0.193523194823
0.0009,0.332819542872,0.209220853341
0.00095,0.350534318446,0.224984645344
0.001,0.368124550846,0.240797842176
0.00105,0.385583990344,0.256644965175
0.0011,0.402906433687,0.272511506768
0.00115,0.420085726293,0.288383806117
0.0012,0.437115764439,0.30424897092
0.00125,0.453990497436,0.32009480245
0.0013,0.470703929771,0.335909717709
0.00135,0.48725012324,0.35168267524
0.0014,0.50362319906,0.367403110804
0.00145,0.519817339956,0.383060885088
0.0015,0.535826792225,0.398646242303
0.00155,0.551645867787,0.414149777132
0.0016,0.567268946198,0.429562407586
0.00165,0.582690476654,0.444875351945
0.0017,0.597904979958,0.460080108683
0.00175,0.612907050469,0.475168438749
0.0018,0.627691358023,0.490132349833
0.00185,0.642252649826,0.504964082372
0.0019,0.656585752321,0.519656097082
0.00195,0.670685573025,0.534201063832
0.002,0.684547102337,0.548591851691
0.00205,0.698165415324,0.562821520004
0.0021,0.711535673463,0.576883310377
0.00215,0.724653126365,0.590770639478
0.0022,0.737513113461,0.604477092558
0.00225,0.75011106566,0.617996417633
0.0023,0.762442506969,0.631322520259
0.00235,0.774503056086,0.644449458844
0.0024,0.786288427954,0.657371440453
0.00245,0.797794435288,0.670082817051
0.0025,0.809016990058,0.682578082165
0.00255,0.819952104943,0.694851867901
0.0026,0.83059589475,0.706898942304
0.00265,0.84094457779,0.718714207023
0.0027,0.850994477225,0.730292695255
0.00275,0.860742022375,0.741629569939
0.0028,0.870183749983,0.752720122181
0.00285,0.879316305448,0.763559769889
0.0029,0.888136444016,0.774144056595
0.00295,0.896641031935,0.784468650448
0.003,0.904827047565,0.794529343363
0.00305,0.912691582452,0.804322050305
0.0031,0.920231842367,0.813842808702
0.00315,0.927445148289,0.823087777967
0.0032,0.934328937367,0.832053239121
0.00325,0.940880763821,0.840735594505
0.0033,0.947098299821,0.849131367568
0.00335,0.952979336304,0.85723720273
0.0034,0.958521783766,0.865049865295
0.00345,0.963723673003,0.87256624143
0.0035,0.968583155808,0.879783338177
0.00355,0.973098505629,0.886698283511
0.0036,0.977268118185,0.893308326425
0.00365,0.981090512032,0.899610837042
0.0037,0.984564329091,0.905603306753
0.00375,0.987688335132,0.911283348362
0.0038,0.990461420211,0.916648696247
0.00385,0.992882599063,0.921697206527
0.0039,0.994951011455,0.926426857237
0.00395,0.996665922491,0.930835748489
0.004,0.99802672287,0.934922102644
0.00405,0.999032929106,0.938684264468
0.0041,0.9996841837,0.94212070128
0.00415,0.999980255263,0.945230003088
0.0042,0.999921038604,0.948010882713
0.00425,0.99950655476,0.950462175887
0.0043,0.998736950997,0.952582841344
0.00435,0.99761250075,0.954371960877
0.0044,0.996133603532,0.955828739385
0.00445,0.994300784788,0.956952504885
0.0045,0.99211469571,0.957742708504
0.00455,0.989576113004,0.95819892444
0.0046,0.986685938617,0.958320849903
0.00465,0.983445199415,0.958108305011
0.0047,0.979855046816,0.957561232672
0.00475,0.975916756384,0.956679698425
0.0048,0.971631727376,0.95546389025
0.00485,0.967001482241,0.953914118346
0.0049,0.962027666085,0.952030814874
0.00495,0.956712046079,0.949814533669
0.005,0.951056510839,0.947265949915
0.00505,0.945063069749,0.94438585978
0.0051,0.93873385225,0.941175180023
0.00515,0.932071107084,0.937634947559
0.0052,0.925077201491,0.933766318993
0.00525,0.917754620373,0.92957057011
0.0053,0.910105965409,0.925049095334
0.00535,0.902133954129,0.920203407146
0.0054,0.89384141895,0.915035135468
0.00545,0.885231306172,0.909546027007
0.0055,0.876306674925,0.903737944561
0.00555,0.86707069609,0.897612866293
0.0056,0.857526651165,0.891172884957
0.00565,0.847677931104,0.884420207096
0.0057,0.83752803511,0.877357152202
0.00575,0.827080569393,0.869986151831
0.0058,0.816339245888,0.862309748689
0.00585,0.805307880936,0.854330595675
0.0059,0.793990393929,0.846051454896
0.00595,0.782390805915,0.83747519663
0.006,0.770513238174,0.82860479827
0.00605,0.758361910748,0.81944334322
0.0061,0.745941140946,0.80999401976
0.00615,0.733255341808,0.800260119873
0.0062,0.720309020539,0.790245038039
0.00625,0.707106776905,0.779952269992
0.0063,0.693653301599,0.769385411445
0.00635,0.679953374579,0.758548156778
0.0064,0.666011863362,0.747444297694
0.00645,0.651833721302,0.736077721839
0.0065,0.637423985824,0.724452411396
0.00655,0.622787776639,0.712572441634
0.0066,0.607930293923,0.700441979439
0.00665,0.592856816468,0.688065281805
0.0067,0.577572699809,0.675446694291
0.00675,0.562083374319,0.66259064946
0.0068,0.546394343284,0.649501665272
0.00685,0.53051118094,0.636184343462
0.0069,0.514439530499,0.622643367876
0.00695,0.498185102143,0.608883502789
0.007,0.481753670992,0.594909591191
0.00705,0.465151075056,0.580726553041
0.0071,0.448383213157,0.566339383506
0.00715,0.431456042838,0.551753151157
0.0072,0.414375578242,0.536972996159
0.00725,0.397147887975,0.522004128419
0.0073,0.379779092955,0.50685182572
0.00735,0.362275364232,0.491521431827
0.0074,0.344642920796,0.476018354573
0.00745,0.326888027372,0.460348063919
0.0075,0.309016992189,0.444516089993
0.00755,0.291036164739,0.428528021113
0.0076,0.272951933526,0.412389501786
0.00765,0.25477072379,0.396106230681
0.0077,0.23649899523,0.379683958598
0.00775,0.218143239703,0.363128486404
0.0078,0.199709978921,0.346445662962
0.00785,0.181205762135,0.329641383038
0.0079,0.162637163804,0.312721585191
0.00795,0.144010781263,0.295692249653
0.008,0.125333232378,0.278559396189
0.00805,0.106611153191,0.261329081949
0.0081,0.08785119557,0.244007399301
0.00815,0.0690600248372,0.226600473655
0.0082,0.0502443174064,0.209114461273
0.00825,0.0314107584089,0.191555547076
0.0083,0.0125660393185,0.173929942431
0.00835,-0.00628314442589,0.156243882931
0.0084,-0.025130095799,0.138503626175
0.00845,-0.0439681185687,0.120715449531
0.0085,-0.0627905196753,0.102885647892
0.00855,-0.0815906116092,0.0850205314386
0.0086,-0.100361714787,0.0671264233765
0.00865,-0.119097159926,0.0492096576878
0.0087,-0.137790290411,0.0312765768682
0.00875,-0.156434464662,0.013333529665
0.0088,-0.175023058492,-0.00461313118788
0.00885,-0.193549467463,-0.0225570512356
0.0089,-0.21200710923,-0.0404918765689
0.00895,-0.230389425881,-0.0584112560899
0.009,-0.248689886266,-0.0763088437769
0.00905,-0.266901988318,-0.0941783009474
0.0091,-0.285019261364,-0.112013298518
0.00915,-0.303035268425,-0.129807519261
0.0092,-0.320943608497,-0.147554660057
0.00925,-0.338737918833,-0.16524843414
0.0093,-0.3564118772,-0.182882573341
0.00935,-0.373959204124,-0.20045083032
0.0094,-0.391373665123,-0.217946980794
0.00945,-0.408649072923,-0.235364825755
0.0095,-0.425779289653,-0.252698193679
0.00955,-0.442758229029,-0.269940942725
0.0096,-0.459579858514,-0.287086962925
0.00965,-0.476238201464,-0.30413017836
0.0097,-0.492727339248,-0.321064549327
0.00975,-0.509041413355,-0.337884074485
0.0098,-0.525174627472,-0.354582793002
0.00985,-0.541121249545,-0.371154786672
0.0099,-0.556875613813,-0.387594182026
0.00995,-0.572432122829,-0.403895152425
0.01,-0.587785249436,-0.420051920135
0.01005,-0.602929538743,-0.436058758382
0.0101,-0.617859610056,-0.451909993399
0.01015,-0.632570158792,-0.467600006442
0.0102,-0.647055958362,-0.483123235791
0.01025,-0.661311862031,-0.498474178735
0.0103,-0.675332804745,-0.513647393528
0.01035,-0.689113804928,-0.528637501329
0.0104,-0.702649966258,-0.543439188117
0.01045,-0.715936479401,-0.558047206587
0.0105,-0.728968623722,-0.572456378013
0.01055,-0.741741768962,-0.586661594097
0.0106,-0.754251376883,-0.600657818787
0.01065,-0.766493002881,-0.61444009007
0.0107,-0.778462297566,-0.62800352174
0.01075,-0.790155008302,-0.641343305137
0.0108,-0.801566980727,-0.654454710861
0.01085,-0.81269416022,-0.667333090454
0.0109,-0.823532593348,-0.67997387806
0.01095,-0.834078429267,-0.692372592045
0.011,-0.844327921091,-0.704524836597
0.01105,-0.854277427225,-0.716426303291
0.0111,-0.863923412658,-0.728072772621
0.01115,-0.873262450215,-0.739460115507
0.0112,-0.882291221782,-0.750584294761
0.01125,-0.891006519479,-0.761441366527
