time_s,B26  A_v_pu,EQUL A_v_pu,B26  B_v_pu,EQUL B_v_pu,B26  C_v_pu,EQUL C_v_pu,FAULTA_v_pu,LINE A_v_pu,EQUR A_v_pu,LINE B_v_pu,EQUR B_v_pu,LINE C_v_pu,EQUR C_v_pu,B500 A_v_pu,B500 B_v_pu,B500 C_v_pu,SEND A_v_pu,REC  A_v_pu,SEND B_v_pu,REC  B_v_pu,SEND C_v_pu,REC  C_v_pu,X_saturated_transformer_internal_top_v_pu,Y_saturated_transformer_internal_top_v_pu,Z_saturated_transformer_internal_top_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,switch_current_switch_fixed_4_pu
0.000999,17108.0369969,17540.9904082,-1232.99796253,-2762.59886885,-15875.0390343,-14778.3915393,18.7581827333,210135.240142,236323.034544,174852.051171,139857.467938,-394289.608542,-376180.502482,178619.420233,171142.480026,-409818.855228,178619.420233,18.7581827333,171142.480026,79244.5339848,-409818.855228,-519550.181664,196235.285481,170905.020173,-397165.559159,178619.420233,171142.480026,-409818.855228,178619.420233,171142.480026,-409818.855228,18.7581827333,79244.5339848,-519550.181664,1875.81827333
0.0010656,16987.7457572,17361.3006053,-801.208944625,-2293.27934739,-16186.5368126,-15068.0212579,19.0335938026,204037.530575,228768.909463,183778.82004,148691.235456,-396512.718556,-377460.14492,173658.389592,180414.096504,-411952.794152,173658.389592,19.0335938026,180414.096504,90549.8839425,-411952.794152,-520033.586582,190536.718656,179873.6898,-399347.560964,173658.389592,180414.096504,-411952.794152,173658.389592,180414.096504,-411952.794152,19.0335938026,90549.8839425,-520033.586582,1903.35938026
0.0011322,16856.7564323,17170.6669522,-368.911610571,-1822.51423691,-16487.8448217,-15348.1527153,19.2970059217,197811.364475,221070.577867,192589.763987,157431.274133,-398485.728617,-378501.852,168588.091399,189572.375521,-413827.447482,168588.091399,19.2970059217,189572.375521,101798.224741,-413827.447482,-520189.004037,184718.187015,188729.268443,-401278.168534,168588.091399,189572.375521,-413827.447482,168588.091399,189572.375521,-413827.447482,19.2970059217,101798.224741,-520189.004037,1929.70059217
0.0011988,16715.1403806,16969.2096166,63.6189005186,-1350.60028838,-16778.7592811,-15618.6093282,19.5481974053,191461.662388,213232.892468,201276.869598,166072.074607,-400206.033473,-379304.967074,163411.54329,198611.213715,-415441.166338,163411.54329,19.5481974053,198611.213715,112982.877182,-415441.166338,-520013.24168,178783.218129,197465.910803,-402955.782426,163411.54329,198611.213715,-415441.166338,163411.54329,198611.213715,-415441.166338,19.5481974053,112982.877182,-520013.24168,1954.81974053
0.0012654,16562.9871786,16757.0555889,496.109941707,-877.834976952,-17059.0971203,-15879.220612,19.7871370065,184990.213367,205260.793819,209839.837112,174608.190072,-401675.58478,-379868.983891,158132.003601,207524.90879,-416792.956213,158132.003601,19.7871370065,207524.90879,124095.730187,-416792.956213,-519513.435449,172735.552554,206078.109174,-404379.360083,158132.003601,207524.90879,-416792.956213,158132.003601,207524.90879,-416792.956213,19.7871370065,124095.730187,-519513.435449,1978.71370065
0.001332,16400.3847616,16534.3386023,928.282962293,-404.516314445,-17328.6677239,-16129.8222878,20.0136036648,178402.16183,197159.307204,218270.571757,183034.239713,-402891.87677,-380193.546917,152752.751889,216307.444955,-417881.54436,152752.751889,20.0136036648,216307.444955,135130.428678,-417881.54436,-518686.099436,166578.966509,214560.122541,-405547.66831,152752.751889,216307.444955,-417881.54436,152752.751889,216307.444955,-417881.54436,20.0136036648,135130.428678,-518686.099436,2001.36036648
0.0013986,16227.4347552,16301.1990483,1359.86475887,69.0573385151,-17587.299514,-16370.2563868,20.2274539954,171701.673941,188933.539468,226563.769353,191344.912093,-403854.133412,-380278.451561,147278.57882,224954.655511,-418704.814223,147278.57882,20.2274539954,224954.655511,146080.06578,-418704.814223,-517531.780441,160318.041824,222907.268833,-406459.229016,147278.57882,224954.655511,-418704.814223,147278.57882,224954.655511,-418704.814223,20.2274539954,146080.06578,-517531.780441,2022.74539954
0.0014652,16044.2724833,16057.7838887,1790.60281188,542.58746057,-17834.8752952,-16600.3713492,20.4285537605,164892.792655,180588.675795,234714.01829,199534.968508,-404561.931757,-380123.644303,141709.111954,233458.383837,-419267.574657,141709.111954,20.4285537605,233458.383837,156937.672712,-419267.574657,-516051.189457,153954.849513,231113.321255,-407116.569395,141709.111954,233458.383837,-419267.574657,141709.111954,233458.383837,-419267.574657,20.4285537605,156937.672712,-516051.189457,2042.85537605
0.0015318,15850.996158,15804.2465622,2220.21250684,1015.7755578,-18071.2086648,-16820.02212,20.6167761111,157980.063266,172129.976446,242716.434066,207599.246282,-405014.584176,-379729.222728,136050.658587,241815.311871,-419565.681675,136050.658587,20.6167761111,241815.311871,167696.398259,-419565.681675,-514245.259728,147494.775778,239173.87171,-407517.096026,136050.658587,241815.311871,-419565.681675,136050.658587,241815.311871,-419565.681675,20.6167761111,167696.398259,-514245.259728,2061.67761111
0.0015984,15647.7355634,15540.7468884,2648.41529198,1488.32335187,-18296.1508554,-17029.0702403,20.7920188939,150970.032006,163562.773436,250568.17112,215532.662025,-405209.644538,-379095.435461,130308.937261,250021.868845,-419597.261941,130308.937261,20.7920188939,250021.868845,178349.926161,-419597.261941,-512114.644722,140943.05517,247084.640564,-407659.764685,130308.937261,250021.868845,-419597.261941,130308.937261,250021.868845,-419597.261941,20.7920188939,178349.926161,-512114.644722,2079.20188939
0.001665,15434.6107971,15267.4509668,3074.93195179,1959.93296809,-18509.5427489,-17227.3839348,20.954134883,143863.471063,154892.467178,258260.61862,223330.21484,-405150.585204,-378222.682018,124484.093401,258068.867903,-419365.293494,124484.093401,20.954134883,258068.867903,188890.191277,-419365.293494,-509660.953421,134302.101165,254838.491474,-407545.82758,124484.093401,258068.867903,-419365.293494,124484.093401,258068.867903,-419365.293494,20.954134883,188890.191277,-509660.953421,2095.4134883
0.0017316,15211.7549309,14984.5310716,3499.51352364,2430.30712314,-18711.2684546,-17414.8381948,21.1030321056,136664.105089,146124.523077,265788.170587,230986.989468,-404838.212234,-377111.512545,118580.25587,265952.872278,-418869.398957,118580.25587,21.1030321056,265952.872278,199310.978523,-418869.398957,-506886.577229,127576.197866,262431.562141,-407175.199266,118580.25587,265952.872278,-418869.398957,118580.25587,265952.872278,-418869.398957,21.1030321056,199310.978523,-506886.577229,2110.30321056
0.0017982,14979.3092282,14692.1655442,3921.90723655,2899.1493125,-18901.2164647,-17591.3148567,21.2386370464,129378.927458,137264.468083,273148.340865,238498.159394,-404270.015135,-375762.627478,112601.450511,273670.052461,-418109.627305,112601.450511,21.2386370464,273670.052461,209606.745056,-418109.627305,-503793.341446,120769.6531,269859.827388,-406548.081826,112601.450511,273670.052461,-418109.627305,112601.450511,273670.052461,-418109.627305,21.2386370464,209606.745056,-503793.341446,2123.86370464
0.0018648,14737.4080866,14390.5386796,4341.82096559,3366.16399732,-19079.2290522,-17756.7026769,21.3608487826,122012.246236,128317.887212,280334.71499,245858.989886,-403444.63529,-374176.877098,106551.663722,281214.266672,-417085.534933,106551.663722,21.3608487826,281214.266672,219770.298635,-417085.534933,-500382.589116,113886.94807,277117.589617,-405664.114634,106551.663722,281214.266672,-417085.534933,106551.663722,281214.266672,-417085.534933,21.3608487826,219770.298635,-500382.589116,2136.08487826
0.0019314,14486.2301492,14079.840611,4759.00986268,3831.05679074,-19245.2400119,-17910.8974017,21.4695900235,114569.05795,119290.420021,287346.8435,253064.840978,-402367.268754,-372355.260999,100434.787026,288581.995523,-415799.215678,100434.787026,21.4695900235,288581.995523,229795.242562,-415799.215678,-496656.49355,106932.497036,284201.274787,-404524.99865,100434.787026,288581.995523,-415799.215678,100434.787026,288581.995523,-415799.215678,21.4695900235,229795.242562,-496656.49355,2146.95900235
0.001998,14225.9194624,13760.2671897,5173.19983516,4293.53464346,-19399.1192976,-18053.8018332,21.5647997513,107053.758837,110187.757052,294177.952311,260111.170398,-401036.116077,-370298.927451,94254.5960758,295767.865818,-414250.726721,94254.5960758,21.5647997513,295767.865818,239675.472126,-414250.726721,-492617.207022,99910.6252714,291105.841008,-403130.844491,94254.5960758,295767.865818,-414250.726721,94254.5960758,295767.865818,-414250.726721,21.5647997513,239675.472126,-492617.207022,2156.47997513
0.0020646,13956.6407556,13432.0198618,5584.13001828,4753.30602846,-19540.7707739,-18185.3258902,21.646418122,99471.1612023,101015.636252,300823.533666,266993.53643,-399452.220519,-368009.172683,88015.3036034,302767.677829,-412440.764426,88015.3036034,21.646418122,302767.677829,249404.785163,-412440.764426,-488267.311059,92825.9191392,297827.106412,-401482.400755,88015.3036034,302767.677829,-412440.764426,88015.3036034,302767.677829,-412440.764426,21.646418122,249404.785163,-488267.311059,2164.6418122
0.0021312,13678.5632814,13095.3055407,5991.54086468,5210.08112475,-19670.1041461,-18305.3866654,21.7143932456,91826.3300867,91779.8393477,307279.037694,273707.600714,-397616.938333,-365487.440061,81720.8488395,309576.995442,-410370.434821,81720.8488395,21.7143932456,309576.995442,258976.988368,-410370.434821,-483609.502808,85682.8513975,304360.817085,-399580.67688,81720.8488395,309576.995442,-410370.434821,81720.8488395,309576.995442,-410370.434821,21.7143932456,258976.988368,-483609.502808,2171.43932456
0.0021978,13391.8622189,12750.3364773,6395.17544823,5663.5720001,-19787.0376671,-18413.9084774,21.7686803535,84123.6114039,82486.1882057,313541.332241,280249.130978,-395530.518511,-362735.319183,75373.893679,316190.214059,-408042.342556,75373.893679,21.7686803535,316190.214059,268385.972336,-408042.342556,-478646.815683,78485.267119,310702.191644,-397427.524152,75373.893679,316190.214059,-408042.342556,75373.893679,316190.214059,-408042.342556,21.7686803535,268385.972336,-478646.815683,2176.86803535
0.0022644,13096.7093748,12397.3301261,6794.78699205,6113.49279249,-19891.4963668,-18510.8229185,21.8092833113,76370.3654483,73140.5411617,319608.669217,286614.003711,-393192.06085,-359754.544873,68979.9404302,322605.115849,-405455.929925,68979.9404302,21.8092833113,322605.115849,277626.802745,-405455.929925,-473381.316957,71238.3578548,316848.244218,-395023.229617,68979.9404302,322605.115849,-405455.929925,68979.9404302,322605.115849,-405455.929925,21.8092833113,277626.802745,-473381.316957,2180.92833113
0.002331,12793.2920313,12036.5090075,7190.09202381,6559.55989036,-19983.3840551,-18596.0688979,21.8361293152,68566.8600822,63748.7893276,325471.862901,292798.20676,-390606.851209,-356546.996087,62542.3134754,328815.096558,-402613.611308,62542.3134754,21.8361293152,328815.096558,286690.438628,-402613.611308,-467817.388622,63946.535188,322793.472148,-392369.522754,62542.3134754,328815.096558,-402613.611308,62542.3134754,328815.096558,-402613.611308,21.8361293152,286690.438628,-467817.388622,2183.61293152
0.0023976,12481.823303,11668.1005686,7580.86622854,7001.49211135,-20062.6895315,-18669.59268,21.8491430546,60718.3244636,54316.8528775,331128.484794,298797.841856,-387777.512424,-353114.694734,56064.1860752,334816.834728,-399519.346735,56064.1860752,21.8491430546,334816.834728,295572.20718,-399519.346735,-461960.602569,56613.9294566,328534.821003,-389469.561183,56064.1860752,334816.834728,-399519.346735,56064.1860752,334816.834728,-399519.346735,21.8491430546,295572.20718,-461960.602569,2184.91430546
0.0024642,12162.4992334,11292.3370388,7966.87662494,7439.01087956,-20129.3758583,-18731.3479183,21.8483906929,52831.8959063,44850.6773163,336577.412879,304609.127077,-384703.989178,-349459.804394,49551.1237683,340608.780485,-396173.564535,49551.1237683,21.8483906929,340608.780485,304269.600889,-396173.564535,-455812.506676,49245.826993,334069.958014,-386324.495082,49551.1237683,340608.780485,-396173.564535,49551.1237683,340608.780485,-396173.564535,21.8483906929,304269.600889,-455812.506676,2184.83906929
0.0025308,11835.5102591,10909.4552839,8347.8619394,7871.84040114,-20183.3721985,-18781.295685,21.8338744177,44912.3665508,35356.2297321,341814.461654,310228.399228,-381387.677019,-345584.62896,43007.2636015,346186.27614,-392577.72207,43007.2636015,21.8338744177,346186.27614,312775.511483,-392577.72207,-449376.758324,41846.9288351,339394.613841,-382935.744586,43007.2636015,346186.27614,-392577.72207,43007.2636015,346186.27614,-392577.72207,21.8338744177,312775.511483,-449376.758324,2183.38744177
0.0025974,11501.0687182,10519.6966569,8723.57610092,8299.70783815,-20224.6448191,-18819.404495,21.8055972109,36964.633487,25839.4950342,346836.198976,315652.116149,-377830.759838,-341491.611183,36436.9508647,351545.682859,-388734.22672,36436.9508647,21.8055972109,351545.682859,321084.379903,-388734.22672,-442657.587185,34422.0802123,344505.337636,-379305.554398,36436.9508647,351545.682859,-388734.22672,36436.9508647,351545.682859,-388734.22672,21.8055972109,321084.379903,-442657.587185,2180.55972109
0.002664,11159.3734926,10123.3068456,9093.79452934,8722.34348055,-20253.168022,-18845.6503262,21.7635812787,28993.6624624,16306.4721809,351639.391482,320876.858953,-374035.518452,-337183.331134,29843.4658805,356683.47778,-384645.664523,29843.4658805,21.7635812787,356683.47778,329191.077829,-384645.664523,-435659.098985,26975.3908611,349398.908501,-375436.227,29843.4658805,356683.47778,-384645.664523,29843.4658805,356683.47778,-384645.664523,21.7635812787,329191.077829,-435659.098985,2176.35812787
0.0027306,10810.6392471,9720.5357179,9458.28543137,9139.48091621,-20268.9246785,-18860.0166341,21.707851457,21004.6371288,6763.17039798,356221.501695,325899.334177,-370003.845796,-332662.504575,23231.0458852,361596.591966,-380314.492246,23231.0458852,21.707851457,361596.591966,337090.450228,-380314.492246,-428385.788354,19511.5807202,354072.341105,-371330.141765,23231.0458852,361596.591966,-380314.492246,23231.0458852,361596.591966,-380314.492246,21.707851457,337090.450228,-428385.788354,2170.7851457
