time_s,SWITCH_v_pu,CAP_v_pu,output_fixed_1_pu
0.0013,0.239124476744,0.239124476718,0.239124476718
0.00131,0.291888661084,0.291888661058,0.291888661058
0.00132,0.343321873212,0.343321873187,0.343321873187
0.00133,0.393223107951,0.393223107926,0.393223107926
0.00134,0.441398106246,0.441398106222,0.441398106222
0.00135,0.487660108924,0.487660108901,0.487660108901
0.00136,0.531830578152,0.53183057813,0.53183057813
0.00137,0.573739883816,0.573739883796,0.573739883796
0.00138,0.613227952205,0.613227952186,0.613227952186
0.00139,0.650144874507,0.650144874489,0.650144874489
0.0014,0.684351472846,0.68435147283,0.68435147283
0.00141,0.715719821714,0.715719821699,0.715719821699
0.00142,0.744133722859,0.744133722846,0.744133722846
0.00143,0.769489131898,0.769489131886,0.769489131886
0.00144,0.791694535085,0.791694535075,0.791694535075
0.00145,0.810671274905,0.810671274896,0.810671274896
0.00146,0.826353823339,0.826353823332,0.826353823332
0.00147,0.838690001892,0.838690001887,0.838690001887
0.00148,0.847641147666,0.847641147663,0.847641147663
0.00149,0.853182224981,0.853182224979,0.853182224979
0.0015,0.855301882279,0.855301882279,0.855301882279
0.00151,0.854002454252,0.854002454254,0.854002454254
0.00152,0.849299909363,0.849299909366,0.849299909366
0.00153,0.841223743126,0.841223743131,0.841223743131
0.00154,0.829816817773,0.82981681778,0.82981681778
0.00155,0.815135149079,0.815135149087,0.815135149087
0.00156,0.797247641388,0.797247641397,0.797247641397
0.00157,0.776235772058,0.776235772069,0.776235772069
0.00158,0.752193226731,0.752193226744,0.752193226744
0.00159,0.72522548705,0.725225487064,0.725225487064
0.0016,0.695449372612,0.695449372628,0.695449372628
0.00161,0.662992539132,0.662992539149,0.662992539149
0.00162,0.627992934959,0.627992934977,0.627992934977
0.00163,0.590598218233,0.590598218252,0.590598218252
0.00164,0.550965137154,0.550965137175,0.550965137175
0.00165,0.509258875931,0.509258875952,0.509258875952
0.00166,0.465652369134,0.465652369156,0.465652369156
0.00167,0.420325587295,0.420325587318,0.420325587318
0.00168,0.373464796688,0.373464796712,0.373464796712
0.00169,0.325261796322,0.325261796346,0.325261796346
0.0017,0.275913135268,0.275913135293,0.275913135293
0.00171,0.225619313511,0.225619313537,0.225619313537
0.00172,0.174583969546,0.174583969572,0.174583969572
0.00173,0.123013058025,0.123013058051,0.123013058051
0.00174,0.0711140207559,0.0711140207819,0.0711140207819
0.00175,0.0190949543767,0.0190949544027,0.0190949544027
0.00176,-0.0328362219503,-0.0328362219244,-0.0328362219244
0.00177,-0.0844725955156,-0.0844725954899,-0.0844725954899
0.00178,-0.135609082408,-0.135609082382,-0.135609082382
0.00179,-0.186043239969,-0.186043239944,-0.186043239944
0.0018,-0.235576066151,-0.235576066126,-0.235576066126
0.00181,-0.28401278262,-0.284012782596,-0.284012782596
0.00182,-0.331163598544,-0.33116359852,-0.33116359852
0.00183,-0.376844452069,-0.376844452047,-0.376844452047
0.00184,-0.420877726605,-0.420877726583,-0.420877726583
0.00185,-0.463092939128,-0.463092939108,-0.463092939108
0.00186,-0.503327397862,-0.503327397843,-0.503327397843
0.00187,-0.541426826795,-0.541426826776,-0.541426826776
0.00188,-0.577245954647,-0.577245954629,-0.577245954629
0.00189,-0.610649066062,-0.610649066045,-0.610649066045
0.0019,-0.641510512928,-0.641510512913,-0.641510512913
0.00191,-0.669715183925,-0.669715183912,-0.669715183912
0.00192,-0.69515893055,-0.695158930538,-0.695158930538
0.00193,-0.717748948059,-0.717748948048,-0.717748948048
0.00194,-0.737404109953,-0.737404109944,-0.737404109944
0.00195,-0.754055254813,-0.754055254805,-0.754055254805
0.00196,-0.767645424495,-0.767645424489,-0.767645424489
0.00197,-0.778130052887,-0.778130052883,-0.778130052883
0.00198,-0.785477104627,-0.785477104624,-0.785477104624
0.00199,-0.78966716339,-0.789667163389,-0.789667163389
0.002,-0.790693469556,-0.790693469556,-0.790693469556
0.00201,-0.788561907254,-0.788561907255,-0.788561907255
0.00202,-0.783290941009,-0.783290941012,-0.783290941012
0.00203,-0.774911502395,-0.7749115024,-0.7749115024
0.00204,-0.763466827301,-0.763466827307,-0.763466827307
0.00205,-0.749012244628,-0.749012244636,-0.749012244636
0.00206,-0.731614917398,-0.731614917407,-0.731614917407
0.00207,-0.711353537468,-0.711353537479,-0.711353537479
0.00208,-0.688317975213,-0.688317975225,-0.688317975225
