frequency_hz,diagonal_z_ohm_per_m,mutual_z_ohm_per_m
10,0.000194872339228,9.58069668195e-05
60,0.000904545431632,0.00050804338579
600,0.00803879317471,0.00423168959733
6000,0.0719157085847,0.0341064169857
