time_s,BUS2_voltage,BUS1_voltage,output_fixed_1,output_fixed_2,switch_voltage_switch_fixed_1,switch_current_switch_fixed_1
0,1,1,1,1,0,0
5e-05,0.999822352331,0.999822352381,0.999822352381,0.999822352331,4.99955632449e-11,0.0499955349777
0.0001,0.999289472541,0.99928947264,0.99928947264,0.999289472541,9.99733629214e-11,0.0999733306122
0.00015,0.998401549959,0.998401550109,0.998401550109,0.998401549959,1.49915524439e-10,0.149915606196
0.0002,0.997158900061,0.99715890026,0.99715890026,0.997158900061,1.99804506273e-10,0.199804617476
0.00025,0.995561964353,0.995561964603,0.995561964603,0.995561964353,2.49622544857e-10,0.249622639124
0.0003,0.99361131022,0.99361131052,0.99361131052,0.99361131022,2.9935187662e-10,0.299351971035
0.00035,0.99130763072,0.991307631069,0.991307631069,0.99130763072,3.4897496004e-10,0.348974944614
0.0004,0.988651744339,0.988651744738,0.988651744738,0.988651744339,3.98473809504e-10,0.398473929053
0.00045,0.985644594701,0.985644595149,0.985644595149,0.985644594701,4.47831327577e-10,0.447831337601
0.0005,0.982287250231,0.982287250728,0.982287250728,0.982287250231,4.97029639668e-10,0.497029633804
0.00055,0.978580903779,0.978580904325,0.978580904325,0.978580903779,5.46051426298e-10,0.546051337743
0.0006,0.974526872191,0.974526872786,0.974526872786,0.974526872191,5.94879034921e-10,0.594879032239
0.00065,0.970126595846,0.970126596489,0.970126596489,0.970126595846,6.4349525708e-10,0.643495369045
0.0007,0.965381638141,0.965381638833,0.965381638833,0.965381638141,6.91883106363e-10,0.691883075008
0.00075,0.960293684936,0.960293685676,0.960293685676,0.960293684936,7.40024930224e-10,0.740024958206
0.0008,0.954864543958,0.954864544746,0.954864544746,0.954864543958,7.87903964294e-10,0.787903914058
0.00085,0.949096144154,0.949096144989,0.949096144989,0.949096144154,8.35503000118e-10,0.835502931398
0.0009,0.942990535009,0.942990535892,0.942990535892,0.942990535009,8.82805162306e-10,0.882805098523
0.00095,0.936549885817,0.936549886747,0.936549886747,0.936549885817,9.29793686488e-10,0.929793609197
0.001,0.929776484911,0.929776485887,0.929776485887,0.929776484911,9.76451808299e-10,0.976451768627
0.00105,0.922672738846,0.922672739869,0.922672739869,0.922672738846,1.02276309644e-09,1.02276299939
0.0011,0.915241171551,0.91524117262,0.91524117262,0.915241171551,1.06871089756e-09,1.06871084733
0.00115,0.907484423426,0.90748442454,0.90748442454,0.907484423426,1.11427911342e-09,1.11427898739
0.0012,0.899405250406,0.899405251565,0.899405251565,0.899405250406,1.15945120172e-09,1.15945122942
0.00125,0.891006522983,0.891006524187,0.891006524187,0.891006522983,1.20421150829e-09,1.20421152396
0.0013,0.882291225185,0.882291226434,0.882291226434,0.882291225185,1.24854393491e-09,1.24854396787
0.00135,0.873262453516,0.873262454809,0.873262454809,0.873262453516,1.29243282743e-09,1.29243281005
0.0014,0.863923415856,0.863923417192,0.863923417192,0.863923415856,1.3358625317e-09,1.33586245701
0.00145,0.854277430319,0.854277431698,0.854277431698,0.854277430319,1.37881750462e-09,1.3788174784
0.0015,0.844327924079,0.844327925501,0.844327925501,0.844327924079,1.42128253611e-09,1.42128261249
0.00155,0.834078432148,0.834078433612,0.834078433612,0.834078432148,1.46324274919e-09,1.46324277164
0.0016,0.823532596122,0.823532597627,0.823532597627,0.823532596122,1.50468304483e-09,1.5046830476
0.00165,0.812694162886,0.812694164432,0.812694164432,0.812694162886,1.54558876808e-09,1.54558871683
0.0017,0.801566983283,0.801566984869,0.801566984869,0.801566983283,1.58594515298e-09,1.58594524575
0.00175,0.790155010748,0.790155012374,0.790155012374,0.790155010748,1.62573832174e-09,1.62573829588
