frequency_hz,diagonal_z_ohm_per_m,mutual_z_ohm_per_m
10,0.000162007244892,0.000118003784186
60,0.000871718322228,0.000640835108459
600,0.00767293011352,0.00554812595166
6000,0.0675696526998,0.0469680352369
