time_s,terminal_1_voltage_v,terminal_1_current_a,terminal_power_kw,supplied_energy_j,maximum_network_kcl_residual_a
0,0,0,0,0,0
1e-05,0.603393212497,0.0124605920294,1.50372733085e-05,3.75931832713e-08,3.46944695195e-17
2e-05,1.25163438985,0.00248479924197,6.22012036625e-06,1.76213749953e-07,6.50521303491e-17
3e-05,1.85532192813,0.0147610217039,5.47728944978e-05,4.44123811686e-07,4.33680868994e-17
4e-05,2.49694215881,0.00803369276221,4.01193322978e-05,9.40166897401e-07,2.77555756156e-17
5e-05,3.10031612178,0.0203798930151,0.00012636822175,1.73535778877e-06,1.94289029309e-16
6e-05,3.73572485774,0.016646704628,0.000124375016556,3.00093448287e-06,1.17961196366e-16
7e-05,4.33825599976,0.0292779160109,0.00025403018959,4.8549070225e-06,1.28369537222e-16
8e-05,4.96779088477,0.0283204666017,0.000281380311673,7.53497326783e-06,1.14491749414e-16
9e-05,5.56901705383,0.041418197186,0.000461317292936,1.1209087799e-05,1.94289029309e-16
0.0001,6.19295462116,0.0430486658844,0.000533196868647,1.61765720535e-05,2.56739074445e-16
0.00011,6.79247090925,0.0567658310948,0.000771160512701,2.26572406404e-05,1.45716771982e-16
0.00012,7.41103569867,0.0608224270634,0.000901514356493,3.10080686492e-05,1.66533453694e-16
0.00013,8.00848605117,0.0752875528238,0.00120587863323,4.15018226254e-05,3.74700270811e-16
0.00014,8.62185837906,0.0816306380063,0.00140761560057,5.45498404298e-05,2.91433543964e-16
0.00015,9.21692844719,0.0969514423289,0.00178718901359,7.04782787402e-05,3.46944695195e-16
0.00016,9.82525102912,0.105460228002,0.00207234642742,8.9750075513e-05,8.32667268469e-17
0.00017,10.4176620816,0.121726672972,0.00253621469068,0.000112744698995,2.77555756156e-16
0.00018,11.0210456769,0.132296405225,0.00291608944975,0.000139974331681,1.66533453694e-16
0.00019,11.610549414,0.149583297733,0.00347348853969,0.00017187126819,3.88578058619e-16
0.0002,12.2090776373,0.162122859542,0.00395874115787,0.00020899489027,2.77555756156e-16
0.00021,12.7954517742,0.180492067522,0.00461895509121,0.000251829515373,1.94289029309e-16
0.00022,13.3891851969,0.194921935806,0.00521969179487,0.000300979912327,2.49800180541e-16
0.00023,13.9722297015,0.214424276866,0.00599197049989,0.000356981370137,3.60822483003e-16
0.00024,14.5612093481,0.230674782008,0.00671780758427,0.000420482404474,2.49800180541e-16
0.00025,15.1407432382,0.251351632914,0.0076113010729,0.000492068033081,3.33066907388e-16
0.00026,15.7249935675,0.26936147601,0.00847141495517,0.000572429001938,3.88578058619e-16
0.00027,16.3008521826,0.291246144335,0.00949512069511,0.000662198667815,5.55111512313e-16
0.00028,16.8803836294,0.310961134046,0.0104982864731,0.000762108576373,7.77156117238e-16
0.00029,17.4524163084,0.334080027159,0.0116610074286,0.00087283892207,7.21644966006e-16
0.0003,18.0272274512,0.355452003686,0.0128156282369,0.000995160676146,4.4408920985e-16
0.00031,18.5952955549,0.379825625077,0.0141259395153,0.00112979928552,7.21644966006e-16
0.00032,19.1653749643,0.402811543581,0.0154400685453,0.00127756380683,8.881784197e-16
0.00033,19.7293501929,0.428455342058,0.0169062909709,0.00143922329208,3.33066907388e-16
0.00034,20.2946780083,0.453016491941,0.0183876476728,0.00161562355979,5.55111512313e-16
0.00035,20.8544409687,0.479941585477,0.0200178269255,0.00180757557443,9.43689570931e-16
0.00036,21.4149902441,0.506042925433,0.0216738086224,0.00201596059674,7.77156117238e-16
0.00037,21.9704292312,0.534256718205,0.0234756988373,0.00224162977883,5.55111512313e-16
0.00038,22.5261670826,0.561866309911,0.0253133887502,0.00248549849829,2.22044604925e-16
0.00039,23.0771770429,0.59137301834,0.0272944396852,0.00274845634802,2.22044604925e-16
0.0004,23.6280656281,0.620461544209,0.0293206121725,0.00303145148462,3.33066907388e-16
0.00041,24.1745472774,0.65126264546,0.0314879592254,0.00333541018043,1.11022302463e-16
0.00042,24.720544633,0.681802998019,0.0337090828868,0.00366131201623,6.66133814775e-16
0.00043,25.2624037071,0.713897612447,0.0360695393824,0.00401011817379,7.77156117238e-16
0.00044,25.8034644622,0.745864544743,0.0384917785478,0.00438283828318,7.77156117238e-16
0.00045,26.3406110798,0.779249762044,0.0410518298321,0.00478046666129,4.4408920985e-16
0.00046,26.8766870669,0.812619590067,0.0436810448533,0.0052040415909,5.55111512313e-16
0.00047,27.4090351879,0.847290747485,0.0464468438243,0.00565458874866,7.77156117238e-16
0.00048,27.9400759639,0.882041096906,0.0492885905017,0.00613317365103,6.66133814775e-16
