time_s,source_value,secondary_value,held_value
1e-05,0.314076425601,-3.70107617174e-05,0
2e-05,0.627986215972,-0.000147430479114,0
3e-05,0.941728771611,-0.000329879384024,0
4e-05,1.25530307293,-0.000583211159068,0
5e-05,1.56870626308,-0.000907300353489,0
6e-05,1.8819336228,-0.00130305645815,0
7e-05,2.1949799334,-0.00177166678967,0
8e-05,2.50784119048,-0.00231364443692,0
9e-05,2.82051538677,-0.00292839324114,0
0.0001,3.13300179665,-0.00361460523236,0
0.00011,3.44529931936,-0.00437118104469,0
0.00012,3.75740512984,-0.00519797953799,0
0.00013,4.06931463656,-0.00609584133473,0
0.00014,4.38102275646,-0.00706588060638,0
0.00015,4.69252553633,-0.00810858431161,0.000907300353489
0.00016,5.00382090787,-0.00922339263269,0.000907300353489
0.00017,5.31490802854,-0.0104090651112,0.000907300353489
0.00018,5.62578572197,-0.0116645470719,0.000907300353489
0.00019,5.93645119378,-0.0129896831283,0.000907300353489
0.0002,6.24689997439,-0.0143852490754,0.00361460523236
0.00021,6.55712711134,-0.0158522895558,0.00361460523236
0.00022,6.86712870314,-0.0173912659336,0.00361460523236
0.00023,7.17690262711,-0.0190016518673,0.00361460523236
0.00024,7.48644793256,-0.0206822703629,0.00361460523236
0.00025,7.79576337291,-0.0224321092679,0.00810858431161
0.00026,8.10484618355,-0.0242510002743,0.00810858431161
0.00027,8.41369201149,-0.0261396581532,0.00810858431161
0.00028,8.72229603016,-0.0280990614597,0.00810858431161
0.00029,9.0306543903,-0.0301296465157,0.00810858431161
0.0003,9.33876492112,-0.0322309177871,0.0143852490754
0.00031,9.64662657216,-0.0344017579237,0.0143852490754
0.00032,9.95423803182,-0.0366411952185,0.0143852490754
0.00033,10.2615965646,-0.0389490496568,0.0143852490754
0.00034,10.5686979291,-0.0413259785669,0.0143852490754
0.00035,10.8755374203,-0.0437728976899,0.0224321092679
0.00036,11.1821112415,-0.0462902188723,0.0224321092679
0.00037,11.4884171799,-0.0488774749015,0.0224321092679
0.00038,11.7944540932,-0.0515336044658,0.0224321092679
0.00039,12.1002206098,-0.0542576743137,0.0224321092679
0.0004,12.4057140227,-0.0570494938376,0.0322309177871
0.00041,12.7109301978,-0.0599096662934,0.0322309177871
0.00042,13.0158645471,-0.0628390477231,0.0322309177871
0.00043,13.3205133273,-0.0658380260756,0.0322309177871
0.00044,13.624874289,-0.0689061601452,0.0322309177871
0.00045,13.9289462056,-0.072042441257,0.0437728976899
0.00046,14.2327276505,-0.0752459727101,0.0437728976899
0.00047,14.5362159452,-0.0785165543242,0.0437728976899
0.00048,14.8394070578,-0.0818547384557,0.0437728976899
0.00049,15.1422965144,-0.0852613244101,0.0437728976899
0.0005,15.4448806249,-0.0887366768247,0.0570494938376
0.00051,15.7471571088,-0.0922803783476,0.0570494938376
0.00052,16.0491246626,-0.0958914697316,0.0570494938376
0.00053,16.3507818094,-0.0995690890034,0.0570494938376
0.00054,16.6521258986,-0.103313027344,0.0570494938376
0.00055,16.9531529974,-0.107123789197,0.072042441257
0.00056,17.2538587416,-0.11100211995,0.072042441257
0.00057,17.5542394951,-0.11494836152,0.072042441257
0.00058,17.8542929513,-0.118962118406,0.072042441257
0.00059,18.1540177367,-0.123042477763,0.072042441257
0.0006,18.4534123288,-0.127188610602,0.0887366768247
0.00061,18.7524741047,-0.131400300319,0.0887366768247
0.00062,19.0511992271,-0.135678006256,0.0887366768247
0.00063,19.3495834382,-0.140022422564,0.0887366768247
0.00064,19.6476231562,-0.144433869034,0.0887366768247
0.00065,19.9453160534,-0.148911970158,0.107123789197
0.00066,20.2426606928,-0.153455856634,0.107123789197
0.00067,20.5396555106,-0.158064730795,0.107123789197
0.00068,20.8362979119,-0.162738369032,0.107123789197
0.00069,21.1325841514,-0.167477188232,0.107123789197
