time_s,load_voltage_v,series_current_a,nonlinear_device_power_w,stored_energy_j,energy_defect_j
0,0,0,0,0,0
5e-06,19.2379955701,0.192380148081,3.70100473555e-06,0.000185063731135,2.3987306625e-06
1e-05,37.7387456455,0.377387833842,1.42421292289e-05,0.000712223337277,6.89113088156e-06
1.5e-05,55.288483685,0.552885389735,3.05681642819e-05,0.00152891183353,1.0933547248e-05
2e-05,71.9337216641,0.719337935978,5.17446031245e-05,0.00258870038656,1.4570015367e-05
2.5e-05,87.718702381,0.877187900997,7.69457074741e-05,0.00385068410645,1.78403175061e-05
3e-05,102.685504696,1.02685612971,0.000111182533999,0.00527889699683,2.07803896128e-05
3.5e-05,116.874134626,1.16874294271,0.000186583670763,0.00684178579816,2.34226881379e-05
4e-05,130.322691769,1.30322913109,0.000288456391528,0.0085117367704,2.57965354675e-05
4.5e-05,143.067397429,1.43067690263,0.000418950494633,0.0102646502723,2.79284092271e-05
5e-05,155.142705896,1.55143079313,0.00057932923809,0.0120795586236,2.98422192106e-05
5.5e-05,166.581390588,1.66581852841,0.000770026963215,0.0139382828237,3.15595542185e-05
6e-05,177.414625993,1.77415184423,0.000990735397951,0.0158251243386,3.30999052798e-05
6.5e-05,187.672065635,1.87672726631,0.00124050504989,0.0177265884899,3.44808675135e-05
7e-05,197.381916237,1.97382685229,0.00151785205735,0.0196311363199,3.57183226651e-05
7.5e-05,206.571008274,2.06571889745,0.00182086386425,0.0215289621089,3.68266041655e-05
8e-05,215.264863095,2.15265860611,0.00214729933284,0.0234117939952,3.78186463779e-05
8.5e-05,223.48775677,2.23488873019,0.00249468057524,0.0252727153981,3.87061195451e-05
9e-05,231.262780824,2.31264017675,0.00286037500319,0.0271060051663,3.94995518006e-05
9.5e-05,238.611900022,2.38613258575,0.00324166696924,0.0289069945794,4.02084394816e-05
0.0001,245.556007326,2.45557487973,0.00363581898474,0.0306719395106,4.08413468588e-05
0.000105,252.114976175,2.52116578667,0.00404012291309,0.0323979062265,4.14059962974e-05
0.00011,258.307710226,2.5830943373,0.00445194180304,0.0340826694485,4.19093497612e-05
0.000115,264.152190656,2.64154033814,0.00486874318196,0.0357246214337,4.23576824902e-05
0.00012,269.665521166,2.6966748216,0.00528812470661,0.0373226909594,4.27566495978e-05
0.000125,274.863970786,2.74866047389,0.0057078330882,0.0388762711994,4.31113462662e-05
0.00013,279.7630146,2.79765204231,0.00612577718977,0.0403851555863,4.34263621525e-05
0.000135,284.377372472,2.84379672246,0.00654003614866,0.0418494808377,4.37058305595e-05
0.00014,288.721045894,2.88723452668,0.00694886331526,0.0432696764114,4.39534728718e-05
0.000145,292.80735303,2.92809863448,0.00735068672897,0.0446464197209,4.41726387116e-05
0.00015,296.648962059,2.96651572588,0.0077441067779,0.0459805965163,4.43663422238e-05
0.000155,300.257922877,3.00260629847,0.00812789161441,0.047273265888,4.45372948607e-05
0.00016,303.64569727,3.03648496905,0.00850097082685,0.0485256294111,4.46879350035e-05
0.000165,306.823187598,3.06826076046,0.00886242779954,0.0497390039906,4.48204547216e-05
0.00017,309.800764094,3.09803737453,0.00921149113074,0.0509147980172,4.49368239465e-05
0.000175,312.588290821,3.12591345166,0.00954752542054,0.0520544904784,4.5038812307e-05
0.00018,315.195150369,3.15198281769,0.00987002168962,0.0531596127087,4.51280088507e-05
0.000185,317.630267343,3.17633471883,0.0101785876439,0.0542317324919,4.52058398548e-05
0.00019,319.902130708,3.19905404502,0.0104729379599,0.05527244026,4.52735849095e-05
0.000195,322.01881504,3.2202215425,0.0107528847306,0.0562833371581,4.53323914407e-05
0.0002,323.988000747,3.23991401591,0.0110183281815,0.0572660247681,4.53832878216e-05
0.000205,325.816993293,3.25820452059,0.0112692477402,0.0582220963052,4.54271952086e-05
0.00021,327.512741498,3.2751625455,0.0115056935215,0.059153129123,4.54649382252e-05
0.000215,329.08185493,3.29085418717,0.0117277782714,0.0600606783739,4.54972546049e-05
0.00022,330.53062046,3.30534231523,0.0119356697972,0.0609462716956,4.55248038922e-05
0.000225,331.865018004,3.31868672979,0.0121295838992,0.0618114048,4.55481752934e-05
