time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_4,branch_current_branch_fixed_6,branch_current_branch_fixed_7,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,separate_field_current_A
0.00038,2.47545728249,10,1,3.09075864135e-11,1.54537932067e-11,1.00002990756e-12,10,2.47545728249,1,3.09075864135e-11,3.39793166375e-11,1.60818790873e-05,-2.99075565059e-05,-4.59894695725e-05,0,0,0,0,-0.0653643651733,-0.0149191320027
0.0004,2.33883488314,10,1,3.42475800738e-11,1.71237900369e-11,1.00003324755e-12,10,2.33883488314,1,3.42475800738e-11,3.76512533793e-11,1.66500587841e-05,-3.32475468263e-05,-4.98976432616e-05,0,0,0,0,-0.0672851240821,-0.0157248741977
0.00042,2.20987986718,10,1,3.76985056055e-11,1.88492528028e-11,1.00003669847e-12,10,2.20987986718,1,3.76985056055e-11,4.14451468838e-11,1.71690114269e-05,-3.66984689071e-05,-5.38675217791e-05,0,0,0,0,-0.0690980881124,-0.0165305448611
0.00044,2.08816193352,10,1,4.12505654511e-11,2.06252827256e-11,1.00004025053e-12,10,2.08816193352,1,4.12505654511e-11,4.53502258697e-11,1.76411750596e-05,-4.02505252006e-05,-5.78917456104e-05,0,0,0,0,-0.0708093068186,-0.0173361439992
0.00046,1.97327492997,10,1,4.4894471966e-11,2.2447235983e-11,1.00004389443e-12,10,1.97327492997,1,4.4894471966e-11,4.9356279646e-11,1.80691087863e-05,-4.38944280716e-05,-6.19635862142e-05,0,0,0,0,-0.0724244902484,-0.0181416716184
0.00048,1.86483549803,10,1,4.86214654243e-11,2.43107327122e-11,1.00004762142e-12,10,1.86483549803,1,4.86214654243e-11,5.34536779071e-11,1.84554271051e-05,-4.76214178029e-05,-6.60768983616e-05,0,0,0,0,-0.073949027996,-0.018947127725
0.0005,1.76248179363,10,1,5.24233201752e-11,2.62116600876e-11,1.00005142327e-12,10,1.76248179363,1,5.24233201752e-11,5.76333775013e-11,1.88027494539e-05,-5.1423268752e-05,-7.02260758393e-05,0,0,0,0,-0.0753880071861,-0.0197525123253
0.00052,1.66587227977,10,1,5.62923417467e-11,2.81461708733e-11,1.00005529229e-12,10,1.66587227977,1,5.62923417467e-11,6.18869192466e-11,1.91136619462e-05,-5.52922864544e-05,-7.44060102875e-05,0,0,0,0,-0.0767462294492,-0.0205578254257
0.00054,1.57468458681,10,1,6.02213571334e-11,3.01106785667e-11,1.0000592213e-12,10,1.57468458681,1,6.02213571334e-11,6.62064172531e-11,1.93906888436e-05,-5.92212979121e-05,-7.86120529621e-05,0,0,0,0,-0.0780282269433,-0.0213630670326
0.00056,1.48861443685,10,1,6.42037000547e-11,3.21018500274e-11,1.00006320364e-12,10,1.48861443685,1,6.42037000547e-11,7.05845427163e-11,1.96362717856e-05,-6.32036368511e-05,-8.28399792212e-05,0,0,0,0,-0.0792382774776,-0.0221682371522
0.00058,1.40737462834,10,1,6.8233192601e-11,3.41165963005e-11,1.00006723313e-12,10,1.40737462834,1,6.8233192601e-11,7.5014503739e-11,1.98527551683e-05,-6.72331253679e-05,-8.70859555507e-05,0,0,0,0,-0.080380418786,-0.022973335791
0.0006,1.33069407776,10,1,7.23041243916e-11,3.61520621958e-11,1.00007130405e-12,10,1.33069407776,1,7.23041243916e-11,7.94900224182e-11,2.00423763792e-05,-7.13040530875e-05,-9.13465089568e-05,0,0,0,0,-0.0814584620012,-0.0237783629553
0.00062,1.25831691508,10,1,7.64112301282e-11,3.82056150641e-11,1.00007541115e-12,10,1.25831691508,1,7.64112301282e-11,8.40053101673e-11,2.02072598393e-05,-7.5411154717e-05,-9.56184985616e-05,0,0,0,0,-0.0824760043711,-0.0245833186515
0.00064,1.19000162993,10,1,8.05496662355e-11,4.02748331178e-11,1.00007954959e-12,10,1.19000162993,1,8.05496662355e-11,8.85550420355e-11,2.03494140127e-05,-7.95495866859e-05,-9.98990892537e-05,0,0,0,0,-0.0834364412628,-0.0253882028858
0.00066,1.12552026576,10,1,8.4714987125e-11,4.23574935625e-11,1.0000837149e-12,10,1.12552026576,1,8.4714987125e-11,9.31343306124e-11,2.04707307045e-05,-8.37149034101e-05,-0.000104185727249,0,0,0,0,-0.0843429774916,-0.0261930156646
0.00068,1.06465765914,10,1,8.89031214934e-11,4.44515607467e-11,1.00008790303e-12,10,1.06465765914,1,8.89031214934e-11,9.77386999707e-11,2.0572986105e-05,-8.79030335903e-05,-0.000108476117434,0,0,0,0,-0.085198638016,-0.0269977569943
