time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSF_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_4,branch_current_branch_fixed_6,branch_current_branch_fixed_7,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,inactive_compound_field_current_A,series_field_current_A
0,9.99999999508,9.996761,10,46.6400933,23.32004665,46.6401445766,9.99999999508,46.6400933,9.996761,9.99999999508,46.6400933,0.161949753763,51.2753884125,0,51.2766251859,0.0012368994046,46.6400933,0.785398163397,0,0,0.161949753763,-0,-0.161949753763
2e-05,9.99999999508,9.996761,10,46.6400933,23.32004665,46.6401445766,9.99999999519,46.6400933,9.996761,9.99999999508,46.6400933,0.161949753764,51.2753884125,-5.96046447754e-08,51.2766251859,0.00123689940462,46.6400933,0.786330965263,0,0,0.161949753764,-0,-0.161949753764
4e-05,9.99999999508,9.996761,10,46.6400933,23.32004665,46.6401445766,9.99999999519,46.6400933,9.996761,9.99999999508,46.6400933,0.161949753766,51.2753884125,0,51.276625193,0.00123689940465,46.6400933,0.787263767129,0,0,0.161949753766,-0,-0.161949753766
6e-05,9.99999999508,9.996761,10,46.6400933,23.32004665,46.6401445766,9.99999999519,46.6400933,9.996761,9.99999999508,46.6400933,0.161949753768,51.2753884125,0,51.276625193,0.00123689940468,46.6400933,0.788196568995,0,0,0.161949753768,-0,-0.161949753768
