time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSF_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_4,branch_current_branch_fixed_6,branch_current_branch_fixed_7,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,compound_field_current_A,series_field_current_A
0,10.0000000799,11.8988744999,10,46.6400933,23.32004665,46.6401325257,10.0000000799,46.6400933,11.8988744999,10.0000000799,46.6400933,-94.9437210009,51.2753884125,0,39.2257076811,-12.0496806017,46.6400933,0.785398163397,0,0,-94.9437210009,-92.0798102457,2.86391075515
2e-05,10.0000000799,11.8988744999,10,46.6400933,23.32004665,46.6401325257,10.0000001617,46.6400933,11.8988744999,10.0000000799,46.6400933,-94.9437210002,51.2753884125,-5.96046447754e-08,39.2257076811,-12.0496806372,46.6400933,0.786330965263,0,0,-94.9437210002,-92.0798102348,2.86391076536
4e-05,10.0000000799,11.8988744999,10,46.6400933,23.32004665,46.6401325257,9.99999991585,46.6400933,11.8988744999,10.0000000799,46.6400933,-94.9437210009,51.2753884125,5.96046447754e-08,39.2257076811,-12.049680671,46.6400933,0.787263767129,0,0,-94.9437210009,-92.0798102275,2.86391077338
6e-05,10.0000000799,11.8988744999,10,46.6400933,23.32004665,46.6401325257,10.0000001144,46.6400933,11.8988744999,10.0000000799,46.6400933,-94.9437210019,51.2753884125,1.19209289551e-07,39.2257076598,-12.0496808023,46.6400933,0.788196568995,0,0,-94.9437210019,-92.0798101974,2.86391080458
