time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSF_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_4,branch_current_branch_fixed_6,branch_current_branch_fixed_7,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,shunt_field_current_A,inactive_series_field_current_A
0,9.99999994985,7.87771590011,10,46.6400933,23.32004665,46.6403671019,9.99999994985,46.6400933,7.87771590011,9.99999994985,46.6400933,106.114202487,51.2753884125,0,273.801863756,222.526475468,46.6400933,0.785398163397,0,0,106.114202487,-33.7392047215,-0
2e-05,9.99999994986,7.87771590011,10,46.6400933,23.32004665,46.6403671019,10.0000000261,46.6400933,7.87771590011,9.99999994986,46.6400933,106.114202488,51.2753884125,1.19209289551e-07,273.801863742,222.526475361,46.6400933,0.786330965263,0,0,106.114202488,-33.7392046371,-0
4e-05,9.99999994989,7.87771590011,10,46.6400933,23.32004665,46.6403671019,10.0000000274,46.6400933,7.87771590011,9.99999994989,46.6400933,106.114202489,51.2753884125,-1.19209289551e-07,273.801863742,222.526475403,46.6400933,0.787263767129,0,0,106.114202489,-33.7392046653,-0
6e-05,9.99999994991,7.87771590011,10,46.6400933,23.32004665,46.6403671019,10.0000000377,46.6400933,7.87771590011,9.99999994991,46.6400933,106.11420249,51.2753884125,-5.96046447754e-08,273.801863763,222.526475579,46.6400933,0.788196568995,0,0,106.11420249,-33.7392047775,-0
