time_s,node_BUS2 A_voltage,node_BUS1 A_voltage,node_BUS2 B_voltage,node_BUS1 B_voltage,node_BUS2 C_voltage,node_BUS1 C_voltage,node_BUSC A_voltage,node_BUSC B_voltage,node_BUSC C_voltage,node_BUS0 A_voltage,node_BUS0 B_voltage,node_BUS0 C_voltage,node_GEN1 A_voltage,node_GEN1 B_voltage,node_GEN1 C_voltage,node_WNDG1_saturated_transformer_internal_top_voltage,node_WNDG2_saturated_transformer_internal_top_voltage,node_WNDG3_saturated_transformer_internal_top_voltage,coupled_lumped_sequence_impedance_1_source_equivalent_history_phase1_history_i_pu,coupled_lumped_sequence_impedance_1_source_equivalent_history_phase2_history_i_pu,coupled_lumped_sequence_impedance_1_source_equivalent_history_phase3_history_i_pu,coupled_lumped_sequence_impedance_2_source_equivalent_history_phase1_history_i_pu,coupled_lumped_sequence_impedance_2_source_equivalent_history_phase2_history_i_pu,coupled_lumped_sequence_impedance_2_source_equivalent_history_phase3_history_i_pu,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,output_fixed_5,output_fixed_6,branch_voltage_branch_fixed_1,branch_voltage_branch_fixed_2,branch_voltage_branch_fixed_3,FCTRL1,MACHV,TCTRL1,ICURR,synchronous_machine_1_d_axis_current,synchronous_machine_1_q_axis_current,synchronous_machine_1_zero_sequence_current,synchronous_machine_1_field_current,synchronous_machine_1_d_axis_damper_current,synchronous_machine_1_generator_field_current,synchronous_machine_1_q_axis_damper_current,synchronous_machine_1_phase_a_current,synchronous_machine_1_phase_b_current,synchronous_machine_1_phase_c_current,synchronous_machine_1_electromagnetic_torque,synchronous_machine_1_mechanical_angle_2,synchronous_machine_1_mechanical_speed_2,synchronous_machine_1_shaft_torque_1,synchronous_machine_1_shaft_torque_2,synchronous_machine_1_shaft_torque_3
0.002,0.146300207551,-6.1372983248e-08,-0.589418484744,3.39276478708e-08,0.443118277193,2.74453353772e-08,-8.42966490502e-05,-8.10969889952e-05,0.000165393638045,6.13720491685e-11,-3.39299325778e-11,-2.74421165906e-11,-0.0110351705534,-0.028281073305,0.0393162438584,-0.0140828877576,-0.0169421571725,0.0310250449301,0.000452820335441,0.00129970316805,-0.00175252350349,0.000417585550193,0.00119985372227,-0.00161743927247,-0.0110351705534,-0.028281073305,0.0393162438584,0.146300207551,-0.589418484744,0.443118277193,-8.4235276067e-05,-8.11309166431e-05,0.00016536619271,1.05,1.05,1.02,0.0505347082631,-0.0946338670672,-0.000578894521939,-7.55387983121e-18,0.0505347082631,-0.036849273054,9.17639118395e-06,5.13692372166e-05,-0.0566496764151,-0.0171840903562,0.0738337667713,-6.46663323313e-14,8.85398359449e-08,2.88470994292e-06,-9.05155525991e-09,-3.03264153149e-05,-8.0019493805e-05
0.0022,0.148803104545,-2.75124204314e-08,-0.616580180441,1.52072290372e-08,0.467777075896,1.23051913943e-08,-9.3478754425e-05,-0.000107652435358,0.000201131189783,2.75116082549e-11,-1.52099697801e-11,-1.23016384748e-11,-0.0118688265703,-0.0293671604612,0.0412359870315,-0.014947422304,-0.0175602118953,0.0325076341993,0.000389420515793,0.00154076975351,-0.0019301902693,0.000358940049511,0.00142230685824,-0.00178124690775,-0.0118688265703,-0.0293671604612,0.0412359870315,0.148803104545,-0.616580180441,0.467777075896,-9.34512420046e-05,-0.000107667642587,0.000201118884592,1.05,1.05,1.02,0.0555823896484,-0.101512605185,0.00128498278475,-5.21344610064e-17,0.0555823896484,-0.0407725928477,-2.0576785046e-05,-0.000113746626014,-0.0552009667269,-0.0259520147147,0.0811529814415,1.59112303328e-13,1.26740199641e-07,3.78251144184e-06,-1.29181105668e-08,-3.63609780916e-05,-9.57005167228e-05
0.0024,0.462202565755,-1.23333574385e-08,-0.576716801074,6.81507365474e-09,0.114514235318,5.51828378369e-09,-0.000100742475026,-0.000138969760508,0.000239712235534,1.23327899106e-11,-6.81826231698e-12,-5.51452759355e-12,0.0138802144515,-0.039862062141,0.0259818476896,0.00462201603216,-0.028915550257,0.0242935342248,0.000199421179928,0.00176403607728,-0.00196345725721,0.00018337032739,0.00162827832395,-0.00181164865134,0.0138802144515,-0.039862062141,0.0259818476896,0.462202565755,-0.576716801074,0.114514235318,-0.000100730141668,-0.000138976575582,0.00023970671725,1.05,1.05,1.02,0.0608380460257,-0.112510096681,0.00081916441841,-3.21598348293e-17,0.0608380460257,-0.0444712334872,-1.32896499855e-05,-7.22815941586e-05,-0.0562332177388,-0.0347957536666,0.0910289714054,1.11458442251e-13,1.76201425326e-07,4.85010070861e-06,-1.79009642864e-08,-4.29427059879e-05,-0.000112712975455
0.0026,0.346585364666,-5.52873921774e-09,-0.689448900319,3.05280042467e-09,0.342863535652,2.4759387931e-09,-0.000105029509003,-0.000175145556488,0.000280175065491,5.52849203023e-12,-3.05646241872e-12,-2.47202961154e-12,0.000575844666665,-0.0396683699814,0.0390925253147,-0.00633915076855,-0.0265590010975,0.032898151866,5.75798016051e-05,0.00203147553214,-0.00208905533375,5.23034800392e-05,0.00187500886525,-0.00192731234529,0.000575844666665,-0.0396683699814,0.0390925253147,0.346585364666,-0.689448900319,0.342863535652,-0.000105023980264,-0.000175148609288,0.000280172589552,1.05,1.05,1.02,0.0660848888401,-0.123686137051,-0.00019027908975,7.05388171644e-18,0.0660848888401,-0.0481411450517,2.75898354502e-06,1.72298047662e-05,-0.0563675260383,-0.0443846520012,0.10075217804,-2.77926999382e-14,2.38953342997e-07,6.102176485e-06,-2.41905006403e-08,-5.00711229164e-05,-0.000131032719434
0.0028,0.399576774262,-2.47824308032e-09,-0.661742996137,1.36597300827e-09,0.262166221875,1.11227007202e-09,-0.000106076680852,-0.000216474529129,0.00032255120998,2.47828953148e-12,-1.370138326e-12,-1.10815120545e-12,0.00573180982541,-0.0405625093106,0.0348306994852,-0.00218903261671,-0.0280810584791,0.0302700910958,-0.000104774490722,0.00228586289883,-0.00218108840811,-9.76915195698e-05,0.00210963671919,-0.00201194519962,0.00573180982541,-0.0405625093106,0.0348306994852,0.399576774262,-0.661742996137,0.262166221875,-0.000106074202609,-0.000216475895102,0.00032255009771,1.05,1.05,1.02,0.0710945513695,-0.130906240095,0.00221697142471,-8.41644669716e-17,0.0710945513695,-0.0519869698256,-3.57402177773e-05,-0.000195925211191,-0.0510897510046,-0.055775831183,0.106865582188,3.54932147133e-13,3.17194161216e-07,7.55341807235e-06,-3.19892453029e-08,-5.77456709727e-05,-0.000150633750826
0.003,0.672165508857,-1.11049193971e-09,-0.604580498202,6.09567977144e-10,-0.0675850106545,5.00923962592e-10,-0.000103361126204,-0.000262921978467,0.000366283104671,1.11095737641e-12,-6.14199939383e-13,-4.96757437056e-13,0.0289619561887,-0.048792524423,0.0198305682343,0.015698206684,-0.0375177407808,0.0218195340968,-0.000376512200293,0.00251534733865,-0.00213883513836,-0.000348693578487,0.00232121625608,-0.0019725226776,0.0289619561887,-0.048792524423,0.0198305682343,0.672165508857,-0.604580498202,-0.0675850106545,-0.000103360015713,-0.000262922588035,0.000366282603747,1.05,1.05,1.02,0.0763215428576,-0.142407656054,0.00124721970794,-3.41125942899e-17,0.0763215428576,-0.0556004720226,-2.05089989134e-05,-0.000109683525298,-0.0485862102697,-0.067196146467,0.115782356737,2.15364582099e-13,4.13290066363e-07,9.21848305779e-06,-4.15110106677e-08,-6.59657007589e-05,-0.000171488263401
0.0032,0.541964453708,-4.97078135412e-10,-0.719892396284,2.7021288081e-10,0.177927942576,2.26865254572e-10,-9.59411665428e-05,-0.000314397245704,0.000410338412247,4.98015375812e-13,-2.75331007394e-13,-2.22684368389e-13,0.014401149338,-0.0481179642422,0.0337168149042,0.0037934727354,-0.0346312752066,0.0308378024712,-0.000593623777222,0.00279000822975,-0.00219638445253,-0.000549204279258,0.00257447597776,-0.0020252716985,0.014401149338,-0.0481179642422,0.0337168149042,0.541964453708,-0.719892396284,0.177927942576,-9.59406694646e-05,-0.000314397515917,0.000410338185382,1.05,1.05,1.02,0.0814665272766,-0.152755989736,0.000601827980163,1.76880986433e-17,0.0814665272766,-0.0592515416908,-1.03410827607e-05,-5.23292958692e-05,-0.0439942586653,-0.0790758947736,0.123070153439,1.11923104464e-13,5.29775171739e-07,1.11120041311e-05,-5.29799974838e-08,-7.47304608347e-05,-0.000193566684113
0.0034,0.628207827492,-2.21859673127e-10,-0.627365778524,1.17814404584e-10,-0.000842048968258,1.04045268572e-10,-8.36457679556e-05,-0.000371032419596,0.000454678187552,2.23248271919e-13,-1.23424244711e-13,-9.98240272379e-14,0.0245962803091,-0.0477773248412,0.0231810445321,0.012347617335,-0.0362028514479,0.0238552341129,-0.000844213636858,0.00302529380202,-0.00218108016516,-0.000780604217684,0.00279131461338,-0.00201071039569,0.0245962803091,-0.0477773248412,0.0231810445321,0.628207827492,-0.627365778524,-0.000842048968258,-8.36455460959e-05,-0.000371032537411,0.000454678083507,1.05,1.05,1.02,0.0864543561757,-0.160594212059,0.00339576344714,-1.05292110809e-16,0.0864543561757,-0.0630071344364,-5.51305445143e-05,-0.000299581773846,-0.0347154169121,-0.0921737753722,0.126889192284,6.68184604917e-13,6.69351065935e-07,1.32485861286e-05,-6.66298475758e-08,-8.40390867718e-05,-0.000216837717319
0.0036,0.851257026641,-9.81189694705e-11,-0.565563872956,4.92903338589e-11,-0.285693153684,4.88286355819e-11,-6.59604858909e-05,-0.000432519471663,0.000498479957554,1.00076811629e-13,-5.53281097264e-14,-4.47487018729e-14,0.0441430830052,-0.0539026978518,0.00975961484654,0.027557697227,-0.0436210842545,0.0160633870275,-0.00118350575031,0.00323392607026,-0.00205042031995,-0.0010938934481,0.00298348605756,-0.00188959260945,0.0441430830052,-0.0539026978518,0.00975961484654,0.851257026641,-0.565563872956,-0.285693153684,-6.59603877719e-05,-0.000432519520953,0.000498479908725,1.05,1.05,1.02,0.0916377624912,-0.172312510787,0.00186111879764,-8.7566351399e-17,0.0916377624912,-0.0665507062421,-3.10108476678e-05,-0.000163124513488,-0.0283427705639,-0.105181235494,0.133524006057,3.90349875081e-13,8.34886532942e-07,1.5642802623e-05,-8.27026575614e-08,-9.38905895436e-05,-0.00024126839156
0.0038,0.710045435184,-4.23068419431e-11,-0.670984768073,1.83224482338e-11,-0.0390606671113,2.3984393739e-11,-4.21146739368e-05,-0.000498595465617,0.000540710139554,4.48620189643e-14,-2.48022560766e-14,-2.00597629175e-14,0.0290830650871,-0.0524121049032,0.0233290398161,0.0153917651167,-0.0401081191369,0.0247163540202,-0.00146324856966,0.00348386768719,-0.00202061911753,-0.00135213019336,0.00321376415892,-0.00186163396555,0.0290830650871,-0.0524121049032,0.0233290398161,0.710045435184,-0.670984768073,-0.0390606671113,-4.21146316299e-05,-0.00049859548394,0.00054071011557,1.05,1.05,1.02,0.0966891695836,-0.18196708905,0.00184886438453,-2.42027191911e-17,0.0966891695836,-0.0701772475426,-3.10531491924e-05,-0.000161719135305,-0.0189770674291,-0.118134438678,0.137111506107,4.11000064684e-13,1.02941714504e-06,1.83091918871e-05,-1.01447948939e-07,-0.000104283843546,-0.00026682410874
