time_s,LOAD_v_pu,SOURCE_v_pu,output_fixed_1_pu,SOURCE.LOAD_pu,LOAD.SOURCE_pu,VTHY1_pu,VTHY2_pu,ALPHA_pu,LAMDAR_pu,LAMDA1_pu,LAMDA2_pu,GRID1_pu,GRID2_pu
0.00235,0,94.885524287,94.885524287,0,-0,94.885524287,-94.885524287,90,0.4,0.304405851723,0,0,0
0.0024,0,92.6789419636,92.6789419636,0,-0,92.6789419636,-92.6789419636,90,0.4,0.309094963379,0,0,0
0.00245,0,90.4394312534,90.4394312534,0,-0,90.4394312534,-90.4394312534,90,0.4,0.31367292271,0,0,0
0.0025,0,88.1677878439,88.1677878439,0,-0,88.1677878439,-88.1677878439,90,0.4,0.318138103187,0,0,0
0.00255,0,85.8648188392,85.8648188392,0,-0,85.8648188392,-85.8648188392,90,0.4,0.322488918354,0,0,0
0.0026,0,83.5313424732,83.5313424732,0,-0,83.5313424732,-83.5313424732,90,0.4,0.326723822387,0,0,0
0.00265,0,81.168187819,81.168187819,0,-0,81.168187819,-81.168187819,90,0.4,0.330841310644,0,0,0
0.0027,0,78.7761944942,78.7761944942,0,-0,78.7761944942,-78.7761944942,90,0.4,0.334839920202,0,0,0
0.00275,0,76.3562123626,76.3562123626,0,-0,76.3562123626,-76.3562123626,90,0.4,0.338718230373,0,0,0
0.0028,0,73.9091012323,73.9091012323,0,-0,73.9091012323,-73.9091012323,90,0.4,0.342474863213,0,0,0
0.00285,0,71.4357305502,71.4357305502,0,-0,71.4357305502,-71.4357305502,90,0.4,0.346108484008,0,0,0
0.0029,0,68.9369790932,68.9369790932,0,-0,68.9369790932,-68.9369790932,90,0.4,0.349617801749,0,0,0
0.00295,0,66.4137346558,66.4137346558,0,-0,66.4137346558,-66.4137346558,90,0.4,0.353001569593,0,0,0
0.003,0,63.8668937348,63.8668937348,0,-0,63.8668937348,-63.8668937348,90,0.4,0.356258585302,0,0,0
0.00305,0,61.2973612105,61.2973612105,0,-0,61.2973612105,-61.2973612105,90,0.4,0.359387691676,0,0,0
0.0031,0,58.7060500256,58.7060500256,0,-0,58.7060500256,-58.7060500256,90,0.4,0.362387776957,0,0,0
0.00315,0,56.0938808607,56.0938808607,0,-0,56.0938808607,-56.0938808607,90,0.4,0.365257775229,0,0,0
0.0032,0,53.461781807,53.461781807,0,-0,53.461781807,-53.461781807,90,0.4,0.367996666796,0,0,0
0.00325,0,50.8106880368,50.8106880368,0,-0,50.8106880368,-50.8106880368,90,0.4,0.370603478542,0,0,0
0.0033,0,48.1415414711,48.1415414711,0,-0,48.1415414711,-48.1415414711,90,0.4,0.37307728428,0,0,0
0.00335,0,45.4552904449,45.4552904449,0,-0,45.4552904449,-45.4552904449,90,0.4,0.375417205077,0,0,0
0.0034,0,42.7528893705,42.7528893705,0,-0,42.7528893705,-42.7528893705,90,0.4,0.377622409573,0,0,0
0.00345,0,40.0352983981,40.0352983981,0,-0,40.0352983981,-40.0352983981,90,0.4,0.379692114267,0,0,0
0.0035,0,37.3034830747,37.3034830747,0,-0,37.3034830747,-37.3034830747,90,0.4,0.381625583804,0,0,0
0.00355,0,34.5584140015,34.5584140015,0,-0,34.5584140015,-34.5584140015,90,0.4,0.383422131231,0,0,0
0.0036,0,31.8010664883,31.8010664883,0,-0,31.8010664883,-31.8010664883,90,0.4,0.385081118243,0,0,0
0.00365,0,29.0324202076,29.0324202076,0,-0,29.0324202076,-29.0324202076,90,0.4,0.38660195541,0,0,0
0.0037,0,26.2534588463,26.2534588463,0,-0,26.2534588463,-26.2534588463,90,0.4,0.387984102387,0,0,0
0.00375,0,23.465169756,23.465169756,0,-0,23.465169756,-23.465169756,90,0.4,0.389227068102,0,0,0
0.0038,0,20.6685436027,20.6685436027,0,-0,20.6685436027,-20.6685436027,90,0.4,0.390330410936,0,0,0
0.00385,0,17.8645740142,17.8645740142,0,-0,17.8645740142,-17.8645740142,90,0.4,0.391293738876,0,0,0
0.0039,0,15.0542572277,15.0542572277,0,-0,15.0542572277,-15.0542572277,90,0.4,0.392116709657,0,0,0
0.00395,0,12.2385917352,12.2385917352,0,-0,12.2385917352,-12.2385917352,90,0.4,0.392799030881,0,0,0
0.004,0,9.4185779294,9.4185779294,0,-0,9.4185779294,-9.4185779294,90,0.4,0.393340460123,0,0,0
0.00405,0,6.59521774768,6.59521774768,0,-0,6.59521774768,-6.59521774768,90,0.4,0.393740805015,0,0,0
0.0041,0,3.76951431651,3.76951431651,0,-0,3.76951431651,-3.76951431651,90,0.4,0.393999923317,0,0,0
0.00415,0,0.942471594837,0.942471594837,0,-0,0.942471594837,-0.942471594837,90,0.4,0.394117722964,0,0,0
0.0042,0,-1.8849059825,-1.8849059825,-0,0,-1.8849059825,1.8849059825,90,0.4,0,4.71226495624e-05,0,0
0.00425,0,-4.71161386172,-4.71161386172,-0,0,-4.71161386172,4.71161386172,90,0.4,0,0.000212035645668,0,0
0.0043,0,-7.53664772695,-7.53664772695,-0,0,-7.53664772695,7.53664772695,90,0.4,0,0.000518242185385,0,0
0.00435,0,-10.3590038572,-10.3590038572,-0,0,-10.3590038572,10.3590038572,90,0.4,0,0.000965633474987,0,0
0.0044,0,-13.1776794826,-13.1776794826,-0,0,-13.1776794826,13.1776794826,90,0.4,0,0.00155405055848,0,0
0.00445,0,-15.9916731413,-15.9916731413,-0,0,-15.9916731413,15.9916731413,90,0.4,0,0.00228328437408,0,0
0.0045,0,-18.7999850346,-18.7999850346,-0,0,-18.7999850346,18.7999850346,90,0.4,0,0.00315307582848,0,0
0.00455,0,-21.6016173828,-21.6016173828,-0,0,-21.6016173828,21.6016173828,90,0.4,0,0.00416311588891,0,0
0.0046,0,-24.3955747792,-24.3955747792,-0,0,-24.3955747792,24.3955747792,90,0.4,0,0.00531304569296,0,0
