time_s,BUS1_v_pu,BUS2_v_pu,BUS3_v_pu,output_fixed_1_pu,output_fixed_2_pu
0,0,0,0,0,0
2e-05,1,0.5,0,0.5,0
4e-05,1,0.5,0,0.5,0
6e-05,1,0.333333651222,0.333333651218,0.333333651222,0.333333651218
8e-05,1,0.333333015449,0.333333015439,0.333333015449,0.333333015439
0.0001,1,0.333333651227,0.333333651211,0.333333651227,0.333333651211
