time_s,case_1_load_v_pu,case_2_load_v_pu
0,0.5,1
5e-05,0.5,1
0.0001,0.5,1
0.00015,0.5,1
0.0002,0.5,1
0.00025,0.5,1
0.0003,0.5,1
0.00035,0.5,1
0.0004,0.5,1
0.00045,0.5,1
0.0005,0.5,1
