time_s,phase_a_voltage_v,phase_b_voltage_v,phase_c_voltage_v,phase_a_current_a,phase_b_current_a,phase_c_current_a,zero_current_a,d_axis_current_a,q_axis_current_a,electromagnetic_torque_nm,shaft_mass_1_speed_rad_s,terminal_power_w,rotor_port_power_w,magnetic_coenergy_j,kinetic_energy_j,elastic_energy_j,dissipated_energy_j,maximum_energy_residual_j,maximum_energy_quadrature_defect_j,event_count,control_sample_count
0.0,0.0,0.0,0.0,0.0007254498882599068,-0.0003627249441299533,-0.0003627249441299533,1.0842021724855044e-19,0.0008884910300979219,0.0,0.0,188.49555921538757,0.0,0.0,0.8941758906988456,31089.25386343147,0.0,0.0,0.0,0.0,0,0
1.0e-5,1.2252182327145844,-282.0688652738847,280.84364704117013,0.0008059463136449179,-0.13093954114296225,0.13013359482931736,1.3877787807814457e-17,0.0002911228235909502,-0.18460899418742444,-0.1307568884679823,188.4955566875615,73.48214862424001,0.0,0.8944830279376268,31089.2530295845,0.0,0.0009190374541970775,9.464512116738599e-11,0.00018365482515750537,0,1
2.0e-5,2.4504190523660547,-282.6754654948903,280.22504644252433,0.0012826620545496451,-0.33979667933241564,0.3385140172778661,8.326672684688674e-17,-0.0020454625915761193,-0.47963630438454996,-0.3397362741926864,188.49555318906042,190.9154337765803,0.0,0.8962483044784365,31089.25187554367,0.0,0.0018387310896678733,1.9438098177500945e-9,0.00018365482515750537,0,1
3.0000000000000004e-5,3.675585046138776,-283.27804827182763,279.60246322568895,0.002248271742001785,-0.5488349635881651,0.5465866918461635,1.1102230246251565e-16,-0.006006724188846152,-0.7745616844064136,-0.5486703886869145,188.4955484965208,308.30814642915743,0.0,0.8995800013937801,31089.2503276287,0.0,0.002760061336176278,4.516468370303894e-9,0.00018365482515750537,0,1
4.0e-5,4.900698801712063,-283.8766050406616,278.9759062389495,0.0037026293020886447,-0.7580554890107392,0.7543528597086507,1.1102230246251565e-16,-0.011591815381885473,-1.0693809894746735,-0.7575726495788943,188.49554261016303,425.6586367849551,0.0,0.9044766543683488,31089.248385912313,0.0,0.003684046591723688,7.088635142413202e-9,0.00018365482515750537,0,1
5.0e-5,6.125742907507657,-284.4711272945756,278.34538438706784,0.005645619693759374,-0.9674593643221151,0.9618137446283561,2.220446049250313e-16,-0.01879986431013564,-1.3640900773388167,-0.9664564628747488,188.49553553013143,542.965256052548,0.0,0.910936808444159,31089.246050442165,0.0,0.004611704250554445,9.641295854560805e-9,0.00018365482515750537,0,2
6.000000000000001e-5,7.350699952937171,-285.06160658409226,277.71090663115507,0.008077154410404411,-1.1770477094061076,1.168970554995703,-1.1102230246251565e-16,-0.027629979321183162,-1.6586848083138666,-1.1753352220331108,188.49552725649315,660.2263564609564,0.0,0.918959018785798,31089.243321240436,0.0,0.0055440507239543045,1.2210510205376557e-8,0.00018365482515750537,0,2
7.000000000000001e-5,8.57555252864954,-285.64803451719405,277.0724819885445,0.010997171442816152,-1.3868216550797559,1.3758244836369398,0.0,-0.038081248987090754,-1.9531610453386408,-1.384222307005024,188.49551778923828,777.4402912826832,0.0,0.9285418506454985,31089.240198303916,0.0,0.00648210146143907,1.4763762852879059e-8,0.00018365482515750537,0,2
8.0e-5,9.800283226778445,-286.2304027594419,276.43011953266347,0.014405639699371413,-1.5967823449917202,1.582376705292349,1.1102230246251565e-16,-0.0501527366578719,-2.247514654054563,-1.5931310828328527,188.49550712828105,894.6054148649292,0.0,0.939683878525601,31089.236681604372,0.0,0.007426870971447477,1.731807445278649e-8,0.00018365482515750537,0,2
9.0e-5,11.02487464118972,-286.8087030340941,275.78382839290435,0.018302556730925415,-1.806930934260819,1.788628377529894,2.220446049250313e-16,-0.06384348321314137,-2.5417415028535064,-1.8020748986541621,188.49549527345943,1011.7200826484844,0.0,0.9523836865391196,31089.232771088416,0.0,0.00837937284175669,1.9862662433214884e-8,0.00018365482515750537,0,2
0.0001,12.249309367728726,-287.3829271222235,275.1336177544948,0.022687950908279124,-2.017268590254032,1.9945806393457532,2.220446049250313e-16,-0.07915250435619492,-2.835837462946169,-2.011067086323617,188.49548222453734,1128.7826511947906,0.0,0.9666398679679092,31089.228466678265,0.0,0.009340619759838922,2.239772300266507e-8,0.00018365482515750537,0,3
0.00011,13.473570004467703,-287.95306686283493,274.47949685836727,0.027561876924632606,-2.2277964902017335,2.2002346132771016,2.220446049250313e-16,-0.09607879608422298,-3.1297984083995596,-2.2201209597862688,188.4954679812004,1245.7914782007103,0.0,0.9824510260198156,31089.223768270273,0.0,0.010311623533378335,2.4943515046851883e-8,0.00018365482515750537,0,3
0.00012000000000000002,14.6976391519531,-288.51911415298065,273.82147500102747,0.03292441574752529,-2.4385158209653897,2.405591405217865,4.440892098500626e-16,-0.11462133470610347,-3.4236202161949976,-2.4292498141268046,188.49545254305582,1362.7449225214586,0.0,0.9998157737861727,31089.218675734985,0.0,0.011293395111168725,2.74651636641976e-8,0.00018365482515750537,0,3
0.00013000000000000002,15.921499413452846,-289.08106094787564,273.1595615344227,0.038775679013871245,-2.649427780852922,2.6106521018390505,0.0,-0.13477907141098178,-3.7172987663065875,-2.6384669238899923,188.49543590963722,1479.641344201688,0.0,1.0187327333933922,31089.21318891864,0.0,0.012286944603504484,3.000322917369458e-8,0.00018365482515750537,0,3
0.00014000000000000001,17.145133395203604,-289.63889926101206,272.4937658658084,0.04511580674948061,-2.86053357829294,2.81541777154346,2.220446049250313e-16,-0.15655093501462458,-4.010829941748822,-2.847785542239645,188.49541808040246,1596.479104494283,0.0,1.039200536355219,31089.2073076425,0.0,0.01329328130228272,3.253579119837091e-8,0.00018365482515750537,0,3
0.00015000000000000001,18.36852370665797,-290.19262116427274,271.8240974576148,0.051944969527430856,-3.0718344325693376,3.019889463041907,2.220446049250313e-16,-0.1799358292617277,-4.3042096286446405,-3.057218899447916,188.49539905473873,1713.2565658872961,0.0,1.061217823119858,31089.20103170455,0.0,0.014313413701034988,3.5042455385353444e-8,0.00018365482515750537,0,4
0.00016,19.591652960731643,-290.74221878804383,271.1505658273122,0.05926336397306051,-3.283331571512211,3.2240682075391507,2.220446049250313e-16,-0.204932638283984,-4.597433716262685,-3.266780202567121,188.49537883195265,1829.97209211863,0.0,1.084783243821884,31089.194360876176,0.0,0.015348349515109633,3.75602380794926e-8,0.00018365482515750537,0,4
0.00017,20.814503774050515,-291.2876843213265,270.47318054727594,0.06707121270493449,-3.495026231262256,3.4279550185573213,-2.220446049250313e-16,-0.23154022661938756,-4.890498097075014,-3.4764826344898774,188.49535741127045,1946.6240481988475,0.0,1.1098954582322775,31089.187294902265,0.0,0.01639909570222727,4.005903367354513e-8,0.00018365482515750537,0,4
0.00018,22.037058767197745,-291.829010011848,269.79195124465036,0.0753687687033322,-3.706919658003217,3.6315508892998847,-4.440892098500626e-16,-0.2597574337958686,-5.1833986668352185,-3.686339351994462,188.49533479184805,2063.2108004421248,0.0,1.1365531348966178,31089.17983350452,0.0,0.017466658482517182,4.257055865458659e-8,0.00018365482515750537,0,4
0.00019,23.259300564960746,-292.3661881661724,269.10688760121167,0.08415631302530485,-3.919013106672451,3.8348567936471456,-4.440892098500626e-16,-0.2895830770722947,-5.47613132462576,-3.8963634850595694,188.49531097276636,2179.7307164849335,0.0,1.1647549514805249,31089.17197637991,0.0,0.018552043358252793,4.5054657608900595e-8,0.00018365482515750537,0,4
0.0002,24.481211796578133,-292.8992111498087,268.4179993532305,0.09343415694328011,-4.131307841652395,4.037873684709115,-4.440892098500626e-16,-0.32101594874904293,-5.768691972925699,-4.106568135223523,188.49528595304014,2296.1821653128463,0.0,1.19449959430458,31089.163723203576,0.0,0.019656255133505433,4.75474606700943e-8,0.00018365482515750537,0,5
0.00021,25.7027750959866,-293.4280713873207,267.7252962913341,0.1032026374542166,-4.343805134537942,4.240602497083725,0.0,-0.35405482161396784,-6.061076517647697,-4.316966375554367,188.4952597316005,2412.5635172751195,0.0,1.2257857590938102,31089.155073623093,0.0,0.020780297933940067,5.003704608638748e-8,0.00018365482515750537,0,5
0.00022,26.923973102067727,-293.95276136243365,267.0287882603659,0.1134621172097825,-4.556506263898016,4.4430441466882336,0.0,-0.388698448963138,-6.353280868195409,-4.527571249722425,188.49523230729514,2528.873144107378,0.0,1.2586121509204207,31089.146027258517,0.0,0.02192517522697812,5.2508814022550476e-8,0.00018365482515750537,0,5
0.00023,28.144788458894713,-294.4732736181416,266.3284851592469,0.12421298885684218,-4.769412516925198,4.645199528068355,0.0,-0.4249455591995239,-6.645300937541247,-4.738395769774021,188.4952036789061,2645.1094189624196,0.0,1.2929774833260965,31089.13658370826,0.0,0.02309188984142759,5.4986491363623324e-8,0.00018365482515750537,0,5
0.00024000000000000003,29.36520381597907,-294.98960075681333,265.6243969408343,0.13545567274896214,-4.982525188183253,4.847069515434291,4.440892098500626e-16,-0.46279485856867364,-6.93713264227341,-4.9494529156026665,188.4951738451412,2761.270716428783,0.0,1.3288804786621342,31089.126742546254,0.0,0.024281443986799576,5.745211506535952e-8,0.00018365482515750537,0,5
