category,family,application,fidelity,admitted,disposition,modulations
dc_ac,SinglePhaseTwoLevelBridge,StandaloneConversion,SwitchingDetailed,true,executable,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
dc_ac,ThreePhaseTwoLevelBridge,StandaloneConversion,AverageValue,true,executable,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
dc_ac,ThreePhaseTwoLevelBridge,StandaloneConversion,SwitchingStateEquivalent,true,executable,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
dc_ac,ThreePhaseTwoLevelBridge,StandaloneConversion,SwitchingDetailed,true,executable,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
dc_ac,ThreeLevelNeutralPointClampedBridge,StandaloneConversion,AverageValue,true,executable,CarrierSinusoidalPulseWidthModulation;PhaseShiftedCarrierPulseWidthModulation;SelectiveHarmonicElimination;NearestLevelModulation
dc_ac,ThreeLevelNeutralPointClampedBridge,StandaloneConversion,SwitchingStateEquivalent,true,executable,CarrierSinusoidalPulseWidthModulation;PhaseShiftedCarrierPulseWidthModulation;SelectiveHarmonicElimination;NearestLevelModulation
dc_ac,ThreeLevelNeutralPointClampedBridge,StandaloneConversion,SwitchingDetailed,true,executable,CarrierSinusoidalPulseWidthModulation;PhaseShiftedCarrierPulseWidthModulation;SelectiveHarmonicElimination;NearestLevelModulation
dc_ac,ThreeLevelTTypeBridge,StandaloneConversion,AverageValue,false,typed_unsupported_fidelity,CarrierSinusoidalPulseWidthModulation;PhaseShiftedCarrierPulseWidthModulation;SelectiveHarmonicElimination;NearestLevelModulation
dc_ac,ThreeLevelTTypeBridge,StandaloneConversion,SwitchingStateEquivalent,true,executable,CarrierSinusoidalPulseWidthModulation;PhaseShiftedCarrierPulseWidthModulation;SelectiveHarmonicElimination;NearestLevelModulation
dc_ac,ThreeLevelTTypeBridge,StandaloneConversion,SwitchingDetailed,true,executable,CarrierSinusoidalPulseWidthModulation;PhaseShiftedCarrierPulseWidthModulation;SelectiveHarmonicElimination;NearestLevelModulation
