step,release_ns,start_ns,completion_ns,jitter_ns,computation_ns,response_ns,slack_ns,overrun
90,145559855660429,145559856045696,145559856048316,385267,2620,387887,9612113,false
91,145559865660429,145559865779224,145559865781738,118795,2514,121309,9878691,false
92,145559875660429,145559876036066,145559876038593,375637,2527,378164,9621836,false
93,145559885660429,145559886039531,145559886042104,379102,2573,381675,9618325,false
94,145559895660429,145559895785997,145559895788519,125568,2522,128090,9871910,false
95,145559905660429,145559906029236,145559906031763,368807,2527,371334,9628666,false
96,145559915660429,145559916038851,145559916041346,378422,2495,380917,9619083,false
97,145559925660429,145559926039259,145559926041780,378830,2521,381351,9618649,false
98,145559935660429,145559935824667,145559935827164,164238,2497,166735,9833265,false
99,145559945660429,145559946032582,145559946035094,372153,2512,374665,9625335,false
