row,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6
phase_1,0.279856971178+0.888945683744im,0.198165443895+0.348950622517im,0.196726394411+0.350681722348im,0.17700233656+0.196672454877im,0.175031920417+0.211665998965im,0.168255005477+0.191700862713im
phase_2,0.198165443895+0.348950622517im,0.243149747611+0.943323678513im,0.17998869855+0.358716292004im,0.169332085835+0.230085518604im,0.166080304014+0.252767965078im,0.160578891826+0.226254059106im
phase_3,0.196726394411+0.350681722348im,0.17998869855+0.358716292004im,0.239953875218+0.946662978722im,0.165237846238+0.202869842677im,0.1626880816+0.220010376455im,0.157201407104+0.201267827883im
phase_4,0.17700233656+0.196672454877im,0.169332085835+0.230085518604im,0.165237846238+0.202869842677im,0.244207775756+0.986292090014im,0.172818436352+0.422121670594im,0.169890073581+0.428744315402im
phase_5,0.175031920417+0.211665998965im,0.166080304014+0.252767965078im,0.1626880816+0.220010376455im,0.172818436352+0.422121670594im,0.22566005806+0.99247114052im,0.161415010648+0.41428295353im
phase_6,0.168255005477+0.191700862713im,0.160578891826+0.226254059106im,0.157201407104+0.201267827883im,0.169890073581+0.428744315402im,0.161415010648+0.41428295353im,0.219552204175+1.00550439592im
