time_s,bus_v_pu,source_node_v_pu,source_v_pu,load_conductance_pu,inverter_p_pu,inverter_q_pu,id_pu,iq_pu,id_ref_pu,iq_ref_pu,p_ref_pu,q_ref_pu
0.000000000,1.031497623,1.049490530,1.050000000,0.843000000,0.371424041,0.053060577,0.371424041,-0.053060577,0.350000000,-0.050000000,0.350000000,0.050000000
0.000020000,1.031276121,1.049488735,1.050000000,0.843000000,0.369301144,0.052757306,0.369301144,-0.052757306,0.350000000,-0.050000000,0.350000000,0.050000000
0.000040000,1.031065478,1.049487119,1.050000000,0.843000000,0.367375701,0.052482243,0.367375701,-0.052482243,0.350000000,-0.050000000,0.350000000,0.050000000
0.000060000,1.030865003,1.049485663,1.050000000,0.843000000,0.365629487,0.052232784,0.365629487,-0.052232784,0.350000000,-0.050000000,0.350000000,0.050000000
0.000080000,1.030674057,1.049484353,1.050000000,0.843000000,0.364045957,0.052006565,0.364045957,-0.052006565,0.350000000,-0.050000000,0.350000000,0.050000000
0.000100000,1.030492053,1.049483176,1.050000000,0.843000000,0.362610095,0.051801442,0.362610095,-0.051801442,0.350000000,-0.050000000,0.350000000,0.050000000
0.000120000,1.030318447,1.049482118,1.050000000,0.843000000,0.361308269,0.051615467,0.361308269,-0.051615467,0.350000000,-0.050000000,0.350000000,0.050000000
0.000140000,1.030152736,1.049481168,1.050000000,0.843000000,0.360128105,0.051446872,0.360128105,-0.051446872,0.350000000,-0.050000000,0.350000000,0.050000000
0.000160000,1.029994454,1.049480317,1.050000000,0.843000000,0.359058370,0.051294053,0.359058370,-0.051294053,0.350000000,-0.050000000,0.350000000,0.050000000
0.000180000,1.029843170,1.049479554,1.050000000,0.843000000,0.358088865,0.051155552,0.358088865,-0.051155552,0.350000000,-0.050000000,0.350000000,0.050000000
0.000200000,1.029698485,1.049478872,1.050000000,0.843000000,0.357210334,0.051030048,0.357210334,-0.051030048,0.350000000,-0.050000000,0.350000000,0.050000000
0.000220000,1.029560028,1.049478262,1.050000000,0.843000000,0.356414370,0.050916339,0.356414370,-0.050916339,0.350000000,-0.050000000,0.350000000,0.050000000
0.000240000,1.029427455,1.049477718,1.050000000,0.843000000,0.355693343,0.050813335,0.355693343,-0.050813335,0.350000000,-0.050000000,0.350000000,0.050000000
0.000260000,1.029300445,1.049477233,1.050000000,0.843000000,0.355040326,0.050720047,0.355040326,-0.050720047,0.350000000,-0.050000000,0.350000000,0.050000000
0.000280000,1.029178701,1.049476802,1.050000000,0.843000000,0.354449030,0.050635576,0.354449030,-0.050635576,0.350000000,-0.050000000,0.350000000,0.050000000
0.000300000,1.029061945,1.049476420,1.050000000,0.843000000,0.353913743,0.050559106,0.353913743,-0.050559106,0.350000000,-0.050000000,0.350000000,0.050000000
0.000320000,1.028949919,1.049476081,1.050000000,0.843000000,0.353429281,0.050489897,0.353429281,-0.050489897,0.350000000,-0.050000000,0.350000000,0.050000000
0.000340000,1.028842382,1.049475781,1.050000000,0.843000000,0.352990939,0.050427277,0.352990939,-0.050427277,0.350000000,-0.050000000,0.350000000,0.050000000
0.000360000,1.028739108,1.049475517,1.050000000,0.843000000,0.352594443,0.050370635,0.352594443,-0.050370635,0.350000000,-0.050000000,0.350000000,0.050000000
0.000380000,1.028639888,1.049475285,1.050000000,0.843000000,0.352235914,0.050319416,0.352235914,-0.050319416,0.350000000,-0.050000000,0.350000000,0.050000000
0.000400000,1.028544522,1.049475082,1.050000000,0.843000000,0.351911828,0.050273118,0.351911828,-0.050273118,0.350000000,-0.050000000,0.350000000,0.050000000
0.000420000,1.028452828,1.049474905,1.050000000,0.843000000,0.351618990,0.050231284,0.351618990,-0.050231284,0.350000000,-0.050000000,0.350000000,0.050000000
0.000440000,1.028364632,1.049474752,1.050000000,0.843000000,0.351354494,0.050193499,0.351354494,-0.050193499,0.350000000,-0.050000000,0.350000000,0.050000000
0.000460000,1.028279771,1.049474619,1.050000000,0.843000000,0.351115707,0.050159387,0.351115707,-0.050159387,0.350000000,-0.050000000,0.350000000,0.050000000
0.000480000,1.028198093,1.049474506,1.050000000,0.843000000,0.350900236,0.050128605,0.350900236,-0.050128605,0.350000000,-0.050000000,0.350000000,0.050000000
0.000500000,1.028119453,1.049474409,1.050000000,0.843000000,0.350705908,0.050100844,0.350705908,-0.050100844,0.350000000,-0.050000000,0.350000000,0.050000000
0.000520000,1.028043717,1.049474328,1.050000000,0.843000000,0.350530752,0.050075822,0.350530752,-0.050075822,0.350000000,-0.050000000,0.350000000,0.050000000
