frequency_hz,diagonal_z_ohm_per_m,mutual_z_ohm_per_m
10,0.000202451699095,7.93634580298e-05
60,0.000863648576777,0.000410384509632
600,0.00765152973021,0.00328662187607
6000,0.069051496192,0.025486506491
