time_s,phase_a_v_pu,phase_b_v_pu,phase_c_v_pu,v_ab_pu,v_bc_pu,v_ca_pu
0,0,-0.866025402918,0.866025402918,0.866025402918,-1.73205080584,0.866025402918
5e-05,0.0157073172961,-0.873772222162,0.858064904866,0.889479539458,-1.73183712703,0.842357587569
0.0001,0.0314107590467,-0.881303451184,0.849892692137,0.91271421023,-1.73119614332,0.81848193309
0.00015,0.0471064506625,-0.888617231766,0.841510781104,0.935723682429,-1.73012801287,0.794404330441
0.0002,0.0627905194665,-0.895711759344,0.832921239877,0.95850227881,-1.72863299922,0.770130720411
0.00025,0.0784590956494,-0.902585283447,0.824126187798,0.981044379097,-1.72671147125,0.745667092149
0.0003,0.0941083132244,-0.909236108138,0.815127794913,1.00334442136,-1.72436390305,0.721019481689
0.00035,0.109734310981,-0.915662592424,0.805928281443,1.02539690341,-1.72159087387,0.696193970461
0.0004,0.125333233439,-0.921863150667,0.796529917228,1.04719638411,-1.71839306789,0.671196683789
0.00045,0.140901231797,-0.927836252971,0.786935021174,1.06873748477,-1.71477127415,0.646033789378
0.0005,0.156434464884,-0.933580425564,0.77714596068,1.09001489045,-1.71072638624,0.620711495796
0.00055,0.171929100107,-0.939094251156,0.767165151048,1.11102335126,-1.7062594022,0.595236050941
0.0006,0.187381314398,-0.944376369293,0.756995054895,1.13175768369,-1.70137142419,0.569613740496
0.00065,0.202787295154,-0.949425476692,0.746638181539,1.15221277185,-1.69606365823,0.543850886385
0.0007,0.218143241178,-0.954240327562,0.736097086384,1.17238356874,-1.69033741395,0.517953845205
0.00075,0.233445363622,-0.958819733909,0.725374370287,1.19226509753,-1.6841941042,0.491929006664
0.0008,0.248689886916,-0.963162565834,0.714472678918,1.21185245275,-1.67763524475,0.465782792002
0.00085,0.263873049701,-0.967267751809,0.703394702107,1.23114080151,-1.67066245392,0.439521652406
0.0009,0.27899110576,-0.971134278939,0.692143173178,1.2501253847,-1.66327745212,0.413152067418
0.00095,0.294040324938,-0.974761193216,0.680720868278,1.26880151815,-1.65548206149,0.38668054334
0.001,0.309016994066,-0.978147599756,0.66913060569,1.28716459382,-1.64727820545,0.360113611624
0.00105,0.323917417874,-0.981292663011,0.657375245137,1.30521008089,-1.63866790815,0.333457827262
0.0011,0.338737919907,-0.984195606985,0.645457687078,1.32293352689,-1.62965329406,0.306719767172
0.00115,0.353474843426,-0.98685571542,0.633380871994,1.34033055885,-1.62023658741,0.279906028568
0.0012,0.368124552317,-0.989272331974,0.621147779657,1.35739688429,-1.61042011163,0.253023227341
0.00125,0.382683431982,-0.991444860382,0.6087614284,1.37412829236,-1.60020628878,0.226077996418
0.0013,0.397147890238,-0.993372764607,0.596224874369,1.39052065484,-1.58959763898,0.199076984132
0.00135,0.411514358194,-0.995055568966,0.583541210773,1.40656992716,-1.57859677974,0.172026852579
0.0014,0.425779291139,-0.996492858253,0.570713567114,1.42227214939,-1.56720642537,0.144934275974
0.00145,0.439939169416,-0.997684277838,0.557745108422,1.43762344725,-1.55542938626,0.117805939006
0.0015,0.453990499286,-0.998629533756,0.54463903447,1.45262003304,-1.54326856823,0.0906485351848
0.00155,0.467929813793,-0.999328392779,0.531398578987,1.46725820657,-1.53072697177,0.063468765194
0.0016,0.48175367362,-0.999780682475,0.518027008855,1.4815343561,-1.51780769133,0.0362733352351
0.00165,0.495458667937,-0.999986291247,0.50452762331,1.49544495918,-1.50451391456,0.00906895537354
0.0017,0.509041415241,-0.999945168366,0.490903753124,1.50898658361,-1.49084892149,-0.0181376621171
0.00175,0.522498564193,-0.999657323976,0.477158759782,1.52215588817,-1.47681608376,-0.045339804411
0.0018,0.535826794443,-0.9991228291,0.463296034657,1.53494962354,-1.46241886376,-0.0725307597866
0.00185,0.549022817449,-0.998341815616,0.449318998167,1.54736463306,-1.44766081378,-0.0997038192825
