time_s,phase_a_grid_voltage_v,phase_a_grid_current_a,phase_b_grid_current_a,phase_c_grid_current_a,neutral_current_a,dc_link_voltage_v,active_power_w,reactive_power_var,positive_sequence_voltage_v,negative_sequence_voltage_v,zero_sequence_voltage_v,controller_frequency_hz,phase_a_duty,operating_mode,request_disposition
0,362.944738619,-0.0365084914051,0.00360840325816,0.00360840325816,-0.000235656562923,799.997333485,-14.4545116894,2.69744427137e-15,0,0,0,50,0.5,0,0
2e-05,362.802454831,-1.63444324052,0.18876826713,0.256087204368,0.000856062937558,799.9839112,-667.295971441,16.9628392427,354.359516123,354.359516123,19.5959179423,50.0397887358,0.813350688164,0,0
4e-05,362.605708085,-3.54250983273,0.489605127802,0.75575873987,0.00872662900742,799.983958359,-1493.09307979,65.1239817324,354.359516123,354.359516123,19.5959179423,50.0397887358,0.813350688164,0,0
6e-05,362.351455284,-5.79934669685,0.950724646781,1.53878191305,0.0279529129464,799.968069292,-2519.27800724,138.531811221,353.599546146,353.561999852,19.4880674946,50.0796125365,0.830224419089,0,0
8e-05,362.038481236,-8.42098175212,1.60507825408,2.62510314788,0.0665741471262,799.968167538,-3760.0832803,229.497697818,353.599546146,353.561999852,19.4880674946,50.0796125365,0.830224419089,0,0
0.0001,361.66679354,-11.4084202144,2.4765827149,4.02182523722,0.126674022764,799.968447066,-5220.27151284,329.085157158,353.599546146,353.561999852,19.4880674946,50.0796125365,0.830224419089,0,0
0.00012,361.238286248,-14.7393193135,3.57498566826,5.71890283978,0.691265684315,799.952506248,-6890.59367925,427.777313189,353.128116402,353.027227066,19.4115312708,50.1196268391,0.857953513106,0,0
0.00014,360.757662306,-18.356417057,4.86298299662,7.64054942971,9.16315355223,799.973597749,-8730.07352535,511.784261651,353.128116402,353.027227066,19.4115312708,50.1196268391,0.857953513106,0,0
0.00016,360.237696649,-22.1015213902,6.18304750151,9.59395205326,4.68537009988,800.002484657,-10622.3238362,572.632325744,352.652670053,352.463052361,19.3536848371,50.1600433212,0.895444572293,0,0
0.00018,359.701894183,-25.6821713053,7.45773969251,11.4828185342,0.2246989494,800.024931261,-12433.0032404,610.291658124,352.652670053,352.463052361,19.3536848371,50.1600433212,0.895444572293,0,0
0.0002,359.173086781,-28.8146456966,8.64216103521,13.2460797854,-0.716907529163,800.022764992,-14043.1755034,627.689484471,352.652670053,352.463052361,19.3536848371,50.1600433212,0.895444572293,0,0
0.00022,358.658986122,-31.4051504627,9.72143279666,14.8522377236,2.64604830793,800.00819863,-15412.2542143,625.541277566,352.153908433,351.850068781,19.3054764264,50.2010653653,0.921368395877,0,0
0.00024,358.161178735,-33.437000871,10.6350212884,16.1875133427,9.87296216158,800.019555663,-16505.6030826,594.044286545,352.153908433,351.850068781,19.3054764264,50.2010653653,0.921368395877,0,0
0.00026,357.686372619,-34.8295648852,11.2387440516,17.0935497752,5.47634819573,800.039841122,-17245.6577913,539.369010699,351.661688651,351.217941563,19.2720316701,50.2428189663,0.922952858414,0,0
0.00028,357.248175956,-35.4159493457,11.5035886016,17.5481491597,1.09190282519,800.053121441,-17566.0942435,474.79136821,351.661688651,351.217941563,19.2720316701,50.2428189663,0.922952858414,0,0
0.0003,356.857915765,-35.0581432016,11.4361514764,17.5713608035,-1.31244186427,800.052890904,-17423.8553464,415.091616752,351.661688651,351.217941563,19.2720316701,50.2428189663,0.922952858414,0,0
0.00032,356.514003532,-33.7803834703,11.0764668681,17.2152817856,2.72031378583,800.034434409,-16843.8614864,369.498832479,351.209615415,350.600081962,19.2469924882,50.2853107197,0.925339370358,0,0
0.00034,356.203121952,-31.754264473,10.4331504561,16.453745182,9.37742079098,800.037603798,-15883.6680347,329.454109306,351.209615415,350.600081962,19.2469924882,50.2853107197,0.925339370358,0,0
0.00036,355.916362786,-29.0963346784,9.44179601436,15.2408887498,5.03077635906,800.051062711,-14567.3045645,304.82434678,350.820992541,350.019825374,19.2327357449,50.3284161862,0.929113572029,0,0
