time_s,bus1_v_pu,bus2_v_pu,bus3_v_pu
0.000000000,0.999999999,0.500000000,0.000000000
0.000020000,0.999999999,0.500000000,0.000000000
0.000040000,0.999999999,0.333333333,0.333333332
0.000060000,0.999999999,0.333333333,0.333333332
0.000080000,0.999999999,0.333333333,0.333333332
0.000100000,0.999999999,0.333333333,0.333333332
