time_s,terminal_power_w,cumulative_supplied_energy_j,maximum_kcl_residual_a,fault_closed
0,927552.780413,0,0,0
1e-05,926831.610987,9.271921957,2.16004991671e-12,0
2e-05,926100.280694,18.5365814154,2.16004991671e-12,0
3e-05,925358.831106,27.7938769744,2.72848410532e-12,0
4e-05,924607.30437,37.0437076518,2.72848410532e-12,0
5e-05,923845.74321,46.2859728897,2.72848410532e-12,0
6e-05,923074.190923,55.5205725604,2.72848410532e-12,0
7e-05,922292.691367,64.7474069718,2.72848410532e-12,0
8e-05,921501.288971,73.9663768735,2.72848410532e-12,0
9e-05,920700.028726,83.177383462,2.72848410532e-12,0
0.0001,919888.956181,92.3803283865,3.18323145621e-12,0
0.00011,919068.117445,101.575113755,3.18323145621e-12,0
0.00012,918237.559181,110.761642138,3.18323145621e-12,0
0.00013,917397.328606,119.939816577,3.18323145621e-12,0
0.00014,916547.473486,129.109540587,3.18323145621e-12,0
0.00015,915688.042133,138.270718165,3.18323145621e-12,0
0.00016,914819.083406,147.423253793,3.18323145621e-12,0
0.00017,913940.646703,156.567052444,3.18323145621e-12,0
0.00018,913052.781962,165.702019587,3.18323145621e-12,0
0.00019,912155.539658,174.828061195,3.18323145621e-12,0
0.0002,911248.970797,183.945083747,3.18323145621e-12,0
0.00021,910333.126916,193.052994236,3.18323145621e-12,0
0.00022,909408.060081,202.151700171,3.18323145621e-12,0
0.00023,908473.822879,211.241109586,3.18323145621e-12,0
0.00024,907530.468421,220.321131042,3.18323145621e-12,0
0.00025,906578.050335,229.391673636,3.18323145621e-12,0
0.00026,905616.622765,238.452647001,3.18323145621e-12,0
0.00027,904646.240368,247.503961317,3.18323145621e-12,0
0.00028,903666.958306,256.54552731,3.18323145621e-12,0
0.00029,902678.832253,265.577256263,3.18323145621e-12,0
0.0003,901681.918381,274.599060016,3.18323145621e-12,0
0.00031,900676.273363,283.610850975,3.18323145621e-12,0
0.00032,899661.954369,292.612542114,3.18323145621e-12,0
0.00033,898639.019063,301.604046981,3.18323145621e-12,0
0.00034,897607.525595,310.585279704,3.18323145621e-12,0
0.00035,896567.532606,319.556154995,3.18323145621e-12,0
0.00036,895519.099217,328.516588154,3.18323145621e-12,0
0.00037,894462.285031,337.466495076,3.18323145621e-12,0
0.00038,893397.150125,346.405792251,3.18323145621e-12,0
0.00039,892323.755052,355.334396777,3.18323145621e-12,0
0.0004,891242.160833,364.252226357,3.18323145621e-12,0
0.00041,890152.428954,373.159199306,3.18323145621e-12,0
0.00042,889054.621366,382.055234557,3.18323145621e-12,0
0.00043,887948.800476,390.940251666,3.18323145621e-12,0
0.00044,886835.029151,399.814170815,3.18323145621e-12,0
0.00045,885713.370705,408.676912814,3.18323145621e-12,0
0.00046,884583.888905,417.528399112,3.18323145621e-12,0
0.00047,883446.647959,426.368551796,3.18323145621e-12,0
0.00048,882301.712518,435.197293599,3.18323145621e-12,0
0.00049,881149.14767,444.014547899,3.18323145621e-12,0
0.0005,879989.018937,452.820238733,3.18323145621e-12,0
0.00051,878821.392271,461.614290789,3.18323145621e-12,0
0.00052,877646.334049,470.39662942,3.18323145621e-12,0
0.00053,876463.911073,479.167180646,3.18323145621e-12,0
0.00054,875274.19056,487.925871154,3.18323145621e-12,0
0.00055,874077.240146,496.672628307,3.18323145621e-12,0
0.00056,872873.127875,505.407380148,3.18323145621e-12,0
0.00057,871661.9222,514.130055398,3.18323145621e-12,0
0.00058,870443.691975,522.840583469,3.18323145621e-12,0
0.00059,869218.506456,531.538894461,3.18323145621e-12,0
0.0006,867986.435292,540.22491917,3.18323145621e-12,0
0.00061,866747.548526,548.898589089,3.18323145621e-12,0
0.00062,865501.916586,557.559836414,3.18323145621e-12,0
0.00063,864249.610286,566.208594049,3.18323145621e-12,0
0.00064,862990.700815,574.844795604,3.18323145621e-12,0
0.00065,861725.259743,583.468375407,3.18323145621e-12,0
0.00066,860453.359008,592.079268501,3.18323145621e-12,0
0.00067,859175.070915,600.67741065,3.18323145621e-12,0
0.00068,857890.468133,609.262738346,3.18323145621e-12,0
0.00069,856599.623691,617.835188805,3.18323145621e-12,0
0.0007,855302.610972,626.394699978,3.18323145621e-12,0
0.00071,853999.503707,634.941210551,3.18323145621e-12,0
0.00072,852690.375979,643.47465995,3.18323145621e-12,0
