time_s,maximum_receiving_voltage_difference_v,maximum_terminal_current_difference_a,maximum_terminal_power_difference_w,maximum_cumulative_energy_difference_j,coarse_maximum_kcl_residual_a,refined_maximum_kcl_residual_a
0,0.000681416524458,1.36282906169e-05,0.162432067096,0,0,0
1e-05,0.000679642966134,1.35928595455e-05,0.161837860942,4.74212277624e-06,2.16004991671e-12,1.02318153949e-12
2e-05,0.000677861826262,1.35572381623e-05,0.161231391132,9.46444241379e-06,2.16004991671e-12,1.47792889038e-12
3e-05,0.000676071555063,1.35214324928e-05,0.160616420209,1.41666956068e-05,2.72848410532e-12,1.47792889038e-12
4e-05,0.00067427137401,1.34854267344e-05,0.159992456436,1.88486162216e-05,2.72848410532e-12,1.70530256582e-12
5e-05,0.000672461523209,1.34492294137e-05,0.159358941019,2.35099375985e-05,2.72848410532e-12,1.70530256582e-12
6e-05,0.000671598536428,1.34319714107e-05,0.158716693521,2.81503946837e-05,2.72848410532e-12,1.70530256582e-12
7e-05,0.000673043818097,1.3460877426e-05,0.158065520227,3.27697269853e-05,2.72848410532e-12,2.16004991671e-12
8e-05,0.000674479502777,1.34895899464e-05,0.157405532897,3.73676670762e-05,2.72848410532e-12,2.16004991671e-12
9e-05,0.000675905597745,1.35181120413e-05,0.156736820936,4.19439553809e-05,2.72848410532e-12,2.16004991671e-12
0.0001,0.000677322103002,1.35464420055e-05,0.156058840454,4.64983352799e-05,3.18323145621e-12,2.16004991671e-12
0.00011,0.000678729062201,1.35745798389e-05,0.155371524394,5.10305476809e-05,3.18323145621e-12,2.16004991671e-12
0.00012,0.000680126271618,1.36025242909e-05,0.154676236212,5.55403331646e-05,3.18323145621e-12,2.16004991671e-12
0.00013,0.000681513862219,1.36302774081e-05,0.153971739113,6.00274354809e-05,3.18323145621e-12,2.50111042988e-12
0.00014,0.00068289173214,1.36578353249e-05,0.153258629143,6.44915985788e-05,3.18323145621e-12,2.50111042988e-12
0.00015,0.000684259932314,1.36851987236e-05,0.152536727488,6.8932567757e-05,3.18323145621e-12,2.50111042988e-12
0.00016,0.0006856183536,1.37123674904e-05,0.151806138456,7.3350093885e-05,3.18323145621e-12,2.50111042988e-12
0.00017,0.000686967112415,1.37393416253e-05,0.151066988707,7.77439259707e-05,3.18323145621e-12,2.50111042988e-12
0.00018,0.000688306019583,1.37661206736e-05,0.150319345295,8.21138127662e-05,3.18323145621e-12,2.50111042988e-12
0.00019,0.000689635184244,1.37927036121e-05,0.149563059211,8.64595071164e-05,3.18323145621e-12,2.50111042988e-12
0.0002,0.000690954533638,1.38190907819e-05,0.148798473179,9.07807591659e-05,3.18323145621e-12,2.50111042988e-12
0.00021,0.000692264104146,1.38452820693e-05,0.148025177419,9.5077323607e-05,3.18323145621e-12,2.50111042988e-12
0.00022,0.000693563793902,1.38712762237e-05,0.147243745625,9.93489592531e-05,3.18323145621e-12,2.50111042988e-12
0.00023,0.000694853661116,1.38970727903e-05,0.146453492343,0.000103595423411,3.18323145621e-12,2.50111042988e-12
0.00024,0.000696133618476,1.39226717693e-05,0.145654961467,0.000107816473957,3.18323145621e-12,2.50111042988e-12
0.00025,0.000697403687809,1.39480727057e-05,0.144848398864,0.000112011869135,3.18323145621e-12,2.50111042988e-12
0.00026,0.000698663832736,1.3973275486e-05,0.144033528864,0.000116181372647,3.18323145621e-12,2.50111042988e-12
0.00027,0.000699914067809,1.39982805649e-05,0.143210798502,0.000120324745552,3.18323145621e-12,2.50111042988e-12
0.00028,0.000701154342096,1.40230860097e-05,0.142379164696,0.000124441752575,3.18323145621e-12,2.50111042988e-12
0.00029,0.000702384670149,1.40476917068e-05,0.141539856791,0.000128532161909,3.18323145621e-12,2.50111042988e-12
0.0003,0.000703604964656,1.40720990203e-05,0.140692427754,0.000132595738592,3.18323145621e-12,2.50111042988e-12
0.00031,0.000704815283825,1.40963052218e-05,0.139837175608,0.000136632254168,3.18323145621e-12,2.50111042988e-12
0.00032,0.000706015620381,1.41203124713e-05,0.138973534107,0.000140641476435,3.18323145621e-12,2.50111042988e-12
0.00033,0.000707205894287,1.41441183814e-05,0.138102605939,0.000144623180176,3.18323145621e-12,3.18323145621e-12
0.00034,0.000708386141923,1.41677228385e-05,0.137223660946,0.000148577139214,3.18323145621e-12,3.18323145621e-12
0.00035,0.000709556305083,1.41911260698e-05,0.136336669326,0.000152503123047,3.18323145621e-12,3.18323145621e-12
0.00036,0.000710716376489,1.42143276207e-05,0.135441988707,0.000156400913568,3.18323145621e-12,3.18323145621e-12
0.00037,0.000711866341589,1.42373273775e-05,0.134539410472,0.000160270288916,3.18323145621e-12,3.18323145621e-12
0.00038,0.000713006207661,1.42601235211e-05,0.13362942636,0.000164111028084,3.18323145621e-12,3.18323145621e-12
0.00039,0.000714135938324,1.42827185527e-05,0.132711902261,0.000167922913931,3.18323145621e-12,3.18323145621e-12
0.0004,0.000715255504474,1.43051088344e-05,0.131786838174,0.000171705726984,3.18323145621e-12,3.18323145621e-12
0.00041,0.000716364884283,1.43272969808e-05,0.130854085088,0.000175459255786,3.18323145621e-12,3.18323145621e-12
0.00042,0.000717464143236,1.43492824236e-05,0.129914700985,0.000179183286946,3.18323145621e-12,3.18323145621e-12
0.00043,0.000718553172192,1.43710642533e-05,0.128966629505,0.00018287760679,3.18323145621e-12,3.18323145621e-12
0.00044,0.000719631985703,1.43926404235e-05,0.128011927009,0.000186542004769,3.18323145621e-12,3.18323145621e-12
0.00045,0.000720700525562,1.44140110478e-05,0.127049997449,0.000190176272724,3.18323145621e-12,3.18323145621e-12
0.00046,0.000721758900909,1.44351784002e-05,0.126080557704,0.000193780205848,3.18323145621e-12,3.18323145621e-12
0.00047,0.000722806995327,1.44561403204e-05,0.12510406971,0.000197353598253,3.18323145621e-12,3.18323145621e-12
0.00048,0.000723844867025,1.44768979453e-05,0.12412019074,0.000200896248145,3.18323145621e-12,3.18323145621e-12
0.00049,0.00072487234138,1.44974477507e-05,0.123129665852,0.000204407952026,3.18323145621e-12,3.18323145621e-12
0.0005,0.000725889607565,1.45177916693e-05,0.122132018209,0.00020788851208,3.18323145621e-12,3.18323145621e-12
0.00051,0.000726896541892,1.45379304968e-05,0.121127158403,0.000211337730377,3.18323145621e-12,3.18323145621e-12
0.00052,0.000727893093426,1.45578608226e-05,0.120116129518,0.000214755410241,3.18323145621e-12,3.18323145621e-12
0.00053,0.000728879364033,1.45775868532e-05,0.119097724557,0.000218141357323,3.18323145621e-12,3.18323145621e-12
0.00054,0.000729855215468,1.45971049506e-05,0.118072286248,0.000221495379435,3.18323145621e-12,3.18323145621e-12
0.00055,0.000730820713216,1.46164137504e-05,0.117040798068,0.000224817285471,3.18323145621e-12,3.18323145621e-12
0.00056,0.000731775849999,1.46355173456e-05,0.116002112627,0.000228106886311,3.18323145621e-12,3.18323145621e-12
0.00057,0.000732720563974,1.4654411757e-05,0.114957228303,0.000231363993407,3.18323145621e-12,3.18323145621e-12
0.00058,0.000733654880605,1.4673097553e-05,0.113905400038,0.000234588426451,3.18323145621e-12,3.18323145621e-12
0.00059,0.000734578708943,1.46915741652e-05,0.112847819924,0.000237780001498,3.18323145621e-12,3.18323145621e-12
0.0006,0.000735492169042,1.47098434127e-05,0.111782774329,0.000240938535512,3.18323145621e-12,3.18323145621e-12
0.00061,0.00073639511902,1.47279021121e-05,0.110712215304,0.000244063847163,3.18323145621e-12,3.18323145621e-12
0.00062,0.000737287638913,1.47457526509e-05,0.109634801745,0.000247155760917,3.18323145621e-12,3.18323145621e-12
0.00063,0.000738169706892,1.4763394006e-05,0.108551889658,0.000250214098628,3.18323145621e-12,3.18323145621e-12
0.00064,0.000739041308407,1.47808258362e-05,0.107461676002,0.000253238690675,3.18323145621e-12,3.18323145621e-12
0.00065,0.000739902316127,1.47980455267e-05,0.106366321445,0.000256229363231,3.18323145621e-12,3.18323145621e-12
0.00066,0.000740752846468,1.48150562609e-05,0.105264499784,0.000259185943492,3.18323145621e-12,3.18323145621e-12
0.00067,0.000741592852137,1.48318574702e-05,0.104156702757,0.000262108264224,3.18323145621e-12,3.18323145621e-12
0.00068,0.000742422289477,1.48484458578e-05,0.103043496609,0.000264996161036,3.18323145621e-12,3.18323145621e-12
0.00069,0.000743241220334,1.48648251752e-05,0.101923301816,0.000267849468855,3.18323145621e-12,3.18323145621e-12
0.0007,0.000744049564673,1.48809921257e-05,0.100798204541,0.000270668027611,3.18323145621e-12,3.18323145621e-12
0.00071,0.000744847351598,1.48969477323e-05,0.0996673256159,0.000273451676094,3.18323145621e-12,3.18323145621e-12
0.00072,0.000745634552004,1.49126893803e-05,0.0985307246447,0.000276200257417,3.18323145621e-12,3.18323145621e-12
0.00073,0.000746411104046,1.49282221855e-05,0.0973880589008,0.000278913613784,3.18323145621e-12,3.18323145621e-12
0.00074,0.000747177080484,1.49435409185e-05,0.0962400436401,0.000281591589896,3.18323145621e-12,3.18323145621e-12
0.00075,1391.81464069,175.301973489,15410533.1039,550.662403698,3.18323145621e-12,3.18323145621e-12
0.00076,595.247617274,190.449153929,18524077.9535,661.00335037,3.18323145621e-12,3.18323145621e-12
0.00077,1440.17221424,163.364682844,8955261.69184,771.784445928,3.18323145621e-12,3.18323145621e-12
0.00078,619.827770869,157.243199196,13788326.1469,873.99436291,3.18323145621e-12,3.18323145621e-12
0.00079,1014.66290344,154.994298756,8409164.65861,980.160946376,3.18323145621e-12,3.18323145621e-12
0.0008,487.802225254,143.083728639,12308563.929,1081.81224525,3.63797880709e-12,3.63797880709e-12
0.00081,680.740126206,143.342569496,8961863.75198,1187.44035725,3.63797880709e-12,3.63797880709e-12
0.00082,364.805099401,134.870804985,11694445.3721,1290.49010917,3.63797880709e-12,5.45696821064e-12
0.00083,458.485116566,134.76638612,9537642.79597,1396.6035206,3.86535248253e-12,5.45696821064e-12
0.00084,270.269335572,129.336581686,11362307.9579,1501.11184161,3.86535248253e-12,5.45696821064e-12
0.00085,313.861170193,128.854286877,9958260.05196,1607.72616265,3.86535248253e-12,6.36646291241e-12
0.00086,201.09139446,125.387819842,11148492.5908,1713.25436217,5.45696821064e-12,6.36646291241e-12
0.00087,219.149438034,124.748108038,10230203.0354,1820.11919139,5.45696821064e-12,7.27595761418e-12
0.00088,151.250661229,122.483893331,10993813.3285,1926.18729534,5.45696821064e-12,7.27595761418e-12
0.00089,156.302581589,121.822964779,10389708.3879,2033.03161876,5.45696821064e-12,7.27595761418e-12
0.0009,115.449873309,120.2923932,10871579.4125,2139.24621089,5.45696821064e-12,7.27595761418e-12
0.00091,116.663831217,119.671830315,10470342.1276,2245.84821318,5.45696821064e-12,7.27595761418e-12
0.00092,89.6416128599,118.593575579,10768099.8407,2351.91964517,5.45696821064e-12,9.09494701773e-12
0.00093,89.078903496,118.034053318,10497581.5226,2458.11637361,5.45696821064e-12,9.09494701773e-12
0.00094,70.8893346973,117.239198017,10675874.652,2563.84301715,5.45696821064e-12,9.09494701773e-12
0.00095,69.498991691,116.742198892,10489450.415,2669.5216769,1.09139364213e-11,9.09494701773e-12
