time_s,phase_a_voltage_v,phase_b_voltage_v,phase_c_voltage_v,phase_a_current_a,phase_b_current_a,phase_c_current_a,zero_current_a,d_axis_current_a,q_axis_current_a,electromagnetic_torque_nm,shaft_mass_1_speed_rad_s,shaft_mass_2_speed_rad_s,shaft_mass_3_speed_rad_s,shaft_mass_4_speed_rad_s,shaft_mass_5_speed_rad_s,shaft_mass_6_speed_rad_s,shaft_mass_7_speed_rad_s,shaft_mass_8_speed_rad_s,shaft_coupling_1_torque_nm,shaft_coupling_2_torque_nm,shaft_coupling_3_torque_nm,shaft_coupling_4_torque_nm,shaft_coupling_5_torque_nm,shaft_coupling_6_torque_nm,shaft_coupling_7_torque_nm,terminal_power_w,rotor_port_power_w,magnetic_coenergy_j,kinetic_energy_j,elastic_energy_j,dissipated_energy_j,maximum_energy_residual_j,maximum_energy_quadrature_defect_j,event_count,control_sample_count
0.0,0.0,0.0,0.0,0.0007254498882599068,-0.0003627249441299533,-0.0003627249441299533,1.0842021724855044e-19,0.0008884910300979219,0.0,0.0,188.49555921538757,188.49555921538757,188.49555921538757,188.49555921538757,188.49555921538757,188.49555921538757,188.49555921538757,188.49555921538757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8941758906988456,373071.0463611776,0.0,0.0,0.0,0.0,0,0
1.0e-5,1.2252182327145844,-282.0688652738847,280.84364704117013,0.0008059463136449179,-0.13093954114296225,0.13013359482931736,1.3877787807814457e-17,0.0002911228235909502,-0.18460899418742444,-0.1307568884679823,188.49555668754766,188.495555445476,188.4955541888394,188.49555318352995,188.49555236100397,188.49555167556562,188.4955510955793,188.49555059845432,2.423514359861656e-6,2.5132741257039015e-6,2.5132741399147562e-6,2.4675781844507583e-6,2.3990344288904453e-6,2.31994533805846e-6,2.237090129142416e-6,73.48214862424001,0.0,0.8944830279376268,373071.0206559285,1.952575975304512e-18,0.02579043959480443,1.2437711971458043e-10,0.00018365479542550509,0,1
2.0e-5,2.4504190523660547,-282.6754654948903,280.22504644252433,0.001282662054549628,-0.3397966793324118,0.3385140172778623,5.551115123125783e-17,-0.0020454625915758695,-0.4796363043845445,-0.33973627419268254,188.4955531890161,188.4955516755525,188.49554916229155,188.49554715167304,188.49554550662123,188.49554413574455,188.4955429757719,188.49554198153461,5.328995591877793e-6,7.816267586776421e-6,7.771041626927766e-6,7.600139772565018e-6,7.368462191110689e-6,7.110632465672992e-6,6.845383298773912e-6,190.91543377657814,0.0,0.8962483044784364,373070.99463048746,2.6756983256602312e-17,0.05158153347060787,1.944431404082847e-9,0.00018365479542550509,0,1
3.0000000000000004e-5,3.675585046138776,-283.27804827182763,279.60246322568895,0.002248271742004229,-0.5488349635881502,0.546586691846146,0.0,-0.006006724188841406,-0.7745616844063906,-0.5486703886868983,188.49554849644943,188.4955479055982,188.49554413574424,188.49554111981695,188.49553865223942,188.49553659592445,188.4955348559655,188.49553336462887,4.732462997881701e-6,1.3395639560521977e-5,1.3260028419578504e-5,1.293010688452334e-5,1.2509249526997113e-5,1.2052115678354292e-5,1.1587781469977673e-5,308.30814642914834,0.0,0.8995800013937801,373070.9682111742,1.1809487887813916e-16,0.0773742620571753,4.492872737044129e-9,0.00018365479542550509,0,1
4.0e-5,4.900698801712063,-283.8766050406616,278.9759062389495,0.003702629302095418,-0.7580554890107064,0.7543528597086113,1.6653345369377348e-16,-0.011591815381873094,-1.0693809894746225,-0.757572649578858,188.4955426100896,188.4955441355928,188.49553910919767,188.49553508796183,188.49553179785863,188.4955290561054,188.49552673616012,188.49552474773745,3.6060192688119885e-7,1.925129809996623e-5,1.898023487935732e-5,1.8457479579570002e-5,1.782139623217674e-5,1.7144395558631176e-5,1.6464278045757313e-5,425.65863678493486,0.0,0.9044766543683482,373070.94139806135,3.3854620738601516e-16,0.10316964375250919,7.073563002696348e-9,0.00018365479542550509,0,1
5.0e-5,6.125742907507657,-284.4711272945756,278.34538438706784,0.005645619693766375,-0.9674593643220621,0.9618137446282959,0.0,-0.018799864310118763,-1.3640900773387372,-0.9664564628746921,188.4955355301033,188.49554036551487,188.49553408265203,188.49552905610778,188.49552494347898,188.49552151628745,188.49551861635578,188.49551613086103,-8.036593748140392e-6,2.538314734903263e-5,2.4931661428834184e-5,2.4182258162336323e-5,2.3304902521864568e-5,2.238747198436003e-5,2.14748668821603e-5,542.9652560525162,0.0,0.9109368084441571,373070.9141911967,7.927182774423503e-16,0.12896869595085514,9.623832793181908e-9,0.00018365479542550509,0,2
6.000000000000001e-5,7.350699952937171,-285.06160658409226,277.71090663115507,0.008077154410411413,-1.1770477094060465,1.1689705549956353,1.1102230246251565e-16,-0.027629979321165288,-1.6586848083137757,-1.1753352220330462,188.49552725658216,188.4955365953416,188.49552905610753,188.495523024255,188.49551808910056,188.49551397647068,188.49551049655258,188.495507514,-2.0709312782890565e-5,3.1791082081608635e-5,3.11143082462606e-5,3.0104442728495773e-5,2.89597685624865e-5,2.7781345569077853e-5,2.6619535169011832e-5,660.2263564609202,0.0,0.918959018785795,373070.88659060234,1.680289464185403e-15,0.15477243506350075,1.2187016486253643e-8,0.00018365479542550509,0,2
7.000000000000001e-5,8.57555252864954,-285.64803451719405,277.0724819885445,0.01099717144281993,-1.386821655079718,1.3758244836368982,0.0,-0.03808124898708287,-1.953161045338585,-1.3842223070049842,188.49551778954273,188.495532825049,188.49552402956436,188.49551699240357,188.49551123472344,188.49550643665515,188.49550237675055,188.49549889715445,-3.790794129147207e-5,3.8474986718481374e-5,3.752817561462202e-5,3.622403369396565e-5,3.4785994684996546e-5,3.332601594917273e-5,3.189828234413661e-5,777.440291282661,0.0,0.928541850645497,373070.85859627504,3.3789578781573613e-15,0.18058187653996421,1.47960809576686e-8,0.00018365479542550509,0,2
8.0e-5,9.800283226778445,-286.2304027594419,276.43011953266347,0.014405639699368394,-1.5967823449917637,1.5823767052923954,1.1102230246251565e-16,-0.050152736657895325,-2.2475146540546262,-1.5931310828328975,188.4955071289265,188.49552905461178,188.49551900302274,188.49551096055364,188.49550438034774,188.49549889684093,188.49549425694974,188.49549028032476,-5.9883078150586855e-5,4.543473542194254e-5,4.41732638916531e-5,4.2541031324949685e-5,4.0783580911078754e-5,3.902148352208368e-5,3.7311100647960393e-5,894.6054148649545,0.0,0.939683878525604,373070.8302081867,6.557295659273904e-15,0.20639803488868774,1.729706181063939e-8,0.00018365479542550509,0,2
9.0e-5,11.02487464118972,-286.8087030340941,275.78382839290435,0.018302556730909345,-1.8069309342610358,1.7886283775301266,2.220446049250313e-16,-0.06384348321323619,-2.5417415028538217,-1.802074898654388,188.49549527460016,188.49552528400346,188.49551397648284,188.49550492870537,188.49549752597355,188.49549135702807,188.49548613715018,188.4954816635113,-8.688555047323132e-5,5.267019180714427e-5,5.104957339026328e-5,4.9055435727529684e-5,4.6952527638637054e-5,4.4867748332913515e-5,4.285798378633049e-5,1011.7200826486105,0.0,0.9523836865391342,373070.8014262838,1.231751982468651e-14,0.23222192369745318,1.9846522494870733e-8,0.00018365479542550509,0,2
