time_s,source_a_v_pu,source_b_v_pu,source_c_v_pu,primary_a_v_pu,primary_b_v_pu,primary_c_v_pu,load_a_v_pu,load_b_v_pu,load_c_v_pu
0,0,-0.862474699578,0.862474699578,0,-0.478115581188,0.478115581188,0,-0.0382600137382,0.0382600137382
5e-05,0.0156429173099,-0.870189756773,0.854546839463,0.00856717889248,-0.51619506258,0.507523361828,0.000469796034093,-0.110857080798,0.11016314945
0.0001,0.0312819749622,-0.877690107677,0.846408132715,0.0175539554378,-0.550586619441,0.532632271147,0.00183953501725,-0.17581591478,0.173117719703
0.00015,0.0469133142537,-0.884973901689,0.838060587435,0.0269217680322,-0.581689229839,0.553913791832,0.00403130945513,-0.233991460256,0.228129250158
0.0002,0.0625330783853,-0.892039341641,0.829506263255,0.036635091569,-0.609856675696,0.571786307597,0.00697369046252,-0.286141996342,0.276089710542
0.00025,0.0781374134142,-0.89888468424,0.820747270825,0.0466611800239,-0.63540140781,0.586619860584,0.0106011773163,-0.332937388751,0.317787675195
0.0003,0.0937224692042,-0.9055082405,0.811785771294,0.0569698240574,-0.658600598352,0.59874301793,0.0148536789853,-0.374972035931,0.353923010504
0.00035,0.109284400376,-0.911908376156,0.802623975778,0.0675331368013,-0.679698878131,0.608446305849,0.0196760558909,-0.412770710548,0.385114206864
0.0004,0.124819367257,-0.918083512071,0.793264144811,0.0783253509682,-0.698913374465,0.615987888262,0.0250176857597,-0.446799336788,0.411910526804
0.00045,0.140323536825,-0.924032124621,0.783708587792,0.0893226407117,-0.716435565993,0.621595965112,0.0308320823772,-0.477468945648,0.434797123037
0.0005,0.155793083659,-0.929752746075,0.773959662409,0.100502951728,-0.73243552324,0.625473517793,0.0370765318608,-0.505144747924,0.454205191776
0.00055,0.171224190881,-0.935243964954,0.764019774065,0.111845853236,-0.747063073311,0.627799897147,0.0437117757008,-0.530148614428,0.470515358796
0.0006,0.186613051095,-0.940504426382,0.753891375278,0.12333239563,-0.760451413545,0.628734835419,0.0507017058431,-0.552766808891,0.484066264864
0.00065,0.20195586733,-0.945532832419,0.743576965078,0.134944987609,-0.772717736875,0.628419400708,0.0580131014089,-0.573251315425,0.495156597643
0.0007,0.217248853976,-0.95032794238,0.73307908839,0.14666727684,-0.783966352186,0.626979432044,0.0656153728912,-0.59182651695,0.504052444007
0.00075,0.232488237717,-0.954888573144,0.72240033541,0.158484048079,-0.794288888559,0.624525998874,0.0734803436933,-0.608689622584,0.510988263998
0.0008,0.247670258464,-0.959213599442,0.711543340958,0.170381123056,-0.803767027098,0.621158382073,0.0815820353434,-0.624016515549,0.516173272519
0.00085,0.262791170281,-0.963301954139,0.700510783836,0.18234527612,-0.812472376734,0.616964147094,0.0898964864532,-0.637961478586,0.519791587571
0.0009,0.277847242308,-0.967152628494,0.689305386162,0.194364150173,-0.82046889968,0.612021767213,0.098401572189,-0.650662386954,0.522007847165
0.00095,0.292834759685,-0.970764672412,0.677929912699,0.206426186949,-0.827812531446,0.606400395518,0.107076854473,-0.662239887175,0.522966713891
0.001,0.307750024466,-0.974137194674,0.666387170176,0.218520556351,-0.834553364352,0.600162205893,0.115903430065,-0.672802072838,0.522797888456
0.00105,0.322589356534,-0.97726936316,0.654680006591,0.230637098945,-0.840735068699,0.593361930617,0.124863806846,-0.682443238403,0.521615113307
0.0011,0.337349094504,-0.980160405055,0.642811310512,0.242766266486,-0.846396884866,0.586048978302,0.133941775798,-0.691248145819,0.519520709371
0.00115,0.352025596634,-0.982809607037,0.630784010361,0.254899074615,-0.851572890291,0.578266789444,0.143122309058,-0.699290448817,0.516604190606
0.0012,0.366615241714,-0.985216315456,0.618601073695,0.267027052726,-0.856293839763,0.570054777749,0.152391451859,-0.706636635032,0.512946423211
0.00125,0.381114429969,-0.987379936491,0.606265506472,0.279142205178,-0.860586313205,0.561447544663,0.161736238764,-0.713344195587,0.508617938803
0.0013,0.395519583941,-0.989299936302,0.593780352307,0.291236968966,-0.864474435253,0.552476680519,0.171144602272,-0.719465309151,0.503682793947
0.00135,0.409827149374,-0.990975841158,0.581148691725,0.303304182033,-0.867978931258,0.54316987019,0.180605304226,-0.725044815439,0.498196650694
0.0014,0.424033596089,-0.992407237553,0.568373641401,0.315337047463,-0.871118750521,0.533552582624,0.190107858345,-0.730123693314,0.492210397495
0.00145,0.43813541886,-0.993593772313,0.555458353385,0.327329107723,-0.873910052021,0.523647092831,0.199642474297,-0.73473688414,0.485768050971
0.0015,0.452129138272,-0.994535152677,0.542406014333,0.339274214292,-0.876367750424,0.513474082212,0.209199991857,-0.738916604809,0.478910186109
0.00155,0.466011301585,-0.995231146374,0.529219844713,0.35116650685,-0.878504448377,0.503051596625,0.218771835553,-0.74269005695,0.471671701481
0.0016,0.479778483581,-0.995681581678,0.515903098016,0.363000387457,-0.880331920296,0.492396575092,0.228349958542,-0.746082606947,0.4640850963
0.00165,0.493427287416,-0.99588634745,0.502459059949,0.374770503865,-0.881860004416,0.481523759421,0.237926806069,-0.749115409208,0.456178132164
0.0017,0.506954345451,-0.995845393169,0.488891047628,0.38647172749,-0.883098036142,0.470447165081,0.247495267465,-0.751808478347,0.447976986459
0.00175,0.520356320087,-0.995558728938,0.475202408757,0.398099140165,-0.884053710185,0.459178954506,0.257048646964,-0.754178248602,0.439503836536
0.0018,0.533629904586,-0.995026425487,0.461396520802,0.409648015283,-0.884734472713,0.447730860961,0.266580622477,-0.756240557933,0.430779912608
0.00185,0.546771823892,-0.994248614155,0.447476790159,0.42111380742,-0.885146361671,0.436113035028,0.276085222553,-0.758008160891,0.421823024655
0.0019,0.559778835432,-0.993225486855,0.433446651315,0.432492136118,-0.885295364989,0.424335429959,0.285556790818,-0.759493640142,0.412650532971
0.00195,0.57264772992,-0.991957296028,0.419309565995,0.4437787779,-0.885186245418,0.412406628772,0.29498996805,-0.760706886331,0.403276833696
0.002,0.585375332149,-0.990444354582,0.405069022314,0.45496965227,-0.884823870498,0.400335197777,0.304379661359,-0.761657949211,0.393716261277
