time_s,uninterrupted_voltage_pu,resumed_voltage_pu
0,0.9999999995,0.9999999995
0.0001,1.03769018215,1.03769018215
0.0002,1.07532680499,1.07532680499
0.0003,1.11285638432,1.11285638432
0.0004,1.15022558855,1.15022558855
0.0005,1.18738131399,1.18738131399
0.0006,1.22427076034,1.22427076034
