time_s,BUS2 A_v_pu,BUS1 A_v_pu,BUS2 B_v_pu,BUS1 B_v_pu,BUS2 C_v_pu,BUS1 C_v_pu,BUSC A_v_pu,BUSC B_v_pu,BUSC C_v_pu,BUS0 A_v_pu,BUS0 B_v_pu,BUS0 C_v_pu,GEN1 A_v_pu,GEN1 B_v_pu,GEN1 C_v_pu,WNDG1_saturated_transformer_internal_top_v_pu,WNDG2_saturated_transformer_internal_top_v_pu,WNDG3_saturated_transformer_internal_top_v_pu,coupled_lumped_sequence_impedance_1_source_equivalent_history_phase1_history_i_pu_pu,coupled_lumped_sequence_impedance_1_source_equivalent_history_phase2_history_i_pu_pu,coupled_lumped_sequence_impedance_1_source_equivalent_history_phase3_history_i_pu_pu,coupled_lumped_sequence_impedance_2_source_equivalent_history_phase1_history_i_pu_pu,coupled_lumped_sequence_impedance_2_source_equivalent_history_phase2_history_i_pu_pu,coupled_lumped_sequence_impedance_2_source_equivalent_history_phase3_history_i_pu_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,branch_voltage_branch_fixed_1_pu,branch_voltage_branch_fixed_2_pu,branch_voltage_branch_fixed_3_pu,synchronous_machine_1_d_axis_current_pu,synchronous_machine_1_q_axis_current_pu,synchronous_machine_1_zero_sequence_current_pu,synchronous_machine_1_field_current_pu,synchronous_machine_1_d_axis_damper_current_pu,synchronous_machine_1_generator_field_current_pu,synchronous_machine_1_q_axis_damper_current_pu,synchronous_machine_1_phase_a_current_pu,synchronous_machine_1_phase_b_current_pu,synchronous_machine_1_phase_c_current_pu,synchronous_machine_1_electromagnetic_torque_pu,synchronous_machine_1_mechanical_angle_2_pu,synchronous_machine_1_mechanical_speed_2_pu,synchronous_machine_1_shaft_torque_1_pu,synchronous_machine_1_shaft_torque_2_pu,synchronous_machine_1_shaft_torque_3_pu
0,408241.029495,408241.029495,-204120.514748,-204120.514748,-204120.514748,-204120.514748,408241.029495,-204120.514748,-204120.514748,408248.29,-204124.145,-204124.145,15556.3492031,-15556.3492031,1.09991191798e-12,15556.3492031,-15556.3492031,-2.12679651668e-10,-8.65316541623e-13,2.91650169446e-11,1.0033386444e-10,-3.01083773692e-12,2.48652361658e-11,9.04061401692e-11,15556.3492031,-15556.3492031,1.09991191798e-12,408241.029495,-204120.514748,-204120.514748,0,5.82076609135e-11,-2.91038304567e-11,82.9380461398,0.00114050558528,-6.80047968278e-29,1960.1150313,-8.18545231596e-11,-3.59845303511e-11,-1.99066021371e-10,33.8593155558,33.8593155526,-67.7186311084,6.62344524487e-08,60.0007878897,0,-0.000663405594097,-0.00066347182841,-0.000331735914214
0.0002,191926.123661,7.35883073962e-08,-83408.8797929,-3.18040372758e-08,-108517.243868,-4.17842701296e-08,0.39656619872,-0.172343095994,-0.224223102698,1.49315490865e-12,-8.25500301474e-13,-6.67654598117e-13,11593.9125572,-10624.9972507,-968.915306527,7797.9991551,-8975.3370657,1177.3379106,-77.7941708692,33.8084494328,43.9857214366,-71.8522987134,31.2261803235,40.62611839,11593.9125572,-10624.9972507,-968.915306527,191926.123661,-83408.8797929,-108517.243868,0.396566125131,-0.17234306419,-0.224223060913,82.9572903315,1471.40981191,-1.80503394191e-13,1960.11396773,-0.000951840587732,-23.5481018158,-130.267837387,1112.09533053,-954.039317403,-158.056013124,0.0858144829999,60.0007812693,-0.0011554701685,-0.000662718307762,-0.000678823846106,-0.000331736710883
0.0004,124934.721532,1.97851265608e-07,-39564.4791414,-8.0142065177e-08,-85370.2423902,-1.17709200435e-07,1.84165082149,-0.769922965596,-1.07172785587,6.69345329589e-13,-3.70051869282e-13,-2.99293456244e-13,8091.30057997,-6325.71114357,-1765.5894364,5643.51269384,-5553.27462731,-90.2380665348,-127.904476538,49.6149537241,78.2895228136,-118.124733101,45.82084047,72.3038926313,8091.30057997,-6325.71114357,-1765.5894364,124934.721532,-39564.4791414,-85370.2423902,1.84165062364,-0.769922885454,-1.07172773816,-184.897641613,5639.18025092,-5.19050126332e-13,1974.91760262,13.2474746363,-90.4402912359,-498.99442335,4233.13526837,-3690.6371593,-542.498109071,0.32888500564,60.0007360406,-0.00673843207193,-0.000658030848417,-0.000783699014187,-0.000331745338826
0.0006,197093.44454,3.22831288523e-07,-62416.6815575,-1.19686983393e-07,-134676.762982,-2.03144305132e-07,4.59677709556,-1.82815406936,-2.76862302618,3.00051380501e-13,-1.65885328895e-13,-1.34166049786e-13,12761.7551283,-9978.99240671,-2782.76272162,8901.75075873,-8759.29882064,-142.45193809,-206.92178242,74.5765485544,132.345233866,-191.088999278,68.868975838,122.22002344,12761.7551283,-9978.99240671,-2782.76272162,197093.44454,-62416.6815575,-134676.762982,4.59677677273,-1.82815394968,-2.76862282303,-764.26606574,9578.20406412,-1.38790283624e-12,2006.99456911,41.8417548368,-154.215092776,-846.740790896,7294.41822542,-6148.53774388,-1145.88048153,0.558621234354,60.0005903889,-0.01868258529,-0.000642966435283,-0.00112139733436,-0.000331790991252
0.0008,175735.424264,4.66622360856e-07,-46176.2762251,-1.61434707684e-07,-129559.148039,-3.05187653173e-07,8.76846093765,-3.31411269479,-5.45434824284,1.34505821009e-13,-7.43623974523e-14,-6.01434227405e-14,11713.5770668,-8507.3851934,-3206.19187342,8299.54781696,-7616.33726048,-683.21055648,-276.743648653,92.7853039074,183.958344746,-255.548674281,85.6763574645,169.872316817,11713.5770668,-8507.3851934,-3206.19187342,175735.424264,-46176.2762251,-129559.148039,8.76846047103,-3.31411253335,-5.45434793765,-1459.11708096,12430.0837332,3.87187855462e-13,2045.57650667,76.0142196511,-201.103012932,-1097.55303812,9637.7324372,-7760.56423788,-1877.16819931,0.724967786502,60.0002773905,-0.0359459363527,-0.000610679548288,-0.0018469718815,-0.000331951744486
0.001,119550.094609,5.78997362858e-07,-6934.27468109,-1.81140053636e-07,-112615.819928,-3.97857309223e-07,14.2915657994,-5.1238352087,-9.16773059065,6.02957361162e-14,-3.33348719004e-14,-2.69608638498e-14,8867.38987689,-4807.35976992,-4060.03010697,6585.42474677,-4697.87588328,-1887.54886349,-323.316029275,94.9638963356,228.352132939,-298.523866993,87.6750028785,210.848864114,8867.38987689,-4807.35976992,-4060.03010697,119550.094609,-6934.27468109,-112615.819928,14.2915652204,-5.12383502756,-9.16773019279,-2671.3429578,16521.2836791,3.35372533639e-12,2112.89877905,135.616918605,-268.192437423,-1457.59191658,13026.2130574,-10088.407053,-2937.80600441,0.963631299169,59.9997354771,-0.0586357980192,-0.00055497132291,-0.00310289983572,-0.000332385363846
0.0012,191805.733574,6.96843357073e-07,-25359.6434977,-1.92543320267e-07,-166446.090077,-5.04300036806e-07,21.029635301,-7.09740407834,-13.9322312226,2.70291474685e-14,-1.49432207974e-14,-1.2085926507e-14,13714.8107433,-8296.93852107,-5417.87222223,10017.6924794,-7823.70253823,-2193.98994119,-398.858795723,104.596074237,294.262721487,-368.248599498,96.5570261477,271.691573351,13714.8107433,-8296.93852107,-5417.87222223,191805.733574,-25359.6434977,-166446.090077,21.0296346042,-7.0974038858,-13.9322307183,-4085.27021163,19984.4772092,1.53485611394e-11,2191.6238681,204.917401899,-325.759512952,-1761.32255231,16038.4918207,-11906.3355802,-4132.15624045,1.16572285816,59.9988998048,-0.0872165377862,-0.000469424510245,-0.00503903880984,-0.000333359677643
0.0014,150668.465096,8.26031350606e-07,-5130.02959077,-2.03151544591e-07,-145538.435506,-6.22879806016e-07,29.0716729585,-9.18692400946,-19.884748949,1.2116541111e-14,-6.69868737986e-15,-5.41785365759e-15,11292.3307749,-5911.83640394,-5380.49437093,8431.37965907,-5841.58651632,-2589.79314275,-457.212592494,105.962883454,351.249709041,-422.084940118,97.803063471,324.281876647,11292.3307749,-5911.83640394,-5380.49437093,150668.465096,-5130.02959077,-145538.435506,29.0716721324,-9.18692380631,-19.8847483261,-5445.35037579,22625.9929445,1.0496922192e-11,2267.66968669,271.230733089,-370.620805916,-1991.71088644,18492.3329141,-13030.2008472,-5462.13206693,1.31994767335,59.9977095053,-0.120529902505,-0.000348173286526,-0.00779575134773,-0.000335282406721
0.0016,108195.570996,9.21611035086e-07,28245.6939029,-1.92711104842e-07,-136441.264899,-7.28899930245e-07,38.3000887404,-11.2770821469,-27.0230065935,5.43157268693e-15,-3.00285769985e-15,-2.42871495412e-15,9279.24836736,-2972.94867664,-6306.29969072,7275.77354981,-3563.22835706,-3712.54519275,-497.953145894,93.7920678903,404.161078003,-459.642845035,86.5446035284,373.098241507,9279.24836736,-2972.94867664,-6306.29969072,108195.570996,28245.6939029,-136441.264899,38.3000878188,-11.2770819542,-27.0230058646,-7515.13797404,26400.6390253,-8.31724035023e-12,2383.22288439,372.337378013,-433.951704388,-2321.96717001,21975.3367828,-14801.976955,-7173.35982771,1.54039810468,59.9961090727,-0.158798284972,-0.000186069985097,-0.0115006331562,-0.000338729519199
0.0018,176202.710289,1.02651496397e-06,13299.8338621,-1.75129944661e-07,-189502.544151,-8.51385019313e-07,48.586561995,-13.2190145208,-35.3675474742,2.43486463289e-15,-1.34610498659e-15,-1.08875963152e-15,13932.4744119,-6168.30268283,-7764.17172906,10596.1663861,-6459.37612558,-4136.79026049,-565.981753639,87.7622308594,478.21952278,-522.396077619,80.9590284917,441.437049128,13932.4744119,-6168.30268283,-7764.17172906,176202.710289,13299.8338621,-189502.544151,48.5865609685,-13.2190143457,-35.3675466228,-9591.1881455,29228.9175283,1.65281374442e-11,2499.55488661,473.281542042,-482.619068452,-2567.7908777,24787.6983095,-15906.3645423,-8881.33376718,1.70577476303,59.9940410293,-0.202143387024,2.2044315374e-05,-0.0162854675258,-0.000344471732389
