time_s,source_value,observed_value,transducer_value,held_value
1e-05,0.314156863647,0.314156863647,4.85844814947e-05,0
2e-05,0.628313139932,0.628313139932,0.00019283511334,0
3e-05,0.9424607018,0.9424607018,0.000429791495521,0
4e-05,1.25660147516,1.25660147516,0.000756583834413,0
5e-05,1.57072733319,1.57072733319,0.00117043014036,0
6e-05,1.88484020194,1.88484020194,0.00166863351191,0
7e-05,2.19893195494,2.19893195494,0.0022485795041,0
8e-05,2.51300451848,2.51300451848,0.00290773357806,0
9e-05,2.82704976659,2.82704976659,0.00364363862965,0
0.0001,3.14106962593,3.14106962593,0.00445391259443,0
0.00011,3.45505597113,3.45505597113,0.00533624612674,0
0.00012,3.76901072936,3.76901072936,0.00628840035064,0
0.00013,4.08292577595,4.08292577595,0.00730820468032,0
0.00014,4.39680303872,4.39680303872,0.00839355470804,0
0.00015,4.71063439383,4.71063439383,0.00954241015731,0.00117043014036
0.00016,5.02442176985,5.02442176985,0.0107527928995,0.00117043014036
0.00017,5.33815704391,5.33815704391,0.0120227850316,0.00117043014036
0.00018,5.65184214543,5.65184214543,0.0133505270138,0.00117043014036
0.00019,5.96546895266,5.96546895266,0.0147342158643,0.00117043014036
0.0002,6.27903939599,6.27903939599,0.0161721034102,0.00445391259443
0.00021,6.59254535488,6.59254535488,0.0176624945922,0.00445391259443
0.00022,6.90598876085,6.90598876085,0.0192037458226,0.00445391259443
0.00023,7.21936149468,7.21936149468,0.0207942633926,0.00445391259443
0.00024,7.53266548913,7.53266548913,0.0224325019306,0.00445391259443
0.00025,7.84589262643,7.84589262643,0.0241169629068,0.00954241015731
0.00026,8.15904484069,8.15904484069,0.0258461931845,0.00954241015731
0.00027,8.47211401574,8.47211401574,0.027618783617,0.00954241015731
0.00028,8.78510208716,8.78510208716,0.0294333676865,0.00954241015731
0.00029,9.09800094047,9.09800094047,0.0312886201862,0.00954241015731
0.0003,9.41081251286,9.41081251286,0.0331832559427,0.0161721034102
0.00031,9.72352869168,9.72352869168,0.0351160285782,0.0161721034102
0.00032,10.0361514158,10.0361514158,0.0370857293106,0.0161721034102
0.00033,10.3486725746,10.3486725746,0.0390911857909,0.0161721034102
0.00034,10.6610941087,10.6610941087,0.0411312609771,0.0161721034102
0.00035,10.9734079096,10.9734079096,0.0432048520419,0.0241169629068
0.00036,11.2856159199,11.2856159199,0.045310889315,0.0241169629068
0.00037,11.5977100333,11.5977100333,0.0474483352579,0.0241169629068
0.00038,11.9096921944,11.9096921944,0.0496161834702,0.0241169629068
0.00039,12.2215542992,12.2215542992,0.0518134577273,0.0241169629068
0.0004,12.5332982946,12.5332982946,0.0540392110469,0.0331832559427
0.00041,12.844916079,12.844916079,0.056292524785,0.0331832559427
0.00042,13.1564096017,13.1564096017,0.0585725077601,0.0331832559427
0.00043,13.4677707635,13.4677707635,0.0608782954038,0.0331832559427
0.00044,13.7790015162,13.7790015162,0.0632090489383,0.0331832559427
0.00045,14.0900937634,14.0900937634,0.0655639545788,0.0432048520419
0.00046,14.4010494594,14.4010494594,0.0679422227611,0.0432048520419
0.00047,14.7118605106,14.7118605106,0.070343087393,0.0432048520419
0.00048,15.0225288739,15.0225288739,0.0727658051285,0.0432048520419
0.00049,15.3330464586,15.3330464586,0.0752096546645,0.0432048520419
0.0005,15.6434152247,15.6434152247,0.07767393606,0.0540392110469
0.00051,15.9536270843,15.9536270843,0.0801579700756,0.0540392110469
0.00052,16.2636840002,16.2636840002,0.0826610975334,0.0540392110469
0.00053,16.573577888,16.573577888,0.0851826786972,0.0540392110469
0.00054,16.8833107134,16.8833107134,0.0877220926718,0.0540392110469
0.00055,17.1928743952,17.1928743952,0.0902787368204,0.0655639545788
0.00056,17.5022709024,17.5022709024,0.0928520262007,0.0655639545788
0.00057,17.8114921571,17.8114921571,0.095441393018,0.0655639545788
0.00058,18.1205401317,18.1205401317,0.098046286095,0.0655639545788
