frequency_hz,source_scattering_spectral_norm,fitted_scattering_spectral_norm
1,1,0.999979394208
1.1220184543,1,0.999979394309
1.25892541179,1,0.999979394331
1.41253754462,1,0.999979394492
1.58489319246,1,0.999979394741
1.77827941004,1,0.999979394956
1.99526231497,1,0.99997939501
2.23872113857,1,0.999979394881
2.51188643151,1,0.999979394666
2.81838293126,1,0.999979394375
3.16227766017,1,0.999979394044
3.54813389234,1,0.999979393739
3.98107170553,1,0.999979393526
4.46683592151,1,0.999979393457
5.01187233627,1,0.999979393562
5.6234132519,1,0.999979393844
6.3095734448,1,0.999979394265
7.07945784384,1,0.999979394744
7.94328234724,1,0.999979395293
8.91250938134,1,0.999979395669
10,1,0.999979395675
11.220184543,1,0.999979395249
12.5892541179,1,0.999979394599
14.1253754462,1,0.999979393857
15.8489319246,1,0.999979393097
17.7827941004,1,0.999979392506
19.9526231497,1,0.999979392246
22.3872113857,1,0.999979392414
25.1188643151,1,0.999979393034
28.1838293126,0.999999999999,0.999979394007
31.6227766017,0.999999999999,0.999979395104
35.4813389234,0.999999999999,0.999979396404
39.8107170553,0.999999999999,0.999979397011
44.6683592151,0.999999999998,0.999979396614
50.1187233627,0.999999999997,0.999979395192
56.234132519,0.999999999997,0.999979393655
63.095734448,0.999999999995,0.999979391954
70.7945784384,0.999999999994,0.99997939058
79.4328234724,0.999999999992,0.999979389961
89.1250938134,0.999999999989,0.999979390353
100,0.999999999985,0.999979391804
112.20184543,0.999999999981,0.999979394008
125.892541179,0.999999999976,0.999979396679
141.253754462,0.99999999997,0.999979399001
158.489319246,0.999999999962,0.999979399322
177.827941004,0.999999999952,0.999979397191
199.526231497,0.99999999994,0.999979393775
223.872113857,0.999999999924,0.99997939023
251.188643151,0.999999999905,0.999979387249
281.838293126,0.99999999988,0.99997938592
316.227766017,0.999999999849,0.999979386828
354.813389234,0.999999999809,0.999979390044
398.107170553,0.99999999976,0.999979394843
446.683592151,0.999999999698,0.99997940126
501.187233627,0.999999999619,0.999979404378
562.34132519,0.99999999952,0.999979402338
630.95734448,0.999999999396,0.999979395161
707.945784384,0.999999999238,0.999979385433
794.328234724,0.99999999904,0.99997937946
891.250938134,0.99999999879,0.999979379285
1000,0.999999998474,0.999979381896
1122.0184543,0.999999998076,0.999979389824
1258.92541179,0.999999997572,0.999979404275
1412.53754462,0.999999996935,0.999979414222
1584.89319246,0.999999996128,0.999979413632
1778.27941004,0.999999995106,0.999979401144
1995.26231497,0.999999993809,0.999979387995
2238.72113857,0.999999992161,0.999979387731
2511.88643151,0.999999990064,0.999979394795
2818.38293126,0.999999987388,0.999979408331
3162.27766017,0.999999983968,0.999979422215
3548.13389234,0.999999979582,0.999979430583
3981.07170553,0.999999973943,0.999979419096
4466.83592151,0.999999966665,0.999979398569
5011.87233627,0.999999957235,0.999979382202
5623.4132519,0.999999944963,0.999979378577
6309.5734448,0.999999928915,0.999979373822
7079.45784384,0.999999907816,0.999979338309
7943.28234724,0.999999879917,0.99997926412
8912.50938134,0.999999842801,0.999979129258
10000,0.999999795384,0.999979280601
