time_s,maximum_receiving_voltage_difference_v,maximum_terminal_current_difference_a,maximum_terminal_power_difference_w,maximum_cumulative_energy_difference_j,coarse_maximum_kcl_residual_a,refined_maximum_kcl_residual_a
0,0.000899173777725,1.79833878065e-05,0.180902846158,0,0,0
1e-05,0.000897189587704,1.79437903398e-05,0.180916912854,4.42058022898e-06,1.5916157281e-12,2.04636307899e-12
2e-05,0.000895176031918,1.79035207566e-05,0.180889651179,8.8382336294e-06,1.5916157281e-12,2.04636307899e-12
3e-05,0.000893133947102,1.78626785328e-05,0.180841997266,1.32529419332e-05,1.5916157281e-12,2.72848410532e-12
4e-05,0.000891095558472,1.78219105464e-05,0.180808521807,1.76643066609e-05,1.5916157281e-12,2.72848410532e-12
5e-05,0.000889037153684,1.77807426098e-05,0.180750526488,2.20721157902e-05,1.81898940355e-12,2.72848410532e-12
6e-05,0.000886966256076,1.77393249032e-05,0.180690482259,2.64760699622e-05,1.81898940355e-12,2.72848410532e-12
7e-05,0.000884889028384,1.76977805495e-05,0.180624194443,3.08759210412e-05,2.50111042988e-12,2.72848410532e-12
8e-05,0.000882792148332,1.76558421572e-05,0.180546477437,3.52714039025e-05,2.50111042988e-12,2.72848410532e-12
9e-05,0.000883484812221,1.7669696831e-05,0.180460684001,3.96622461949e-05,2.72848410532e-12,2.72848410532e-12
0.0001,0.000885220681084,1.77044139491e-05,0.180366560817,4.4048193061e-05,2.72848410532e-12,2.72848410532e-12
0.00011,0.000886944355443,1.7738887891e-05,0.180263586342,4.84289740541e-05,2.72848410532e-12,2.72848410532e-12
0.00012,0.00088865574071,1.77731152462e-05,0.180151507258,5.28043323413e-05,2.72848410532e-12,2.72848410532e-12
0.00013,0.000890353832801,1.78070766879e-05,0.18003102392,5.71740024782e-05,2.72848410532e-12,2.72848410532e-12
0.00014,0.000892039948667,1.78407997282e-05,0.179901778698,6.15377202848e-05,2.72848410532e-12,3.41060513165e-12
0.00015,0.000893712902325,1.78742578782e-05,0.179763786495,6.58952284311e-05,2.72848410532e-12,3.41060513165e-12
0.00016,0.000895373246749,1.79074656899e-05,0.179616674781,7.02462579056e-05,2.72848410532e-12,3.41060513165e-12
0.00017,0.000897021076526,1.79404223672e-05,0.179461210966,7.45905498718e-05,2.72848410532e-12,3.41060513165e-12
0.00018,0.00089865582413,1.79731173375e-05,0.179297178984,7.89278401783e-05,2.72848410532e-12,3.41060513165e-12
0.00019,0.00090027807164,1.80055631063e-05,0.179123453796,8.32578717507e-05,2.72848410532e-12,3.41060513165e-12
0.0002,0.000901887433429,1.80377494416e-05,0.178941749036,8.75803819156e-05,2.72848410532e-12,3.41060513165e-12
0.00021,0.000903483887669,1.80696785037e-05,0.17875148356,9.18951097049e-05,2.72848410532e-12,3.41060513165e-12
0.00022,0.000905067630811,1.81013525662e-05,0.178551845253,9.62017950314e-05,2.72848410532e-12,3.41060513165e-12
0.00023,0.00090663836454,1.81327683322e-05,0.178344368935,0.000100500181929,2.72848410532e-12,3.41060513165e-12
0.00024,0.000908196328965,1.81639270522e-05,0.178127221763,0.000104790008777,2.72848410532e-12,3.41060513165e-12
0.00025,0.000909741320356,1.819482668e-05,0.177902579308,0.000109071014208,2.72848410532e-12,3.41060513165e-12
0.00026,0.000911273382371,1.82254676702e-05,0.177668385208,0.000113342945326,2.72848410532e-12,3.41060513165e-12
0.00027,0.00091279251501,1.82558508186e-05,0.17742562294,0.000117605542243,2.72848410532e-12,3.41060513165e-12
