time_s,L_v_pu,R_v_pu,C_v_pu,XX0001_v_pu,branch_voltage_branch_fixed_2_pu,switch_voltage_switch_fixed_1_pu,switch_current_switch_fixed_1_pu,branch_current_branch_fixed_1_pu,branch_current_branch_fixed_2_pu
0.00348,0,0,0,12,0,0,0,0,0
0.00351,0,0,0,12,0,0,0,0,0
0.00354,0,0,0,12,0,0,0,0,0
0.00357,0,0,0,12,0,0,0,0,0
0.0036,0,0,0,12,0,0,0,0,0
0.00363,0,0,0,12,0,0,0,0,0
0.00366,0,0,0,12,0,0,0,0,0
0.00369,0,0,0,12,0,0,0,0,0
0.00372,0,0,0,12,0,0,0,0,0
0.00375,0,0,0,12,0,0,0,0,0
0.00378,0,0,0,12,0,0,0,0,0
0.00381,0,0,0,12,0,0,0,0,0
0.00384,0,0,0,12,0,0,0,0,0
0.00387,0,0,0,12,0,0,0,0,0
0.0039,0,0,0,12,0,0,0,0,0
0.00393,0,0,0,12,0,0,0,0,0
0.00396,0,0,0,12,0,0,0,0,0
0.00399,0,0,0,12,0,0,0,0,0
0.00402,0,0,0,12,0,0,0,0,0
0.00405,0,0,0,12,0,0,0,0,0
0.00408,0,0,0,12,0,0,0,0,0
0.00411,0,0,0,12,0,0,0,0,0
0.00414,0,0,0,12,0,0,0,0,0
0.00417,0,0,0,12,0,0,0,0,0
0.0042,0,0,0,12,0,0,0,0,0
0.00423,0,0,0,12,0,0,0,0,0
0.00426,0,0,0,12,0,0,0,0,0
0.00429,0,0,0,12,0,0,0,0,0
0.00432,0,0,0,12,0,0,0,0,0
0.00435,0,0,0,12,0,0,0,0,0
0.00438,0,0,0,12,0,0,0,0,0
0.00441,0,0,0,12,0,0,0,0,0
0.00444,0,0,0,12,0,0,0,0,0
0.00447,0,0,0,12,0,0,0,0,0
0.0045,0,0,0,12,0,0,0,0,0
0.00453,0,0,0,12,0,0,0,0,0
0.00456,0,0,0,12,0,0,0,0,0
0.00459,0,0,0,12,0,0,0,0,0
0.00462,0,0,0,12,0,0,0,0,0
0.00465,0,0,0,12,0,0,0,0,0
0.00468,0,0,0,12,0,0,0,0,0
0.00471,0,0,0,12,0,0,0,0,0
0.00474,0,0,0,12,0,0,0,0,0
0.00477,0,0,0,12,0,0,0,0,0
0.0048,0,0,0,12,0,0,0,0,0
0.00483,0,0,0,12,0,0,0,0,0
0.00486,0,0,0,12,0,0,0,0,0
0.00489,0,0,0,12,0,0,0,0,0
0.00492,0,0,0,12,0,0,0,0,0
0.00495,0,0,0,12,0,0,0,0,0
0.00498,0,0,0,12,0,0,0,0,0
0.00501,0,0,0,12,0,0,0,0,0
0.00504,0,0,0,12,0,0,0,0,0
0.00507,0,0,0,12,0,0,0,0,0
0.0051,0,0,0,12,0,0,0,0,0
0.00513,0,0,0,12,0,0,0,0,0
0.00516,0,0,0,12,0,0,0,0,0
0.00519,0,0,0,12,0,0,0,0,0
0.00522,0,0,0,12,0,0,0,0,0
0.00525,0,0,0,12,0,0,0,0,0
0.00528,0,0,0,12,0,0,0,0,0
0.00531,0,0,0,12,0,0,0,0,0
0.00534,0,0,0,12,0,0,0,0,0
0.00537,0,0,0,12,0,0,0,0,0
0.0054,0,0,0,12,0,0,0,0,0
0.00543,0,0,0,12,0,0,0,0,0
0.00546,0,0,0,12,0,0,0,0,0
0.00549,0,0,0,12,0,0,0,0,0
0.00552,0,0,0,12,0,0,0,0,0
0.00555,0,0,0,12,0,0,0,0,0
0.00558,0,0,0,12,0,0,0,0,0
0.00561,0,0,0,12,0,0,0,0,0
0.00564,0,0,0,12,0,0,0,0,0
0.00567,0,0,0,12,0,0,0,0,0
0.0057,0,0,0,12,0,0,0,0,0
0.00573,0,0,0,12,0,0,0,0,0
0.00576,0,0,0,12,0,0,0,0,0
0.00579,0,0,0,12,0,0,0,0,0
0.00582,0,0,0,12,0,0,0,0,0
0.00585,0,0,0,12,0,0,0,0,0
0.00588,0,0,0,12,0,0,0,0,0
0.00591,0,0,0,12,0,0,0,0,0
0.00594,0,0,0,12,0,0,0,0,0
0.00597,0,0,0,12,0,0,0,0,0
0.006,0,0,0,12,0,0,0,0,0
0.00603,0,0,0,12,0,0,0,0,0
0.00606,0,0,0,12,0,0,0,0,0
0.00609,0,0,0,12,0,0,0,0,0
0.00612,0,0,0,12,0,0,0,0,0
0.00615,0,0,0,12,0,0,0,0,0
0.00618,0,0,0,12,0,0,0,0,0
0.00621,0,0,0,12,0,0,0,0,0
0.00624,0,0,0,12,0,0,0,0,0
0.00627,0,0,0,12,0,0,0,0,0
0.0063,0,0,0,12,0,0,0,0,0
0.00633,0,0,0,12,0,0,0,0,0
0.00636,0,0,0,12,0,0,0,0,0
0.00639,0,0,0,12,0,0,0,0,0
0.00642,0,0,0,12,0,0,0,0,0
0.00645,0,0,0,12,0,0,0,0,0
0.00648,0,0,0,12,0,0,0,0,0
0.00651,0,0,0,12,0,0,0,0,0
0.00654,0,0,0,12,0,0,0,0,0
0.00657,0,0,0,12,0,0,0,0,0
0.0066,0,0,0,12,0,0,0,0,0
0.00663,0,0,0,12,0,0,0,0,0
0.00666,0,0,0,12,0,0,0,0,0
0.00669,0,0,0,12,0,0,0,0,0
0.00672,0,0,0,12,0,0,0,0,0
0.00675,0,0,0,12,0,0,0,0,0
0.00678,0,0,0,12,0,0,0,0,0
0.00681,0,0,0,12,0,0,0,0,0
0.00684,0,0,0,12,0,0,0,0,0
0.00687,0,0,0,12,0,0,0,0,0
0.0069,0,0,0,12,0,0,0,0,0
0.00693,0,0,0,12,0,0,0,0,0
0.00696,0,0,0,12,0,0,0,0,0
0.00699,0,0,0,12,0,0,0,0,0
0.00702,0,0,0,12,0,0,0,0,0
0.00705,0,0,0,12,0,0,0,0,0
0.00708,0,0,0,12,0,0,0,0,0
0.00711,0,0,0,12,0,0,0,0,0
0.00714,0,0,0,12,0,0,0,0,0
0.00717,0,0,0,12,0,0,0,0,0
0.0072,0,0,0,12,0,0,0,0,0
0.00723,0,0,0,12,0,0,0,0,0
0.00726,0,0,0,12,0,0,0,0,0
0.00729,0,0,0,12,0,0,0,0,0
0.00732,0,0,0,12,0,0,0,0,0
0.00735,0,0,0,12,0,0,0,0,0
0.00738,0,0,0,12,0,0,0,0,0
0.00741,0,0,0,12,0,0,0,0,0
0.00744,0,0,0,12,0,0,0,0,0
0.00747,0,0,0,12,0,0,0,0,0
0.0075,0,0,0,12,0,0,0,0,0
0.00753,0,0,0,12,0,0,0,0,0
0.00756,0,0,0,12,0,0,0,0,0
0.00759,0,0,0,12,0,0,0,0,0
0.00762,0,0,0,12,0,0,0,0,0
0.00765,0,0,0,12,0,0,0,0,0
0.00768,0,0,0,12,0,0,0,0,0
0.00771,0,0,0,12,0,0,0,0,0
0.00774,0,0,0,12,0,0,0,0,0
0.00777,0,0,0,12,0,0,0,0,0
0.0078,0,0,0,12,0,0,0,0,0
0.00783,0,0,0,12,0,0,0,0,0
0.00786,0,0,0,12,0,0,0,0,0
0.00789,0,0,0,12,0,0,0,0,0
0.00792,0,0,0,12,0,0,0,0,0
0.00795,0,0,0,12,0,0,0,0,0
0.00798,0,0,0,12,0,0,0,0,0
0.00801,0,0,0,12,0,0,0,0,0
0.00804,0,0,0,12,0,0,0,0,0
0.00807,0,0,0,12,0,0,0,0,0
0.0081,0,0,0,12,0,0,0,0,0
0.00813,0,0,0,12,0,0,0,0,0
0.00816,0,0,0,12,0,0,0,0,0
0.00819,0,0,0,12,0,0,0,0,0
0.00822,0,0,0,12,0,0,0,0,0
0.00825,0,0,0,12,0,0,0,0,0
0.00828,0,0,0,12,0,0,0,0,0
0.00831,0,0,0,12,0,0,0,0,0
0.00834,0,0,0,12,0,0,0,0,0
0.00837,0,0,0,12,0,0,0,0,0
0.0084,0,0,0,12,0,0,0,0,0
0.00843,0,0,0,12,0,0,0,0,0
0.00846,0,0,0,12,0,0,0,0,0
0.00849,0,0,0,12,0,0,0,0,0
0.00852,0,0,0,12,0,0,0,0,0
0.00855,0,0,0,12,0,0,0,0,0
0.00858,0,0,0,12,0,0,0,0,0
0.00861,0,0,0,12,0,0,0,0,0
0.00864,0,0,0,12,0,0,0,0,0
0.00867,0,0,0,12,0,0,0,0,0
0.0087,0,0,0,12,0,0,0,0,0
0.00873,0,0,0,12,0,0,0,0,0
0.00876,0,0,0,12,0,0,0,0,0
0.00879,0,0,0,12,0,0,0,0,0
0.00882,0,0,0,12,0,0,0,0,0
0.00885,0,0,0,12,0,0,0,0,0
0.00888,0,0,0,12,0,0,0,0,0
0.00891,0,0,0,12,0,0,0,0,0
0.00894,0,0,0,12,0,0,0,0,0
0.00897,0,0,0,12,0,0,0,0,0
0.009,0,0,0,12,0,0,0,0,0
0.00903,0,0,0,12,0,0,0,0,0
0.00906,0,0,0,12,0,0,0,0,0
0.00909,0,0,0,12,0,0,0,0,0
0.00912,0,0,0,12,0,0,0,0,0
0.00915,0,0,0,12,0,0,0,0,0
0.00918,0,0,0,12,0,0,0,0,0
0.00921,0,0,0,12,0,0,0,0,0
0.00924,0,0,0,12,0,0,0,0,0
0.00927,0,0,0,12,0,0,0,0,0
0.0093,0,0,0,12,0,0,0,0,0
0.00933,0,0,0,12,0,0,0,0,0
0.00936,0,0,0,12,0,0,0,0,0
0.00939,0,0,0,12,0,0,0,0,0
0.00942,0,0,0,12,0,0,0,0,0
0.00945,0,0,0,12,0,0,0,0,0
0.00948,0,0,0,12,0,0,0,0,0
0.00951,0,0,0,12,0,0,0,0,0
0.00954,0,0,0,12,0,0,0,0,0
0.00957,0,0,0,12,0,0,0,0,0
0.0096,0,0,0,12,0,0,0,0,0
0.00963,0,0,0,12,0,0,0,0,0
0.00966,0,0,0,12,0,0,0,0,0
0.00969,0,0,0,12,0,0,0,0,0
0.00972,0,0,0,12,0,0,0,0,0
0.00975,0,0,0,12,0,0,0,0,0
0.00978,0,0,0,12,0,0,0,0,0
0.00981,0,0,0,12,0,0,0,0,0
0.00984,0,0,0,12,0,0,0,0,0
0.00987,0,0,0,12,0,0,0,0,0
0.0099,0,0,0,12,0,0,0,0,0
0.00993,0,0,0,12,0,0,0,0,0
0.00996,0,0,0,12,0,0,0,0,0
0.00999,0,0,0,12,0,0,0,0,0
0.01002,12,0.0114622657774,0.000147115990422,12,0.000128032614703,0.135784716804,1.76562764409e-06,0.011315149787,1.15248950717e-09
0.01005,12,0.0255691926603,0.0006900656318,12,0.0006189709617,0.298555846712,8.28094925964e-06,0.0248791270285,1.15411325067e-08
0.01008,12,0.0400666057609,0.00163969270457,12,0.00147662764704,0.461113813799,1.96766336558e-05,0.0384269130563,4.21616763445e-08
0.01011,11.9999999999,0.0549535711852,0.002995504847,12,0.00269964065761,0.623501250629,3.59462859478e-05,0.0519580663382,1.03995343576e-07
0.01014,11.9999999999,0.0702291428733,0.0047569964673,12,0.00428660195501,0.785654208357,5.70844704839e-05,0.065472146406,2.07981805336e-07
0.01017,11.9999999999,0.0858923626453,0.00692364877578,12,0.0062360577702,0.947615319546,8.30841528909e-05,0.0789687138695,3.65017804985e-07
0.0102,11.9999999999,0.101942260247,0.00949492981739,12,0.00854650890362,1.10936326791,0.000113939471191,0.0924473304299,5.85955790684e-07
0.01023,11.9999999999,0.118377853399,0.0124702945047,12,0.0112164110309,1.27089805346,0.000149643817338,0.105907558894,8.81602557047e-07
0.01026,11.9999999999,0.135198147838,0.0158491846511,12,0.0142441750137,1.43217704363,0.000190190583282,0.119348963187,1.26271789605e-06
0.01029,11.9999999999,0.152402137371,0.0196310290049,12,0.0176281672167,1.59326418725,0.000235572841234,0.132771108366,1.74001325736e-06
0.01032,11.9999999999,0.169988803918,0.0238152432831,12,0.0213667098287,1.75407421921,0.000285783983145,0.146173560635,2.32415041822e-06
0.01035,11.9999999998,0.187957117563,0.0284012302063,12,0.0254580811901,1.91467108834,0.000340816015409,0.159555887356,3.02574016308e-06
0.01038,11.9999999998,0.2063060366,0.0333883795335,12,0.0299005161253,2.07501216209,0.000400662116817,0.172917657066,3.85534097312e-06
0.01041,11.9999999998,0.225034507583,0.0387760680974,12,0.0346922062794,2.23511875674,0.000465314720088,0.186258439485,4.82345772581e-06
0.01044,11.9999999998,0.244141465374,0.0445636598406,12,0.0398313004617,2.39492692344,0.00053476604478,0.199577805534,5.94054040465e-06
0.01047,11.9999999998,0.263625833196,0.050750505851,12,0.0453159049923,2.55452192732,0.000609008203867,0.212875327345,7.21698281932e-06
0.0105,11.9999999998,0.283486522677,0.0573359443994,12,0.0511440840552,2.71379718697,0.000688033416907,0.226150578277,8.66312133628e-06
0.01053,11.9999999998,0.303722433904,0.0643193009755,12,0.0573138600558,2.87283796752,0.00077183337055,0.239403132928,1.028923362e-05
0.01056,11.9999999997,0.324332455471,0.0716998883257,12,0.0638232139826,3.03158032011,0.000860400497515,0.252632567146,1.21055373851e-05
0.01059,11.9999999997,0.345315464535,0.079477006491,12,0.070670085775,3.19006687732,0.000953725844965,0.265838458044,1.41221891593e-05
0.01062,11.9999999997,0.366670326858,0.0876499428448,12,0.0778523746949,3.34825500659,0.00105180152588,0.279020384013,1.63492830574e-05
0.01065,11.9999999997,0.388395896867,0.0962179721316,12,0.0853679397029,3.5061447079,0.00115461794792,0.292177924736,1.87968495667e-05
0.01068,11.9999999997,0.410491017702,0.105180356506,12,0.0932145998402,3.66373598126,0.00126216658458,0.305310661196,2.1474854344e-05
0.01071,11.9999999997,0.432954521267,0.114536345571,12,0.101390134613,3.82102882668,0.00137443869619,0.318418175696,2.43931970229e-05
0.01074,11.9999999997,0.455785228283,0.12428517642,12,0.109892284385,3.97800192786,0.001491424797,0.331500051863,2.75617100347e-05
0.01077,11.9999999997,0.478981948344,0.134426073675,12,0.118718750769,4.1346766011,0.00161311582758,0.344555874669,3.09901574391e-05
0.0108,11.9999999996,0.502543479966,0.144958249526,12,0.127867197029,4.2910315301,0.00173950187587,0.35758523044,3.46882337682e-05
0.01083,11.9999999996,0.52646861064,0.155880903774,12,0.13733524848,4.44706671487,0.0018705742022,0.370587706865,3.8665562882e-05
0.01086,11.9999999996,0.550756116889,0.167193223873,12,0.147120492899,4.60273952285,0.00200632193526,0.383562893016,4.29316968357e-05
0.01089,11.9999999996,0.575404764321,0.178894384968,12,0.157220480934,4.75815653544,0.00214673622878,0.396510379353,4.74961147602e-05
0.01092,11.9999999996,0.60041330768,0.190983549939,12,0.167632726524,4.9131472224,0.00229180621147,0.409429757741,5.23682217542e-05
0.01095,11.9999999996,0.625780490905,0.203459869444,12,0.178354707311,5.06786079768,0.00244152218443,0.422320621461,5.7557347789e-05
0.01098,11.9999999996,0.651505047182,0.21632248196,12,0.189383865073,5.22219067989,0.00259587359608,0.435182565222,6.30727466267e-05
0.01101,11.9999999996,0.677585699,0.229570513828,12,0.200717606145,5.37620081786,0.00275485010803,0.448015185172,6.89235947495e-05
0.01104,11.9999999995,0.704021158207,0.243203079293,12,0.212353301854,5.52980594648,0.00291844084899,0.460818078914,7.51189903043e-05
0.01107,11.9999999995,0.730810126065,0.257219280553,12,0.224288288953,5.68311264715,0.00308663526738,0.473590845512,8.16679520575e-05
0.0111,11.9999999995,0.757951293306,0.271618207798,12,0.23651987006,5.83601433846,0.00325942238533,0.486333085508,8.85794183656e-05
0.01113,11.9999999995,0.78544334019,0.286398939257,12,0.249045314102,5.98855365297,0.00343679154469,0.499044400932,9.58622461572e-05
0.01116,11.9999999995,0.813284936557,0.301560541243,12,0.26186185676,6.14068795812,0.00361873080834,0.511724395314,0.000103525209929
0.01119,11.9999999995,0.841474741891,0.317102068196,12,0.274966700919,6.29248120276,0.00380522941157,0.524372673696,0.000111577000755
0.01122,11.9999999995,0.870011405373,0.333022562731,12,0.288357017121,6.44386943804,0.00399627552383,0.536988842641,0.000120026225309
0.01125,11.9999999994,0.898893565936,0.349321055684,12,0.302029944024,6.59487398025,0.00419185774092,0.549572510251,0.000128881404904
0.01128,11.9999999994,0.928119852328,0.365996566156,12,0.315982588857,6.74547351309,0.00439196401913,0.562123286172,0.000138150974538
0.01131,11.9999999994,0.957688883169,0.38304810156,12,0.330212027888,6.89568935286,0.00459658252794,0.574640781609,0.000147843281961
0.01134,11.9999999994,0.987599267005,0.40047465767,12,0.344715306886,7.04547886698,0.00480570111705,0.587124609335,0.000157966586753
0.01137,11.9999999994,1.01784960237,0.418275218668,12,0.359489441596,7.19490600431,0.00501930795593,0.599574383705,0.000168529059415
0.0114,11.9999999994,1.04843847785,0.436448757186,12,0.374531418204,7.34388549972,0.00523739068115,0.611989720668,0.000179538780477
0.01143,11.9999999994,1.07936447214,0.454994234364,12,0.389838193818,7.49245998577,0.00545993628975,0.624370237774,0.000191003739616
0.01146,11.9999999994,1.11062615408,0.473910599889,12,0.405406696944,7.64058682989,0.00568693263148,0.636715554188,0.000202931834793
0.01149,11.9999999994,1.14222208275,0.493196792049,12,0.421233827969,7.78830866466,0.00591836712971,0.6490252907,0.000215330871402
0.01152,11.9999999993,1.17415080752,0.51285173778,12,0.437316459639,7.9355828575,0.00615422656836,0.66129906974,0.00022820856143
0.01155,11.9999999993,1.2064108681,0.532874352714,12,0.453651437553,8.08245204098,0.00639449815765,0.673536515382,0.000241572522643
0.01158,11.9999999993,1.23900079459,0.553263541233,12,0.470235580647,8.22885226626,0.00663916878807,0.685737253361,0.000255430277768
0.01161,11.9999999993,1.27191910759,0.574018196513,12,0.487065681686,8.37480484961,0.00688822471062,0.69790091108,0.000269789253711
0.01164,11.9999999993,1.3051643182,0.595137200579,12,0.504138507759,8.52033110732,0.00714165281579,0.710027117622,0.000284656780774
0.01167,11.9999999993,1.33873492812,0.616619424354,12,0.521450800774,8.66538840682,0.00739943946115,0.722115503762,0.000300040091891
0.0117,11.9999999993,1.37262942969,0.638463727709,12,0.53899927796,8.80999806441,0.0076615715372,0.734165701977,0.000315946321883
0.01173,11.9999999993,1.40684630597,0.660668959516,12,0.556780632361,8.95413876378,0.00792803444227,0.746177346454,0.000332382506724
0.01176,11.9999999992,1.4413840308,0.683233957697,12,0.574791533347,9.09781050495,0.00819881453395,0.758150073104,0.000349355582823
0.01179,11.9999999992,1.47624106885,0.706157549278,12,0.593028627113,9.24099197164,0.00847389763692,0.77008351957,0.000366872386321
0.01182,11.9999999992,1.51141587568,0.72943855044,12,0.611488537189,9.3837257964,0.00875326968242,0.78197732524,0.000384939652406
0.01185,11.9999999992,1.54690689783,0.753075766573,12,0.630167864946,9.52596934667,0.00903691617538,0.793831131252,0.000403564014634
0.01188,11.9999999992,1.58271257284,0.777067992327,12,0.64906319011,9.66774393873,0.00932482315363,0.805644580513,0.000422752004281
0.01191,11.9999999992,1.61883132936,0.801414011665,12,0.668171071274,9.80900694003,0.00961697548263,0.817417317699,0.000442510049694
0.01194,11.9999999992,1.65526158719,0.826112597918,12,0.687488046411,9.94980098312,0.00991335866729,0.829148989272,0.000462844475666
0.01197,11.9999999992,1.69200175733,0.851162513837,12,0.70701063339,10.0900621192,0.0102139578928,0.840839243488,0.000483761502831
0.012,11.9999999991,1.72905024206,0.876562511649,12,0.726735330494,10.229854297,0.010518757918,0.852487730407,0.00050526724706
0.01203,11.9999999991,1.76640543501,0.902311333109,12,0.746658616941,10.3691348841,0.0108277440347,0.864094101901,0.000527367718887
0.01206,11.9999999991,1.80406572122,0.928407709556,12,0.766776953398,10.5079038804,0.011140900682,0.875658011668,0.000550068822943
0.01209,11.9999999991,1.8420294772,0.954850361966,12,0.787086782512,10.6461612859,0.0114582127253,0.887179115236,0.000573376357407
0.01212,11.9999999991,1.88029507099,0.98163800101,12,0.807584529423,10.7838857843,0.0117796647103,0.898657069979,0.000597296013475
0.01215,11.9999999991,1.91886086223,1.00876932711,12,0.828266602298,10.9210986921,0.0121052407565,0.910091535121,0.00062183337484
0.01218,11.9999999991,1.95772520223,1.03624303048,12,0.849129392848,11.0577786927,0.0124349251962,0.921482171747,0.000646993917193
0.01221,11.9999999991,1.99688643404,1.06405779122,12,0.87016927686,11.1939471026,0.0127687021489,0.932828642817,0.000672783007736
0.01224,11.9999999991,2.03634289249,1.09221227932,12,0.891382614719,11.3295612891,0.013106556267,0.944130613167,0.000699205904711
0.01227,11.999999999,2.07609290429,1.12070515476,12,0.912765751943,11.4646425686,0.0134484706038,0.955387749525,0.00072626775695
0.0123,11.999999999,2.11613478806,1.14953506755,12,0.934315019706,11.5992122574,0.0137944297052,0.966599720518,0.000753973603432
0.01233,11.999999999,2.15646685445,1.17870065777,12,0.956026735372,11.7331850902,0.0141444169444,0.977766196681,0.000782328372864
0.01236,11.999999999,2.19708740613,1.20820055567,12,0.97789720302,11.8666463322,0.0144984159078,0.988886850464,0.000811336883273
