frequency_hz,propagation_magnitude
10,0.9997267637
10.5925372518,0.999693468182
11.220184543,0.999656121463
11.8850222744,0.999614232183
12.5892541179,0.999567249791
13.3352143216,0.99951455752
14.1253754462,0.999455464552
14.9623565609,0.999389197295
15.8489319246,0.999314889669
16.7880401812,0.999231572315
17.7827941004,0.999138160603
18.8364908949,0.999033441333
19.9526231497,0.998916058021
21.1348903984,0.998784494614
22.3872113857,0.998637057541
23.7137370566,0.998471855946
25.1188643151,0.998286779983
26.607250598,0.99807947706
28.1838293126,0.997847325918
29.8538261892,0.997587408462
31.6227766017,0.997296479287
33.4965439158,0.9969709329
35.4813389234,0.996606768667
37.5837404288,0.996199553625
39.8107170553,0.995744383391
42.1696503429,0.995235841516
44.6683592151,0.994667957817
47.3151258961,0.994034166407
50.1187233627,0.993327264402
53.0884444231,0.992539372568
56.234132519,0.991661899529
59.5662143529,0.990685511554
63.095734448,0.98960011041
66.8343917569,0.988394822245
70.7945784384,0.987058001033
74.9894209332,0.98557725064
79.4328234724,0.983939470073
84.1395141645,0.982130926972
89.1250938134,0.980137364626
94.4060876286,0.977944147934
100,0.975536453422
105.925372518,0.972899507726
112.20184543,0.970018877634
118.850222744,0.966880812808
125.892541179,0.963472639474
133.352143216,0.959783199774
141.253754462,0.955803327012
149.623565609,0.951526342003
158.489319246,0.946948550286
167.880401812,0.942069714735
177.827941004,0.936893473519
188.364908949,0.9314276703
199.526231497,0.92568456269
211.348903984,0.919680876984
223.872113857,0.913437682559
237.137370566,0.906980068124
251.188643151,0.90033661381
266.07250598,0.893538667169
281.838293126,0.88661944592
298.538261892,0.879613004367
316.227766017,0.872553111896
334.965439158,0.865472099503
354.813389234,0.858399732837
375.837404288,0.851362167525
398.107170553,0.844381034947
421.696503429,0.837472695214
446.683592151,0.830647680495
473.151258961,0.823910337592
501.187233627,0.817258665549
530.884444231,0.810684333267
562.34132519,0.804172854507
595.662143529,0.797703893498
630.95734448,0.791251673652
668.343917569,0.784785463943
707.945784384,0.778270121738
749.894209332,0.771666676478
794.328234724,0.764932944642
841.395141645,0.758024172428
891.250938134,0.75089370765
944.060876286,0.74349370629
1000,0.73577588138
1059.25372518,0.727692302277
1122.0184543,0.719196250792
1188.50222744,0.710243136926
1258.92541179,0.700791471291
1333.52143216,0.690803883915
1412.53754462,0.68024817038
1496.23565609,0.669098336917
1584.89319246,0.657335606941
1678.80401812,0.64494934368
1778.27941004,0.63193783818
1883.64908949,0.618308910217
1995.26231497,0.604080272351
2113.48903984,0.589279615162
2238.72113857,0.573944384396
2371.37370566,0.558121237703
2511.88643151,0.541865188379
2660.7250598,0.525238464154
2818.38293126,0.508309128322
2985.38261892,0.491149526365
3162.27766017,0.473834631798
3349.65439158,0.456440369335
3548.13389234,0.43904199133
3758.37404288,0.421712575412
3981.07170553,0.404521698586
4216.96503429,0.387534327502
4466.83592151,0.370809947889
4731.51258961,0.354401940098
5011.87233627,0.338357193524
5308.84444231,0.322715941353
5623.4132519,0.307511788998
5956.62143529,0.292771904746
6309.5734448,0.278517339235
6683.43917569,0.264763440867
7079.45784384,0.251520336589
7498.94209332,0.238793450948
7943.28234724,0.226584040504
8413.95141645,0.214889725026
8912.50938134,0.203705001127
9440.60876286,0.193021727881
10000,0.182829577336
