row,conductor_1,conductor_2,conductor_3
conductor_1,0.000128374867204+0.000882562590478im,5.90664474533e-05+0.000651825786236im,5.90664183705e-05+0.000599563722427im
conductor_2,5.90664474533e-05+0.000651825786236im,0.000128374867204+0.000882562590478im,5.90664474533e-05+0.000651825786236im
conductor_3,5.90664183705e-05+0.000599563722427im,5.90664474533e-05+0.000651825786236im,0.000128374867204+0.000882562590478im
