frequency_hz,mode1_zc_magnitude_ohm,mode1_velocity_m_per_s
60,47.6054142824,24039561.2471
129.266081402,46.6734003425,24550876.3631
278.495330018,45.7290877155,25099744.2951
600,44.7557678894,25695166.0063
