time_s,terminal_1_voltage_v,terminal_1_current_a,terminal_power_kw,supplied_energy_j,maximum_network_kcl_residual_a
0,0,0,0,0,0
1e-05,0.624021222172,0.00214658719196,2.61582139035e-06,6.53955347586e-09,1.51788304148e-17
2e-05,1.24753377201,0.00453510816264,1.11419063908e-05,6.79407599722e-08,5.03069808033e-17
3e-05,1.86702744068,0.0089082654284,3.30456739189e-05,2.75299305319e-07,6.59194920871e-17
4e-05,2.48189322,0.0155581621647,7.7054796396e-05,8.05286109681e-07,1.11022302463e-16
5e-05,3.09260923931,0.0242333342531,0.000149760614851,1.91283067316e-06,9.02056207508e-17
6e-05,3.70164189349,0.0336881867494,0.000249097980093,3.87839402605e-06,1.11022302463e-16
7e-05,4.3049862485,0.0459127916409,0.000394719297957,7.06068282286e-06,6.93889390391e-17
8e-05,4.90456226143,0.0599347782757,0.000587300837878,1.19287288912e-05,2.22044604925e-16
9e-05,5.5018795606,0.0749869438024,0.000824915207767,1.89447338155e-05,9.71445146547e-17
0.0001,6.09515531672,0.091948318107,0.00112065803422,2.86222800507e-05,5.55111512313e-17
0.00011,6.68228852411,0.111857023666,0.00149420008759,4.16382272283e-05,1.66533453694e-16
0.00012,7.26906675922,0.131806896785,0.00191522514441,5.86268652345e-05,8.32667268469e-17
0.00013,7.8505670636,0.15424704661,0.00242122622627,8.02437972147e-05,8.32667268469e-17
0.00014,8.4273779618,0.178870846637,0.00301440657192,0.000107350903426,4.99600361081e-16
0.00015,9.00191750492,0.204456913465,0.0036805651754,0.000140752260878,3.33066907388e-16
0.00016,9.57309562968,0.231537927721,0.00443215068445,0.000181238563439,3.33066907388e-16
0.00017,10.1380053829,0.261555022315,0.00530192605714,0.000229824214483,3.88578058619e-16
0.00018,10.7017659527,0.29193626733,0.00624755553578,0.000287485918327,3.33066907388e-16
0.00019,11.2612155795,0.324250214991,0.00730278089726,0.000355147113179,3.88578058619e-16
0.0002,11.8161997625,0.358561796954,0.00847287446153,0.000433930251827,1.66533453694e-16
0.00021,12.3669515596,0.394742174838,0.00976201415232,0.00052500513155,3.33066907388e-16
0.00022,12.9166518261,0.431188621184,0.0111377304935,0.000629403655346,3.33066907388e-16
0.00023,13.4596088018,0.470734726706,0.0126709344037,0.000748339577147,1.66533453694e-16
0.00024,13.9998190837,0.511369914164,0.0143176562095,0.000883172737838,3.33066907388e-16
0.00025,14.5376653142,0.552890594905,0.0160747074278,0.00103502291721,2.22044604925e-16
0.00026,15.0701963352,0.596760092169,0.017984756061,0.00120520350808,2.22044604925e-16
0.00027,15.5983220695,0.642511200878,0.0200425211494,0.00139521906621,3.33066907388e-16
0.00028,16.1257606928,0.688272602384,0.0221972172767,0.00160629699531,6.66133814775e-16
0.00029,16.6465628546,0.737006754046,0.0245368062295,0.00183984019555,7.77156117238e-16
0.0003,17.164505365,0.78681304679,0.0270091129636,0.00209744087033,3.33066907388e-16
0.00031,17.6789624818,0.837992161651,0.0296276000514,0.00238049282843,4.4408920985e-16
0.00032,18.1905816398,0.890208205807,0.0323854494531,0.00269042445544,5.55111512313e-16
0.00033,18.6959046024,0.945178137295,0.035341141316,0.00302891848533,7.77156117238e-16
0.00034,19.2000785793,1.00031620645,0.0384115521693,0.00339754295398,4.4408920985e-16
0.00035,19.7000615988,1.05713127042,0.0416497618647,0.00379770752297,8.881784197e-16
0.00036,20.1945892718,1.11624341159,0.0450817195972,0.00423121882317,4.4408920985e-16
0.00037,20.6869331472,1.17600476021,0.0486542776999,0.00469975164828,6.66133814775e-16
0.00038,21.176656931,1.23662138569,0.0523749067049,0.0052047490689,2.22044604925e-16
0.00039,21.659405533,1.30025877329,0.0563244566815,0.00574809233277,4.4408920985e-16
0.0004,22.1411705003,1.36390910809,0.0603950653484,0.00633153665661,8.881784197e-16
0.00041,22.6185774633,1.42924755251,0.0646530836077,0.00695662143407,8.881784197e-16
0.00042,23.0919218061,1.49611441144,0.0690948673479,0.00762520290838,6.66133814775e-16
0.00043,23.5608367379,1.56468109709,0.0737298308551,0.00833916560276,2.22044604925e-16
0.00044,24.0284400853,1.63337673321,0.0784940164187,0.00910012424363,8.881784197e-16
0.00045,24.4898394641,1.7046355699,0.0834901731367,0.00990988084824,6.66133814775e-16
0.00046,24.9480208424,1.77695270232,0.0886605318591,0.0107704687018,6.66133814775e-16
0.00047,25.4039111355,1.84985277366,0.0939860309738,0.011683535292,4.4408920985e-16
0.00048,25.8552963246,1.92443091655,0.0995131253516,0.0126508627345,8.881784197e-16
0.00049,26.3012396781,2.00114364259,0.105263338065,0.0136745740511,8.881784197e-16
0.0005,26.7467140188,2.07749270933,0.111129814503,0.0147563697753,4.4408920985e-16
0.00051,27.1863241052,2.15616393015,0.117234448527,0.0158980181508,4.4408920985e-16
0.00052,27.6221083888,2.23612629595,0.123531967658,0.017101675975,8.881784197e-16
0.00053,28.0553666677,2.31671814888,0.129992153439,0.0183691219809,8.881784197e-16
0.00054,28.4849274421,2.39851350509,0.13664142056,0.0197021141968,8.881784197e-16
0.00055,28.9088412696,2.48247537749,0.143528146486,0.0211027841029,0
