time_s,SRCE A_v_pu,BUS  A_v_pu,SRCE B_v_pu,BUS  B_v_pu,SRCE C_v_pu,BUS  C_v_pu,THEV A_v_pu,THEV B_v_pu,THEV C_v_pu,saturated_transformer_internal_node_10_v_pu,saturated_transformer_internal_node_11_v_pu,saturated_transformer_internal_node_12_v_pu,saturated_transformer_internal_node_13_v_pu,saturated_transformer_internal_node_14_v_pu,saturated_transformer_internal_node_15_v_pu,X_saturated_transformer_internal_top_v_pu,Y_saturated_transformer_internal_top_v_pu,Z_saturated_transformer_internal_top_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,switch_voltage_switch_fixed_1_pu,switch_voltage_switch_fixed_2_pu,switch_voltage_switch_fixed_3_pu,switch_current_switch_fixed_1_pu,switch_current_switch_fixed_2_pu,switch_current_switch_fixed_3_pu
0.0018,219286.606529,219286.606529,43482.5844296,43482.5844296,-262768.327554,-262768.327554,219285.824191,43483.3759564,-262769.200147,121.8258925,219286.6065,43482.5844612,24.1569913674,-262768.327663,-145.982404257,219286.6065,43482.5844612,-262768.327663,219286.606529,43482.5844296,-262768.327554,0,0,0,-0.00741926903374,-0.0233986073251,-0.004414122047
0.0019,212466.48714,212466.48714,53942.553148,53942.553148,-266408.706857,-266408.706857,212465.825691,53942.2078689,-266408.03356,118.036937284,212466.487112,53942.5531548,29.968085086,-266408.706966,-148.004837203,212466.487112,53942.5531548,-266408.706966,212466.48714,53942.553148,-266408.706857,0,0,0,-0.00733033816191,-0.0190590339757,-0.00393047339324
0.002,205343.474758,205343.474758,64325.4272208,64325.4272208,-269670.245978,-269670.245978,205343.901627,64324.3849523,-269668.286579,114.079708184,205343.47473,64325.4273884,35.7363485491,-269670.246086,-149.816803381,205343.47473,64325.4273884,-269670.246086,205343.474758,64325.4272208,-269670.245978,0,0,0,-0.00730406461375,-0.0156639414814,-0.00358905190879
0.0021,197928.788655,197928.788655,74613.9008679,74613.9008679,-272547.020747,-272547.020747,197930.172643,74615.153565,-272545.326208,109.960438127,197928.788628,74613.9010209,41.4521672338,-272547.020856,-151.415011586,197928.788628,74613.9010209,-272547.020856,197928.788655,74613.9008679,-272547.020747,0,0,0,-0.00739565188237,-0.0120258902718,-0.00330675757289
0.0022,190234.554173,190234.554173,84797.2740068,84797.2740068,-275034.548608,-275034.548608,190235.174052,84799.8899617,-275035.064014,105.685863415,190234.554146,84797.2741454,47.1095967474,-275034.548717,-152.796971509,190234.554146,84797.2741454,-275034.548717,190234.554173,84797.2740068,-275034.548608,0,0,0,-0.00749627536364,-0.00804295857923,-0.00288914523841
0.0023,182270.729131,182270.729131,94862.0158324,94862.0158324,-277131.693948,-277131.693948,182269.84087,94864.1210745,-277133.961945,101.261516179,182270.729123,94862.0158883,52.7011199379,-277131.694057,-153.962052254,182270.729123,94862.0158883,-277131.694057,182270.729131,94862.0158324,-277131.693948,0,0,0,-0.00661720229831,-0.00643557592189,-0.00226239519546
0.0024,174046.397103,174046.397103,104793.726089,104793.726089,-278837.69566,-278837.69566,174045.492271,104793.54508,-278839.037351,96.6924428311,174046.397096,104793.726138,58.2187367432,-278837.695769,-154.909830983,174046.397096,104793.726138,-278837.695769,174046.397103,104793.726089,-278837.69566,0,0,0,-0.00576919344106,-0.0040477540825,-0.00157904244313
0.0025,165573.033852,165573.033852,114575.207261,114575.207261,-280149.541356,-280149.541356,165573.815504,114574.051725,-280147.867228,91.9850188038,165573.033847,114575.207303,63.652892946,-280149.541465,-155.638634147,165573.033847,114575.207303,-280149.541465,165573.033852,114575.207261,-280149.541356,0,0,0,-0.00504488753641,-0.00124654114613,-0.00110168095208
0.0026,156864.980119,156864.980119,124192.51202,124192.51202,-281061.779861,-281061.779861,156866.849284,124191.742372,-281058.591656,87.147211175,156864.980115,124192.51211,68.9958400608,-281061.779969,-156.145433316,156864.980115,124192.51211,-281061.779969,156864.980119,124192.51202,-281061.779861,0,0,0,-0.00459704936643,0.00119569846306,-0.000867325706764
0.0027,147936.122804,147936.122804,133632.230037,133632.230037,-281571.205051,-281571.205051,147936.966688,133632.949758,-281569.916446,82.1867348894,147936.122801,133632.230121,74.2401278451,-281571.20516,-156.428447311,147936.122801,133632.230121,-281571.20516,147936.122804,133632.230037,-281571.205051,0,0,0,-0.00418531676571,0.00360011563412,-0.000615166537273
0.0028,138798.04751,138798.04751,142882.664541,142882.664541,-281679.051962,-281679.051962,138796.857568,142884.25741,-281681.114978,77.1100263933,138798.047508,142882.664591,79.3792581059,-281679.052071,-156.488362262,138798.047508,142882.664591,-281679.052071,138798.04751,142882.664541,-281679.051962,0,0,0,-0.00364928516554,0.00381296968619,-9.06410475636e-05
0.0029,129459.975471,129459.975471,151931.204009,151931.204009,-281389.250193,-281389.250193,129459.510518,151932.518714,-281392.029232,71.9222085121,129459.975322,151931.204058,84.4062244767,-281389.250302,-156.327361279,129459.975322,151931.204058,-281389.250302,129459.975471,151931.204009,-281389.250193,0,0,0,-0.00231882541042,0.00420910631077,0.000663685389895
