time_s,terminal_1_voltage_v,terminal_1_current_a,terminal_power_kw,supplied_energy_j,maximum_network_kcl_residual_a
0,0,0,0,0,0
1e-05,0.603686796963,0.0123137997963,1.49931522855e-05,3.74828807138e-08,4.51028103754e-17
2e-05,1.25285296161,0.00187551336071,5.82502244071e-06,1.74309603099e-07,3.8814437775e-17
3e-05,1.85810008292,0.0133719443117,5.34520230069e-05,4.34229436209e-07,9.36750677027e-17
4e-05,2.50190776121,0.00555089156022,3.69078348085e-05,9.08547490869e-07,3.81639164715e-17
5e-05,3.10809917236,0.0164883677247,0.000120152635161,1.65767266218e-06,1.28369537222e-16
6e-05,3.7469495096,0.0110343786964,0.000113515256443,2.83932583088e-06,7.97972798949e-17
7e-05,4.35354767264,0.0216320795745,0.000236907605148,4.55493473118e-06,1.11022302463e-16
8e-05,4.98776986486,0.0183309765605,0.000255679306536,7.02283631356e-06,1.56125112838e-16
9e-05,5.59430417909,0.0287746345572,0.000424933976291,1.0388552002e-05,6.93889390391e-18
0.0001,6.22416617035,0.0274428912898,0.000483151481811,1.49263312281e-05,2.35922392733e-16
0.00011,6.83022312511,0.0378897231676,0.000704874922958,2.08278370567e-05,1.94289029309e-16
0.00012,7.45594072437,0.0383699142105,0.000815363662505,2.84193935825e-05,1.11022302463e-16
0.00013,8.06115551049,0.0489528231628,0.0010968158888,3.79400352077e-05,1.87350135405e-16
0.00014,8.68290016185,0.0511097466104,0.00127139454638,4.97650024944e-05,4.16333634234e-16
0.00015,9.28694952614,0.0619409028579,0.00162029620407,6.41812813344e-05,2.08166817117e-16
0.00016,9.90485493163,0.0656582767441,0.00186994069855,8.16104001617e-05,3.33066907388e-16
0.00017,10.5074510903,0.0768321685897,0.00229431704629,0.000102387363057,4.71844785466e-16
0.00018,11.1216188551,0.0820098161386,0.00262929146193,0.0001269777668,1.52655665886e-16
0.00019,11.7225043098,0.0936058498213,0.00313734645867,0.000155764296399,3.60822483003e-16
