time_s,phase_a_duty,phase_b_duty,phase_c_duty,phase_a_upper_gate,phase_a_lower_gate,phase_b_upper_gate,phase_b_lower_gate,phase_c_upper_gate,phase_c_lower_gate,upper_antiparallel_diode_count,lower_antiparallel_diode_count
0.00124,0.908198687195,0.470623209668,0.091801312805,1,0,1,0,0,1,1,0
0.00126,0.908198687195,0.470623209668,0.091801312805,1,0,0,1,0,1,0,0
0.00128,0.908198687195,0.470623209668,0.091801312805,1,0,0,1,0,1,0,0
0.0013,0.908198687195,0.470623209668,0.091801312805,0,0,0,0,0,0,2,1
0.00132,0.905100940108,0.492627520361,0.094899059892,1,0,1,0,0,1,1,0
0.00134,0.905100940108,0.492627520361,0.094899059892,1,0,1,0,0,1,1,0
0.00136,0.905100940108,0.492627520361,0.094899059892,1,0,0,1,0,1,0,0
0.00138,0.905100940108,0.492627520361,0.094899059892,1,0,0,1,0,1,0,0
0.0014,0.905100940108,0.492627520361,0.094899059892,0,0,0,0,0,0,2,1
0.00142,0.90167470395,0.514627854977,0.0983252960495,1,0,1,0,0,1,1,0
0.00144,0.90167470395,0.514627854977,0.0983252960495,1,0,1,0,0,1,1,0
0.00146,0.90167470395,0.514627854977,0.0983252960495,1,0,0,1,0,1,0,0
0.00148,0.90167470395,0.514627854977,0.0983252960495,1,0,0,1,0,1,0,0
0.0015,0.90167470395,0.514627854977,0.0983252960495,0,0,0,0,0,0,2,1
0.00152,0.897860085118,0.53662273975,0.102139914882,1,0,1,0,0,1,1,0
0.00154,0.897860085118,0.53662273975,0.102139914882,1,0,1,0,0,1,1,0
0.00156,0.897860085118,0.53662273975,0.102139914882,1,0,0,1,0,1,0,0
0.00158,0.897860085118,0.53662273975,0.102139914882,1,0,0,1,0,1,0,0
0.0016,0.897860085118,0.53662273975,0.102139914882,0,0,0,0,0,0,2,1
0.00162,0.895630333115,0.561402471352,0.104369666885,1,0,1,0,0,1,1,0
0.00164,0.895630333115,0.561402471352,0.104369666885,1,0,1,0,0,1,1,0
0.00166,0.895630333115,0.561402471352,0.104369666885,1,0,0,1,0,1,0,1
0.00168,0.895630333115,0.561402471352,0.104369666885,1,0,0,1,0,1,0,0
0.0017,0.895630333115,0.561402471352,0.104369666885,0,0,0,0,0,0,2,1
0.00172,0.892722285579,0.58459975298,0.107277714421,1,0,1,0,0,1,1,0
0.00174,0.892722285579,0.58459975298,0.107277714421,1,0,1,0,0,1,0,0
0.00176,0.892722285579,0.58459975298,0.107277714421,1,0,0,1,0,1,0,1
0.00178,0.892722285579,0.58459975298,0.107277714421,1,0,0,1,0,1,0,0
0.0018,0.892722285579,0.58459975298,0.107277714421,0,0,0,0,0,0,2,1
0.00182,0.889257925287,0.60786419655,0.110742074713,1,0,1,0,0,1,1,0
