time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSF_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_4,branch_current_branch_fixed_6,branch_current_branch_fixed_7,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,parallel_compound_field_current_A,series_field_current_A
0,10.0000000477,10.0000811,10,46.6400933,23.32004665,46.6401445754,10.0000000477,46.6400933,10.0000811,10.0000000477,46.6400933,-0.0040526147929,51.2753884125,0,51.275388472,1.88691953931e-07,46.6400933,0.785398163397,0,0,-0.00405261479283,-0.00205233939867,0.00405261479283
2e-05,10.0000000477,10.0000811,10,46.6400933,23.32004665,46.6401445754,10.0000000469,46.6400933,10.0000811,10.0000000477,46.6400933,-0.00405261479992,51.2753884125,0,51.275388472,1.88691954799e-07,46.6400933,0.786330965263,0,0,-0.00405261479987,-0.00205233940111,0.00405261479987
4e-05,10.0000000477,10.0000811,10,46.6400933,23.32004665,46.6401445754,10.0000000474,46.6400933,10.0000811,10.0000000477,46.6400933,-0.00405261480925,51.2753884125,0,51.275388472,1.88691955688e-07,46.6400933,0.787263767129,0,0,-0.00405261480934,-0.00205233940586,0.00405261480934
6e-05,10.0000000477,10.0000811,10,46.6400933,23.32004665,46.6401445754,10.0000000477,46.6400933,10.0000811,10.0000000477,46.6400933,-0.00405261481191,51.2753884125,0,51.275388472,1.8869195572e-07,46.6400933,0.788196568995,0,0,-0.00405261481193,-0.00205233940829,0.00405261481193
