time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_3,branch_current_branch_fixed_5,branch_current_branch_fixed_6,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,inactive_compound_field_current_A,series_field_current_A
0.0004,-47.2108764237,10,-2.00724095023e-09,-1.00362047511e-09,9.97991761058e-13,10,-47.2108764237,-2.00724095023e-09,-2.20672927686e-09,-0.00302114751828,0.00200823894199,0.005029388667,0,0,0,0,-0.326565800332,-0,0.326565800332
0.00042,-56.2123533862,10,-2.72956286744e-09,-1.36478143372e-09,9.97269439863e-13,10,-56.2123533862,-2.72956286744e-09,-3.00083868452e-09,-0.00405760727036,0.00273056013688,0.00678817040808,0,0,0,0,-0.379393136462,-0,0.379393136462
0.00044,-66.5771022607,10,-3.69867404826e-09,-1.84933702413e-09,9.96300329651e-13,10,-66.5771022607,-3.69867404826e-09,-4.06626434506e-09,-0.00543968230172,0.00369967034859,0.00913935671658,0,0,0,0,-0.440221162239,-0,0.440221162239
0.00046,-78.5115903096,10,-4.99672125617e-09,-2.49836062809e-09,9.95002283742e-13,10,-78.5115903096,-4.99672125617e-09,-5.4933171242e-09,-0.00728118033578,0.00499771625845,0.0122789020876,0,0,0,0,-0.510261580532,-0,0.510261580532
0.00048,-92.2535542217,10,-6.73287976858e-09,-3.36643988429e-09,9.93266126965e-13,10,-92.2535542217,-6.73287976858e-09,-7.40202261277e-09,-0.00973317308582,0.00673387303471,0.0164670535225,0,0,0,0,-0.590909606373,-0,0.590909606373
0.0005,-108.07673586,10,-9.05220004158e-09,-4.52610002079e-09,9.90946809012e-13,10,-108.07673586,-9.05220004158e-09,-9.95184701141e-09,-0.0129961655896,0.00905319098839,0.0220493665298,0,0,0,0,-0.683771759834,-0,0.683771759834
0.00052,-126.296335239,10,-1.21473429507e-08,-6.07367147535e-09,9.87851669198e-13,10,-126.296335239,-1.21473429507e-08,-1.33545986705e-08,-0.0173362349198,0.0121483308024,0.0294845790767,0,0,0,0,-0.790697868136,-0,0.790697868136
0.00054,-147.275289354,10,-1.62741457247e-08,-8.13707286236e-09,9.8372487055e-13,10,-147.275289354,-1.62741457247e-08,-1.78915410342e-08,-0.0231064322656,0.0162751294496,0.0393815796067,0,0,0,0,-0.913817914469,-0,0.913817914469
0.00056,-171.431501935,10,-2.17722678036e-08,-1.08861339018e-08,9.7822675397e-13,10,-171.431501935,-2.17722678036e-08,-2.39360903733e-08,-0.0307751641073,0.0217732460303,0.0525484340737,0,0,0,0,-1.05558446756,-0,1.05558446756
0.00058,-199.246168151,10,-2.90925730553e-08,-1.45462865277e-08,9.70906456038e-13,10,-199.246168151,-2.90925730553e-08,-3.1983919366e-08,-0.0409638273596,0.0290935439618,0.0700574033053,0,0,0,0,-1.21882153717,-0,1.21882153717
0.0006,-231.273360084,10,-3.88334446968e-08,-1.94167223484e-08,9.61165594138e-13,10,-231.273360084,-3.88334446968e-08,-4.2692881153e-08,-0.0544967147268,0.0388344058624,0.093331163282,0,0,0,0,-1.40678082881,-0,1.40678082881
0.00062,-268.151063923,10,-5.17889451236e-08,-2.58944725618e-08,9.48210106666e-13,10,-268.151063923,-5.17889451236e-08,-5.69359555009e-08,-0.0724671894565,0.0517898933337,0.124257139726,0,0,0,0,-1.62320651812,-0,1.62320651812
0.00064,-310.613888742,10,-6.90126820001e-08,-3.4506341e-08,9.30986387014e-13,10,-310.613888742,-6.90126820001e-08,-7.58714621812e-08,-0.0963254319323,0.0690136129864,0.16533912079,0,0,0,0,-1.87240983543,-0,1.87240983543
0.00066,-359.507700011,10,-9.19025004079e-08,-4.59512502039e-08,9.08096591496e-13,10,-359.507700011,-9.19025004079e-08,-1.01036170193e-07,-0.127994788465,0.0919034085045,0.219898298005,0,0,0,0,-2.15935494604,-0,2.15935494604
0.00068,-415.806469362,10,-1.22312789395e-07,-6.11563946976e-08,8.77686332918e-13,10,-415.806469362,-1.22312789395e-07,-1.34468765826e-07,-0.170026043611,0.122313667082,0.292339845161,0,0,0,0,-2.4897578371,-0,2.4897578371
0.0007,-480.631676235,10,-1.62703403523e-07,-8.13517017617e-08,8.37295759181e-13,10,-480.631676235,-1.62703403523e-07,-1.78873574674e-07,-0.225801974845,0.162704240819,0.388506394538,0,0,0,0,-2.87020018089,-0,2.87020018089
0.00072,-555.274647915,10,-2.16337133165e-07,-1.08168566582e-07,7.83662083173e-13,10,-555.274647915,-2.16337133165e-07,-2.37837657393e-07,-0.299808575643,0.216337916827,0.516146730307,0,0,0,0,-3.30826044269,-0,3.30826044269
0.00074,-641.222282945,10,-2.87541546248e-07,-1.43770773124e-07,7.12457741294e-13,10,-641.222282945,-2.87541546248e-07,-3.16118674415e-07,-0.397994672572,0.287542258706,0.685537247397,0,0,0,0,-3.8126648448,-0,3.8126648448
