time_s,SRCE A_v_pu,BUS  A_v_pu,SRCE B_v_pu,BUS  B_v_pu,SRCE C_v_pu,BUS  C_v_pu,STP1 A_v_pu,CAP1 A_v_pu,STP1 B_v_pu,CAP1 B_v_pu,STP1 C_v_pu,CAP1 C_v_pu,STP2 A_v_pu,CAP2 A_v_pu,STP2 B_v_pu,CAP2 B_v_pu,STP2 C_v_pu,CAP2 C_v_pu,CAP1 S_v_pu,CAP2 8_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,switch_voltage_switch_fixed_1_pu,switch_voltage_switch_fixed_2_pu,switch_voltage_switch_fixed_3_pu,switch_voltage_switch_fixed_4_pu,switch_voltage_switch_fixed_5_pu,switch_voltage_switch_fixed_6_pu,switch_current_switch_fixed_1_pu,switch_current_switch_fixed_2_pu,switch_current_switch_fixed_3_pu,switch_current_switch_fixed_4_pu,switch_current_switch_fixed_5_pu,switch_current_switch_fixed_6_pu
0.00026,-0.582350008024,-0.582350008024,0.995200110891,0.995200110891,-0.412850102867,-0.412850102867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.582350008024,0.995200110891,-0.412850102867,0,0,0,0,0,0,-0.582350008024,0.995200110891,-0.412850102867,-0.582350008024,0.995200110891,-0.412850102867,-0,0,-0,-0,0,-0
0.00028,-0.58846280644,-0.58846280644,0.994433976821,0.994433976821,-0.405971170381,-0.405971170381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.58846280644,0.994433976821,-0.405971170381,0,0,0,0,0,0,-0.58846280644,0.994433976821,-0.405971170381,-0.58846280644,0.994433976821,-0.405971170381,-0,0,-0,-0,0,-0
0.0003,-0.59454215154,-0.59454215154,0.99361131052,0.99361131052,-0.39906915898,-0.39906915898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.59454215154,0.99361131052,-0.39906915898,0,0,0,0,0,0,-0.59454215154,0.99361131052,-0.39906915898,-0.59454215154,0.99361131052,-0.39906915898,-0,0,-0,-0,0,-0
0.00032,-0.600587697719,-0.600587697719,0.992732158755,0.992732158755,-0.392144461036,-0.392144461036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.600587697719,0.992732158755,-0.392144461036,0,0,0,0,0,0,-0.600587697719,0.992732158755,-0.392144461036,-0.600587697719,0.992732158755,-0.392144461036,-0,0,-0,-0,0,-0
0.00034,-0.606599101298,-0.606599101298,0.991796571506,0.991796571506,-0.385197470208,-0.385197470208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.606599101298,0.991796571506,-0.385197470208,0,0,0,0,0,0,-0.606599101298,0.991796571506,-0.385197470208,-0.606599101298,0.991796571506,-0.385197470208,-0,0,-0,-0,0,-0
0.00036,-0.612576020535,-0.612576020535,0.990804601958,0.990804601958,-0.378228581423,-0.378228581423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.612576020535,0.990804601958,-0.378228581423,0,0,0,0,0,0,-0.612576020535,0.990804601958,-0.378228581423,-0.612576020535,0.990804601958,-0.378228581423,-0,0,-0,-0,0,-0
0.00038,-0.618518115651,-0.618518115651,0.989756306504,0.989756306504,-0.371238190853,-0.371238190853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.618518115651,0.989756306504,-0.371238190853,0,0,0,0,0,0,-0.618518115651,0.989756306504,-0.371238190853,-0.618518115651,0.989756306504,-0.371238190853,-0,0,-0,-0,0,-0
0.0004,-0.624425048846,-0.624425048846,0.988651744738,0.988651744738,-0.364226695892,-0.364226695892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.624425048846,0.988651744738,-0.364226695892,0,0,0,0,0,0,-0.624425048846,0.988651744738,-0.364226695892,-0.624425048846,0.988651744738,-0.364226695892,-0,0,-0,-0,0,-0
0.00042,-0.630296484319,-0.630296484319,0.987490979453,0.987490979453,-0.357194495134,-0.357194495134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.630296484319,0.987490979453,-0.357194495134,0,0,0,0,0,0,-0.630296484319,0.987490979453,-0.357194495134,-0.630296484319,0.987490979453,-0.357194495134,-0,0,-0,-0,0,-0
0.00044,-0.636132088286,-0.636132088286,0.986274076637,0.986274076637,-0.350141988351,-0.350141988351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.636132088286,0.986274076637,-0.350141988351,0,0,0,0,0,0,-0.636132088286,0.986274076637,-0.350141988351,-0.636132088286,0.986274076637,-0.350141988351,-0,0,-0,-0,0,-0
0.00046,-0.641931529001,-0.641931529001,0.985001105469,0.985001105469,-0.343069576468,-0.343069576468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.641931529001,0.985001105469,-0.343069576468,0,0,0,0,0,0,-0.641931529001,0.985001105469,-0.343069576468,-0.641931529001,0.985001105469,-0.343069576468,-0,0,-0,-0,0,-0
0.00048,-0.647694476775,-0.647694476775,0.983672138317,0.983672138317,-0.335977661542,-0.335977661542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.647694476775,0.983672138317,-0.335977661542,0,0,0,0,0,0,-0.647694476775,0.983672138317,-0.335977661542,-0.647694476775,0.983672138317,-0.335977661542,-0,0,-0,-0,0,-0
