time_s,SOURCE_v_pu,CAP_v_pu,output_fixed_1_pu,branch_current_branch_fixed_1_pu
0,0,0,0,0
1e-05,1,0.000997425544926,0.000997425544926,0.000997425544926
2e-05,1,0.00498000235468,0.00498000235468,0.00298515126483
3e-05,1,0.0129198513354,0.0129198513354,0.00495469771592
4e-05,1,0.0247728133843,0.0247728133843,0.0068982643329
5e-05,1,0.0404792565229,0.0404792565229,0.00880817880575
6e-05,1,0.059964362614,0.059964362614,0.0106769272854
7e-05,1,0.0831384737613,0.0831384737613,0.0124971838619
8e-05,1,0.109897496823,0.109897496823,0.0142618391999
9e-05,1,0.140123364243,0.140123364243,0.0159640282199
0.0001,1,0.17368454918,0.17368454918,0.0175971567169
0.00011,1,0.210436632712,0.210436632712,0.0191549268158
0.00012,1,0.250222920691,0.250222920691,0.0206313611625
0.00013,1,0.292875107614,0.292875107614,0.0220208257614
0.00014,1,0.338213984746,0.338213984746,0.0233180513704
0.00015,1,0.38605018949,0.38605018949,0.0245181533729
0.00016,1,0.436184992915,0.436184992915,0.0256166500528
0.00017,1,0.488411122173,0.488411122173,0.0266094792047
0.00018,1,0.542513614395,0.542513614395,0.0274930130177
0.00019,1,0.598270698592,0.598270698592,0.0282640711789
0.0002,1,0.655454701921,0.655454701921,0.0289199321507
0.00021,1,0.713832976654,0.713832976654,0.0294583425819
0.00022,1,0.773168844057,0.773168844057,0.0298775248213
0.00023,1,0.833222551387,0.833222551387,0.0301761825092
0.00024,1,0.893752238128,0.893752238128,0.0303535042319
0.00025,1,0.95451490759,0.95451490759,0.0304091652295
0.00026,1,1.01526739998,1.01526739998,0.0303433271563
0.00027,1,1.07576736303,1.07576736303,0.0301566359017
0.00028,1,1.13577421642,1.13577421642,0.0298502174863
0.00029,1,1.19505010596,1.19505010596,0.029425672055
0.0003,1,1.25336084402,1.25336084402,0.0288850659971
0.00031,1,1.31047683224,1.31047683224,0.0282309222318
0.00032,1,1.36617396318,1.36617396318,0.0274662087027
0.00033,1,1.42023449701,1.42023449701,0.0265943251324
0.00034,1,1.47244791024,1.47244791024,0.0256190880975
0.00035,1,1.52261171283,1.52261171283,0.0245447144862
0.00036,1,1.57053223073,1.57053223073,0.0233758034118
0.00037,1,1.6160253508,1.6160253508,0.0221173166581
0.00038,1,1.65891722519,1.65891722519,0.0207745577395
0.00039,1,1.6990449326,1.6990449326,0.0193531496636
0.0004,1,1.73625709375,1.73625709375,0.0178590114892
0.00041,1,1.77041443902,1.77041443902,0.0162983337779
0.00042,1,1.80139032583,1.80139032583,0.0146775530384
0.00043,1,1.82907120414,1.82907120414,0.0130033252717
0.00044,1,1.85335702814,1.85335702814,0.0112824987231
0.00045,1,1.87416161281,1.87416161281,0.00952208595331
0.00046,1,1.89141293411,1.89141293411,0.00772923534229
0.00047,1,1.90505337159,1.90505337159,0.00591120214088
0.00048,1,1.91503989292,1.91503989292,0.0040753191875
0.00049,1,1.92134417952,1.92134417952,0.00222896740753
0.0005,1,1.92395269314,1.92395269314,0.00037954621399
0.00051,1,1.92286668328,1.92286668328,-0.00146555607224
0.00052,1,1.91810213554,1.91810213554,-0.00329899166463
0.00053,1,1.90968966138,1.90968966138,-0.00511348249865
0.00054,1,1.89767432983,1.89767432983,-0.00690184904915
0.00055,1,1.88211544212,1.88211544212,-0.00865703866374
0.00056,1,1.86308625015,1.86308625015,-0.0103721533006
0.00057,1,1.84067362029,1.84067362029,-0.012040476562
0.00058,1,1.81497764381,1.81497764381,-0.0136554999177
0.00059,1,1.78611119588,1.78611119588,-0.0152109480165
0.0006,1,1.75419944487,1.75419944487,-0.0167008029877
0.00061,1,1.71937931425,1.71937931425,-0.0181193276383
0.00062,1,1.68179889915,1.68179889915,-0.0194610874574
0.00063,1,1.64161684035,1.64161684035,-0.0207209713438
0.00064,1,1.59900165803,1.59900165803,-0.0218942109774
0.00065,1,1.55413104829,1.55413104829,-0.0229763987626
0.00066,1,1.50719114525,1.50719114525,-0.0239635042755
0.00067,1,1.45837575182,1.45837575182,-0.024851889154
0.00068,1,1.40788554229,1.40788554229,-0.0256383203778
0.00069,1,1.35592724002,1.35592724002,-0.0263199818884
0.0007,1,1.30271277363,1.30271277363,-0.0268944845092
0.00071,1,1.24845841498,1.24845841498,-0.0273598741314
0.00072,1,1.19338390272,1.19338390272,-0.0277146381378
