time_s,T5-PH_v_pu,T5-GW_v_pu,T1GRND_v_pu,T2GRND_v_pu,T3GRND_v_pu,T4GRND_v_pu,T5GRND_v_pu,T1-GW_v_pu,T2-GW_v_pu,T2GRNO_v_pu,T3-GW_v_pu,T3GRNO_v_pu,T4-GW_v_pu,T4GRNO_v_pu,T1-PH_v_pu,T2-PH_v_pu,T3-PH_v_pu,T4-PH_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,output_fixed_10_pu,switch_voltage_switch_fixed_1_pu
1.02e-07,0,0,0,0,0,0,0,-9.01066671227,0,0,0,0,0,0,-2.66507488856,0,0,0,-9.01066671227,-2.66507488856,0,0,0,0,0,0,0,0,-6.34559182372
1.122e-07,0,0,-0.358984384904,0,0,0,0,-9.9117333835,0,0,0,0,0,0,-2.93158237741,0,0,0,-9.9117333835,-2.93158237741,0,0,0,0,0,0,0,0,-6.98015100609
1.224e-07,0,0,-0.719411053394,0,0,0,0,-10.8128000547,0,0,0,0,0,0,-3.19808986627,0,0,0,-10.8128000547,-3.19808986627,0,0,0,0,0,0,0,0,-7.61471018846
1.326e-07,0,0,-1.07983772189,0,0,0,0,-11.713866726,0,0,0,0,0,0,-3.46459735512,0,0,0,-11.713866726,-3.46459735512,0,0,0,0,0,0,0,0,-8.24926937083
1.428e-07,0,0,-1.44026439038,0,0,0,0,-12.6149333972,0,0,0,0,0,0,-3.73110484398,0,0,0,-12.6149333972,-3.73110484398,0,0,0,0,0,0,0,0,-8.8838285532
1.53e-07,0,0,-1.80069105887,0,0,0,0,-13.5160000684,0,0,0,0,0,0,-3.99761233283,0,0,0,-13.5160000684,-3.99761233283,0,0,0,0,0,0,0,0,-9.51838773557
1.632e-07,0,0,-2.16111772736,0,0,0,0,-14.4170667396,0,0,0,0,0,0,-4.26411982169,0,0,0,-14.4170667396,-4.26411982169,0,0,0,0,0,0,0,0,-10.1529469179
1.734e-07,0,0,-2.52154439585,0,0,0,0,-15.3181334109,0,0,0,0,0,0,-4.53062731055,0,0,0,-15.3181334109,-4.53062731055,0,0,0,0,0,0,0,0,-10.7875061003
1.836e-07,0,0,-2.88197106434,0,0,0,0,-16.2192000821,0,0,0,0,0,0,-4.7971347994,0,0,0,-16.2192000821,-4.7971347994,0,0,0,0,0,0,0,0,-11.4220652827
1.938e-07,0,0,-3.24239773283,0,0,0,0,-17.1202667533,0,0,0,0,0,0,-5.06364228826,0,0,0,-17.1202667533,-5.06364228826,0,0,0,0,0,0,0,0,-12.0566244651
2.04e-07,0,0,-3.60282440132,0,0,0,0,-18.0213334245,0,0,0,0,0,0,-5.33014977711,0,0,0,-18.0213334245,-5.33014977711,0,0,0,0,0,0,0,0,-12.6911836474
2.142e-07,0,0,-3.96325106981,0,0,0,0,-18.4486141083,0,0,0,0,0,0,-5.45652611051,0,0,0,-18.4486141083,-5.45652611051,0,0,0,0,0,0,0,0,-12.9920879978
2.244e-07,0,0,-4.3236777383,0,0,0,0,-18.8720877531,0,0,0,0,0,0,-5.58177644024,0,0,0,-18.8720877531,-5.58177644024,0,0,0,0,0,0,0,0,-13.2903113129
2.346e-07,0,0,-4.68410440679,0,0,0,0,-19.2955537502,0,0,0,0,0,0,-5.70702450801,0,0,0,-19.2955537502,-5.70702450801,0,0,0,0,0,0,0,0,-13.5885292422
2.448e-07,0,0,-5.04453107529,0,0,0,0,-19.7190197473,0,0,0,0,0,0,-5.83227257579,0,0,0,-19.7190197473,-5.83227257579,0,0,0,0,0,0,0,0,-13.8867471715
2.55e-07,0,0,-5.40495774378,0,0,0,0,-20.1424857444,0,0,0,0,0,0,-5.95752064356,0,0,0,-20.1424857444,-5.95752064356,0,0,0,0,0,0,0,0,-14.1849651009
2.652e-07,0,0,-5.76538441227,0,0,0,0,-20.5659517415,0,0,0,0,0,0,-6.08276871133,0,0,0,-20.5659517415,-6.08276871133,0,0,0,0,0,0,0,0,-14.4831830302
2.754e-07,0,0,-6.12581108076,0,0,0,0,-20.9894177387,0,0,0,0,0,0,-6.2080167791,0,0,0,-20.9894177387,-6.2080167791,0,0,0,0,0,0,0,0,-14.7814009595
2.856e-07,0,0,-6.48623774925,0,0,0,0,-21.4128837358,0,0,0,0,0,0,-6.33326484688,0,0,0,-21.4128837358,-6.33326484688,0,0,0,0,0,0,0,0,-15.0796188889
2.958e-07,0,0,-6.84666441774,0,0,0,0,-21.8363497329,0,0,0,0,0,0,-6.45851291465,0,0,0,-21.8363497329,-6.45851291465,0,0,0,0,0,0,0,0,-15.3778368182
3.06e-07,0,0,-7.20709108623,0,0,0,0,-22.25981573,0,0,0,0,0,0,-6.58376098242,0,0,0,-22.25981573,-6.58376098242,0,0,0,0,0,0,0,0,-15.6760547476
3.162e-07,0,0,-7.59243198602,0,0,0,0,-22.6832817271,0,0,0,0,0,0,-6.7090090502,0,0,0,-22.6832817271,-6.7090090502,0,0,0,0,0,0,0,0,-15.9742726769
3.264e-07,0,0,-7.97807317786,0,0,0,0,-23.1067477242,0,0,0,0,0,0,-6.83425711797,0,0,0,-23.1067477242,-6.83425711797,0,0,0,0,0,0,0,0,-16.2724906062
3.366e-07,0,0,-8.36371557619,0,0,0,0,-23.5302137213,0,0,0,0,0,0,-6.95950518574,0,0,0,-23.5302137213,-6.95950518574,0,0,0,0,0,0,0,0,-16.5707085356
3.468e-07,0,0,-8.74935797613,0,0,0,0,-23.9536797184,0,0,0,0,0,0,-7.08475325352,0,0,0,-23.9536797184,-7.08475325352,0,0,0,0,0,0,0,0,-16.8689264649
3.57e-07,0,0,-9.13500037607,0,0,0,0,-24.3771457155,0,0,0,0,0,0,-7.21000132129,0,0,0,-24.3771457155,-7.21000132129,0,0,0,0,0,0,0,0,-17.1671443943
3.672e-07,0,0,-9.52064277601,0,0,0,0,-24.8006117127,0,0,0,0,0,0,-7.33524938906,0,0,0,-24.8006117127,-7.33524938906,0,0,0,0,0,0,0,0,-17.4653623236
3.774e-07,0,0,-9.90628517594,0,0,0,0,-25.2240777098,0,0,0,0,0,0,-7.46049745684,0,0,0,-25.2240777098,-7.46049745684,0,0,0,0,0,0,0,0,-17.7635802529
3.876e-07,0,0,-10.2919275759,0,0,0,0,-25.6475437069,0,0,0,0,0,0,-7.58574552461,0,0,0,-25.6475437069,-7.58574552461,0,0,0,0,0,0,0,0,-18.0617981823
3.978e-07,0,0,-10.6775699758,0,0,0,0,-26.071009704,0,0,0,0,0,0,-7.71099359238,0,0,0,-26.071009704,-7.71099359238,0,0,0,0,0,0,0,0,-18.3600161116
4.08e-07,0,0,-11.0632123758,0,0,0,0,-26.4944757011,0,0,0,0,0,0,-7.83624166016,0,0,0,-26.4944757011,-7.83624166016,0,0,0,0,0,0,0,0,-18.658234041
4.182e-07,0,0,-11.4488547757,0,0,0,0,-26.8850600071,0,0,0,0,0,0,-7.95176434664,0,0,0,-26.8850600071,-7.95176434664,0,0,0,0,0,0,0,0,-18.9332956604
4.284e-07,0,0,-11.8344971756,0,0,0,0,-27.2751158808,0,0,0,0,0,0,-8.06713073934,0,0,0,-27.2751158808,-8.06713073934,0,0,0,0,0,0,0,0,-19.2079851415
4.386e-07,0,0,-12.2201395756,0,0,0,0,-27.66516857,0,0,0,0,0,0,-8.18249619012,0,0,0,-27.66516857,-8.18249619012,0,0,0,0,0,0,0,0,-19.4826723799
4.488e-07,0,0,-12.6057819755,0,0,0,0,-28.0552212507,0,0,0,0,0,0,-8.29786163839,0,0,0,-28.0552212507,-8.29786163839,0,0,0,0,0,0,0,0,-19.7573596123
4.59e-07,0,0,-12.9914243755,0,0,0,0,-28.4452739313,0,0,0,0,0,0,-8.41322708665,0,0,0,-28.4452739313,-8.41322708665,0,0,0,0,0,0,0,0,-20.0320468447
4.692e-07,0,0,-13.3770667754,0,0,0,0,-28.835326612,0,0,0,0,0,0,-8.52859253491,0,0,0,-28.835326612,-8.52859253491,0,0,0,0,0,0,0,0,-20.306734077
4.794e-07,0,0,-13.7627091753,0,0,0,0,-29.2253792926,0,0,0,0,0,0,-8.64395798317,0,0,0,-29.2253792926,-8.64395798317,0,0,0,0,0,0,0,0,-20.5814213094
4.896e-07,0,0,-14.1483515753,0,0,0,0,-29.6154319732,0,0,0,0,0,0,-8.75932343143,0,0,0,-29.6154319732,-8.75932343143,0,0,0,0,0,0,0,0,-20.8561085418
