time_s,terminal_voltage_v,corona_charge_c,corona_loss_j,leader_length_m
2e-08,271.051088856,2.71051088856e-07,7.34686927702e-11,0
4e-08,2243.92028482,2.24392028482e-06,5.18211563018e-09,0
6e-08,7669.13854225,7.66913854225e-06,6.90329798551e-08,0
8e-08,17087.6924338,1.70876924338e-05,4.19837898549e-07,0
1e-07,29442.6208032,2.94426208032e-05,1.57869505102e-06,0
1.2e-07,43005.9266708,4.30059266708e-05,4.2950726996e-06,0
1.4e-07,56303.4612275,5.63034612275e-05,9.31466217461e-06,0
1.6e-07,68426.5590802,6.84265590802e-05,1.71669359084e-05,0
1.8e-07,78959.2662305,7.89592662305e-05,2.80836956196e-05,0
2e-07,87809.1866977,8.78091866977e-05,4.20287146118e-05,0
2.2e-07,95063.6880561,9.50636880561e-05,5.87762726671e-05,0
2.4e-07,100733.05754,0.000100947987378,7.79605263353e-05,0
2.6e-07,105300.337887,0.000105620391436,9.91958363759e-05,0
2.8e-07,108855.661317,0.000109271985912,0.000122133552536,0
3e-07,111577.996187,0.000112076581109,0.00014643275677,0
3.2e-07,113620.693161,0.000114185868665,0.000171792067917,0
3.4e-07,115112.377987,0.000115728817531,0.000197952589398,0
3.6e-07,116159.416972,0.00011681316869,0.000224696459115,0
3.8e-07,116848.908733,0.00011752782977,0.000251843136738,0
4e-07,117251.676404,0.000117945520101,0.000279244759829,0
4.2e-07,117425.016081,0.000118125331996,0.000306781349851,0
4.4e-07,117415.106942,0.000118115052056,0.000334356291591,0
4.6e-07,117259.065573,0.000117953184556,0.000361892287388,0
4.8e-07,116986.664652,0.000117670671333,0.000389327855553,0
5e-07,116621.752328,0.0001172923287,0.000416614368376,0
5.2e-07,116183.41348,0.000116838033185,0.00044371358706,0
5.4e-07,115686.913246,0.000116323691135,0.000470595634524,0
5.6e-07,115144.459575,0.000115762026095,0.000497237342991,0
5.8e-07,114565.817011,0.000115163214864,0.000523620915989,0
6e-07,113958.799164,0.000114535399185,0.000549732850324,0
6.2e-07,113329.662862,0.000113885096075,0.000575563070715,0
6.4e-07,112683.423006,0.000113217526075,0.00060110423702,0
6.6e-07,112024.103717,0.000112536875327,0.000626351190654,0
6.8e-07,111354.938453,0.000111846504536,0.000651300512785,0
7e-07,110678.52934,0.000111149115421,0.00067595017196,0
7.2e-07,109996.973985,0.00011044688321,0.000700299243103,0
7.4e-07,109311.966393,0.00010974156208,0.000724347683385,0
7.6e-07,108624.877271,0.00010903456907,0.000748096153344,0
7.8e-07,107936.81797,0.000108327050869,0.00077154587398,0
8e-07,107248.691415,0.000107619937006,0.000794698512463,0
8.2e-07,106561.232706,0.000106913982247,0.000817556090589,0
8.4e-07,105875.041523,0.00010620980041,0.000840120911323,0
8.6e-07,105190.60801,0.000105507891376,0.000862395499754,0
8.8e-07,104508.333492,0.000104808662697,0.000884382555537,0
9e-07,103828.547071,0.000104112446898,0.000906084914493,0
9.2e-07,103151.518956,0.000103419515371,0.000927505517542,0
9.4e-07,102477.471185,0.000102730089541,0.000948647385506,0
9.6e-07,101806.586268,0.000102044349871,0.000969513598614,0
9.8e-07,101139.014173,0.000101362443133,0.00099010727981,0
1e-06,100474.877987,0.000100684488301,0.0010104315811,0
1.02e-06,99814.2785122,0.000100010581329,0.00103048967241,0
1.04e-06,99157.2980173,9.9340799051e-05,0.00105028473235,0
1.06e-06,98504.0032959,9.86752023649e-05,0.00106981994077,0
1.08e-06,97854.4481782,9.80138388381e-05,0.00108909847246,0
1.1e-06,97208.6755958,9.73567448537e-05,0.0011081234921,0
1.12e-06,96566.7192862,9.67039473802e-05,0.00112689814998,0
1.14e-06,95928.6052037,9.60554654355e-05,0.00114542557855,0
1.16e-06,95294.3526926,9.54113113048e-05,0.0011637088895,0
1.18e-06,94663.9754659,9.47714915541e-05,0.00118175117141,0
1.2e-06,94037.4824238,9.41360078802e-05,0.00119955548776,0
1.22e-06,93414.878342,9.35048578225e-05,0.00121712487536,0
1.24e-06,92796.1644521,9.28780353645e-05,0.00123446234299,0
1.26e-06,92181.3389323,9.22555314414e-05,0.00125157087038,0
1.28e-06,91570.3973242,9.16373343713e-05,0.00126845340729,0
1.3e-06,90963.3328883,9.10234302223e-05,0.00128511287289,0
1.32e-06,90360.1369075,9.04138031259e-05,0.00130155215516,0
1.34e-06,89760.798948,8.9808435546e-05,0.00131777411053,0
1.36e-06,89165.3070832,8.92073085102e-05,0.00133378156354,0
1.38e-06,88573.6480877,8.86104018085e-05,0.00134957730667,0
1.4e-06,87985.8076045,8.80176941661e-05,0.00136516410014,0
1.42e-06,87401.7702909,8.74291633926e-05,0.00138054467193,0
1.44e-06,86821.5199452,8.68447865124e-05,0.00139572171771,0
1.46e-06,86245.0396174,8.62645398773e-05,0.00141069790089,0
1.48e-06,85672.311706,8.5688399266e-05,0.00142547585274,0
1.5e-06,85103.318043,8.51163399705e-05,0.00144005817248,0
1.52e-06,84538.0399689,8.45483368723e-05,0.00145444742742,0
1.54e-06,83976.4583983,8.3984364509e-05,0.00146864615319,0
1.56e-06,83418.5538782,8.34243971335e-05,0.00148265685388,0
1.58e-06,82864.3066394,8.28684087657e-05,0.00149648200233,0
1.6e-06,82313.6966424,8.23163732385e-05,0.0015101240403,0
1.62e-06,81766.7036174,8.17682642383e-05,0.00152358537877,0
1.64e-06,81223.307101,8.12240553411e-05,0.00153686839821,0
1.66e-06,80683.4864678,8.06837200446e-05,0.00154997544882,0
1.68e-06,80147.2209591,8.01472317961e-05,0.00156290885083,0
1.7e-06,79614.5454406,7.96145454406e-05,0.00157567090371,0
1.72e-06,79085.5716054,7.90855716054e-05,0.00158826390719,0
1.74e-06,78560.2353112,7.85602353112e-05,0.0016006901454,0
1.76e-06,78038.4750844,7.80384750844e-05,0.00161295185956,0
1.78e-06,77520.2395856,7.75202395856e-05,0.0016250512507,0
1.8e-06,77005.4850824,7.70054850824e-05,0.00163699048298,0
1.82e-06,76494.1735571,7.64941735571e-05,0.0016487716863,0
1.84e-06,75986.2712889,7.59862712889e-05,0.00166039695831,0
1.86e-06,75481.7477925,7.54817477925e-05,0.00167186836599,0
1.88e-06,74980.5750235,7.49805750235e-05,0.00168318794687,0
1.9e-06,74482.7267838,7.44827267838e-05,0.00169435771009,0
1.92e-06,73988.1782777,7.39881782777e-05,0.0017053796372,0
1.94e-06,73496.9057789,7.34969057789e-05,0.00171625568289,0
1.96e-06,73008.8863829,7.30088863829e-05,0.00172698777554,0
1.98e-06,72524.0978218,7.25240978218e-05,0.00173757781779,0
2e-06,72042.518326,7.2042518326e-05,0.001748027687,0
2.02e-06,71564.1265221,7.15641265221e-05,0.00175833923565,0
2.04e-06,71088.9013557,7.10889013557e-05,0.00176851429176,0
2.06e-06,70616.8220355,7.06168220355e-05,0.00177855465921,0
2.08e-06,70147.8679911,7.01478679911e-05,0.00178846211814,0
2.1e-06,69682.018842,6.9682018842e-05,0.00179823842528,0
2.12e-06,69219.2543747,6.92192543747e-05,0.0018078853142,0
2.14e-06,68759.5545266,6.87595545266e-05,0.00181740449572,0
2.16e-06,68302.8993731,6.83028993731e-05,0.00182679765812,0
2.18e-06,67849.2691193,6.78492691193e-05,0.0018360664675,0
2.2e-06,67398.6440933,6.73986440933e-05,0.00184521256805,0
2.22e-06,66951.0047422,6.69510047422e-05,0.00185423758231,0
2.24e-06,66506.3316281,6.65063316281e-05,0.00186314311149,0
2.26e-06,66064.6054268,6.60646054268e-05,0.00187193073573,0
2.28e-06,65625.8069256,6.56258069256e-05,0.00188060201435,0
2.3e-06,65189.9170226,6.51899170226e-05,0.00188915848617,0
2.32e-06,64756.916726,6.4756916726e-05,0.00189760166972,0
2.34e-06,64326.7871534,6.43267871534e-05,0.00190593306352,0
2.36e-06,63899.5095323,6.38995095323e-05,0.00191415414639,0
2.38e-06,63475.065199,6.3475065199e-05,0.00192226637761,0
2.4e-06,63053.4355993,6.30534355993e-05,0.00193027119725,0
2.42e-06,62634.602288,6.2634602288e-05,0.0019381700264,0
2.44e-06,62218.546929,6.2218546929e-05,0.00194596426738,0
2.46e-06,61805.2512954,6.18052512954e-05,0.00195365530405,0
2.48e-06,61394.6972693,6.13946972693e-05,0.00196124450199,0
2.5e-06,60986.8668417,6.09868668417e-05,0.00196873320877,0
2.52e-06,60581.7421125,6.05817421125e-05,0.00197612275418,0
2.54e-06,60179.3052904,6.01793052904e-05,0.00198341445044,0
2.56e-06,59779.5386927,5.97795386927e-05,0.00199060959247,0
2.58e-06,59382.424745,5.9382424745e-05,0.00199770945809,0
2.6e-06,58987.9459812,5.89879459812e-05,0.00200471530823,0
2.62e-06,58596.0850432,5.85960850432e-05,0.00201162838718,0
2.64e-06,58206.8246806,5.82068246806e-05,0.0020184499228,0
2.66e-06,57820.1477504,5.78201477504e-05,0.00202518112673,0
2.68e-06,57436.0372167,5.74360372167e-05,0.00203182319458,0
2.7e-06,57054.4761505,5.70544761505e-05,0.0020383773062,0
2.72e-06,56675.447729,5.6675447729e-05,0.00204484462583,0
2.74e-06,56298.9352356,5.62989352356e-05,0.00205122630231,0
2.76e-06,55924.9220595,5.59249220595e-05,0.00205752346933,0
2.78e-06,55553.391695,5.5553391695e-05,0.00206373724556,0
2.8e-06,55184.3277412,5.51843277412e-05,0.00206986873492,0
2.82e-06,54817.7139016,5.48177139016e-05,0.00207591902671,0
2.84e-06,54453.5339838,5.44535339838e-05,0.00208188919583,0
2.86e-06,54091.7718988,5.40917718988e-05,0.00208778030298,0
2.88e-06,53732.4116607,5.37324116607e-05,0.00209359339483,0
2.9e-06,53375.437386,5.3375437386e-05,0.00209932950421,0
2.92e-06,53020.8332933,5.30208332933e-05,0.00210498965029,0
2.94e-06,52668.5837028,5.26685837028e-05,0.00211057483876,0
2.96e-06,52318.6730359,5.23186730359e-05,0.00211608606202,0
2.98e-06,51971.0858142,5.19710858142e-05,0.00212152429932,0
3e-06,51625.8066595,5.16258066595e-05,0.002126890517,0
3.02e-06,51282.8202933,5.12828202933e-05,0.00213218566857,0
3.04e-06,50942.1115358,5.09421115358e-05,0.00213741069495,0
