frequency_hz,source_scattering_spectral_norm,fitted_scattering_spectral_norm
1,1,0.99968626412
1.1220184543,1,0.999686264049
1.25892541179,1,0.999686263887
1.41253754462,1,0.999686264034
1.58489319246,1,0.999686264665
1.77827941004,1,0.999686265218
1.99526231497,1,0.999686265609
2.23872113857,1,0.999686265778
2.51188643151,1,0.999686265694
2.81838293126,1,0.999686265369
3.16227766017,1,0.999686264859
3.54813389234,1,0.99968626426
3.98107170553,1,0.9996862637
4.46683592151,1,0.999686263595
5.01187233627,1,0.99968626358
5.6234132519,1,0.999686263634
6.3095734448,1,0.999686264108
7.07945784384,1,0.999686265017
7.94328234724,1,0.999686266037
8.91250938134,1,0.999686266937
10,1,0.999686267471
11.220184543,1,0.999686267442
12.5892541179,1,0.999686266768
14.1253754462,1,0.999688676142
15.8489319246,1,0.999693138607
17.7827941004,1,0.999697156539
19.9526231497,1,0.999700766388
22.3872113857,1,0.99970400615
25.1188643151,1,0.999706836522
28.1838293126,1,0.999709079115
31.6227766017,1,0.999710399655
35.4813389234,0.999999999999,0.999710350142
39.8107170553,0.999999999999,0.999708461053
44.6683592151,0.999999999999,0.999704352969
50.1187233627,0.999999999999,0.999697827432
56.234132519,0.999999999998,0.999688904286
63.095734448,0.999999999997,0.999686262752
70.7945784384,0.999999999996,0.999686262705
79.4328234724,0.999999999995,0.99968626284
89.1250938134,0.999999999992,0.999686265752
100,0.99999999999,0.999686270353
112.20184543,0.999999999986,0.999686274148
125.892541179,0.999999999982,0.999686275533
141.253754462,0.999999999976,0.999686273662
158.489319246,0.999999999968,0.999686268927
177.827941004,0.999999999957,0.999686263002
199.526231497,0.999999999942,0.99968626197
223.872113857,0.999999999923,0.99968626206
251.188643151,0.999999999898,0.999686261949
281.838293126,0.999999999864,0.999686267397
316.227766017,0.999999999818,0.999686275673
354.813389234,0.999999999757,0.999686281953
398.107170553,0.999999999677,0.999686283469
446.683592151,0.999999999569,0.999686279131
501.187233627,0.999999999425,0.999686270123
562.34132519,0.999999999234,0.999686260153
630.95734448,0.999999998978,0.999686261879
707.945784384,0.999999998638,0.999686262482
794.328234724,0.999999998184,0.999686261327
891.250938134,0.99999999758,0.99968626733
1000,0.999999996773,0.999686280965
1122.0184543,0.999999995698,0.999686290879
1258.92541179,0.999999994265,0.999686292016
1412.53754462,0.999999992354,0.999686282029
1584.89319246,0.999999989807,0.999686262751
1778.27941004,0.99999998641,0.999686258879
1995.26231497,0.999999981881,0.999686260245
2238.72113857,0.999999975843,0.999686258698
2511.88643151,0.999999967791,0.999686252863
2818.38293126,0.999999957054,0.999686243657
3162.27766017,0.999999942737,0.999686256298
3548.13389234,0.999999923643,0.999686248367
3981.07170553,0.999999898178,0.999686209555
4466.83592151,0.999999864212,0.999686143349
5011.87233627,0.999999818905,0.99968609405
5623.4132519,0.999999758462,0.999686021637
6309.5734448,0.999999677816,0.999686001309
7079.45784384,0.999999570195,0.999686000403
7943.28234724,0.999999426544,0.999685945777
8912.50938134,0.999999234751,0.999685762115
10000,0.999998978599,0.999685495396
