time_s,N1_v_pu,output_fixed_1_pu,nonlinear_current_pseudo_nonlinear_inductor_1_pu
0,-1.59124326922e-12,-1.59124326922e-12,1.59154943092
0.01,-0.0627905195293,-0.0627905195293,1.58840990494
0.02,-0.125333233564,-0.125333233564,1.57900371729
0.03,-0.187381314586,-0.187381314586,1.56336798988
0.04,-0.248689887165,-0.248689887165,1.54156442979
0.05,-0.309016994375,-0.309016994375,1.51367908572
