case,samples,timestep_s,duration_s,nodes,output_channels,maximum_voltage_pu,maximum_output_pu
named_type96_hysteretic,6,0.1,0.5,1,1,0.0951056516295,0.0951056516295
type98_pseudo_nonlinear,6,0.01,0.05,1,2,0.309016994375,1.59154943092
