semantic_type,accepted,representation,fidelity,terminals,event_cursor,task_cursor,output_cursor,project_sha256,checkpoint_sha256,deterministic_sha256
sampled_saturating_lag,true,instantaneous_emt,switching_detailed,1,1,10,2,7abf0eb66aee623f33983f1e9829cfb6fabef72c7a29617d0907ab32fc8ab6e3,8c6e9a71fb4b506ea22e739372b1298d17d3400c2a8884bfa1a2bce278fb681f,10ff7869e9bfc7139ed0e8b006079d870919da7480835cb9af76d3d474d508fd
passive_cubic_current_branch,true,instantaneous_emt,switching_detailed,2;0,0,0,2,7abf0eb66aee623f33983f1e9829cfb6fabef72c7a29617d0907ab32fc8ab6e3,fe86ff93c29a3b5b7975059322d9500fd9d5507b002cd54b1b376a229754717c,9ecac512f7eeb39b0971b62b2d2a0a8db6ef29fc3d326cf3ce15a10cd74c6bb7
series_rl_trapezoidal_companion,true,instantaneous_emt,switching_detailed,1;2,0,0,3,7abf0eb66aee623f33983f1e9829cfb6fabef72c7a29617d0907ab32fc8ab6e3,4aadac1beb7f8389758b06c5668966c92f8841e80a6e477d0ee6141a384ddd78,c7aa19511ce03fbb48098d352c81fbf954fcb825fd19b0941c72f8a18e207ae9
