time_s,source_voltage_v,load_voltage_v,series_current_a,control_output_a,cubic_power_w
0,0,0,0,0,0
1e-05,0,0,0,0,0
2e-05,0,0,0,0,0
3e-05,0.354146394701,0.0167840091614,0.000839209914278,0.0362538493844,1.40853068896e-05
4e-05,0.338605373222,0.047861855648,0.00239331206218,0.0362538493844,0.000114548356441
5e-05,0.325366349457,0.0743278634131,0.00371721443872,0.0362538493844,0.000276292607079
6e-05,0.314087922525,0.0968647881699,0.00484505713187,0.0362538493844,0.00046931543275
7e-05,0.304479306512,0.116055848601,0.00580591873321,0.0362538493844,0.000673810825493
8e-05,0.296292881765,0.132398389935,0.00662456120785,0.0362538493844,0.000877081237949
9e-05,0.289317807685,0.146316076629,0.00732206861595,0.0362538493844,0.00107133635269
0.0001,0.283374562939,0.158169580774,0.00791639309047,0.0362538493844,0.00125213257637
0.00011,0.278310287985,0.168265844629,0.00842282058589,0.0362538493844,0.00141727302004
0.00012,0.273994817073,0.176866047432,0.00885436767707,0.0362538493844,0.00156603701356
0.00013,0.560266460467,0.197876977641,0.00990934474612,0.0659359907929,0.00196083118879
0.00014,0.544402693141,0.229431350461,0.0114957214788,0.0659359907929,0.00263747890357
0.00015,0.530880701164,0.25628508044,0.0128479206765,0.0659359907929,0.00329273038422
0.00016,0.519353009621,0.279143747636,0.0140006898307,0.0659359907929,0.00390820502895
0.00017,0.509524057363,0.298606679222,0.0149835850566,0.0659359907929,0.00447419857668
0.00018,0.501142395215,0.315182614777,0.0158217512714,0.0659359907929,0.00498674093613
0.00019,0.493994049378,0.329303322085,0.0165365858551,0.0659359907929,0.00544555265806
0.0002,0.487896885671,0.341335288552,0.0171463022257,0.0659359907929,0.00585263801784
0.00021,0.482695827707,0.351589685764,0.0176664080222,0.0659359907929,0.0062113268451
0.00022,0.478258800697,0.360330824748,0.0181101107232,0.0659359907929,0.00652563113316
0.00023,0.711860433532,0.378857447255,0.019051629428,0.0902376727812,0.0072178516913
0.00024,0.698196194461,0.405690252345,0.0204180533351,0.0902376727812,0.00828340521091
0.00025,0.68653376837,0.428537968302,0.0215842959442,0.0902376727812,0.0092496903318
0.00026,0.676577677714,0.448001449621,0.0225799050098,0.0902376727812,0.0101158301771
0.00027,0.668076582347,0.464589156676,0.0234300145465,0.0902376727812,0.0108853306993
0.00028,0.660816573948,0.478731603767,0.0241560153864,0.0902376727812,0.0115642479867
0.00029,0.654615508289,0.490793577446,0.0247761219523,0.0902376727812,0.0121599615283
0.0003,0.649318213946,0.501084424392,0.0253058513866,0.0902376727812,0.0126803679759
