time_s,BUSA2_v_pu,BUSAS2_v_pu,BUSB2_v_pu,BUSBS2_v_pu,BUSC2_v_pu,BUSCS2_v_pu,BUSMG_v_pu,BUSMGR_v_pu,BUSMS_v_pu,UM1TLA_v_pu,UM1TLB_v_pu,UM1TLC_v_pu,UM1MCC_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,branch_current_branch_fixed_1_pu,branch_current_branch_fixed_7_pu,branch_current_branch_fixed_9_pu,branch_current_branch_fixed_10_pu,torque_Nm_pu,mechanical_speed_rad_s_pu,mechanical_angle_rad_pu,phase_a_current_A_pu,phase_b_current_A_pu,phase_c_current_A_pu,stator_current_1_A_pu,stator_current_2_A_pu,stator_current_3_A_pu
0.002,1801.49276637,2186.90588226,-304.754732991,685.052610332,-1496.73803338,-2871.9584926,184.725637324,92.3628186621,184.721672254,1755.24753789,-423.534850143,-1331.71268775,184.725637324,2186.90588226,1801.49276637,184.725637324,-362.119451927,203.084473751,-1.14352884889,-3965.07077059,-4167.01171519,184.725648031,1.15484945946,-362.119451927,269.662780079,92.4566718475,165.212934323,-308.248663086,143.035728762
0.0022,1744.49664276,2025.99842436,-160.535552234,903.116073588,-1583.96109053,-2929.11449795,184.72563485,92.362817425,184.721669779,1710.72085442,-288.176736865,-1422.54411756,184.72563485,2025.99842436,1744.49664276,184.72563485,-368.787869994,203.084471031,-1.28128412366,-3965.07077065,-4166.87395722,184.725648031,1.19179458907,-368.787869994,249.127671597,119.660198397,165.598041154,-308.218819672,142.620778518
0.0024,1677.65965047,1853.57883927,-15.234344992,1116.04785116,-1662.42530548,-2969.62669043,184.725632094,92.3628160472,184.721667024,1656.55382815,-150.990934665,-1505.56289348,184.725632094,1853.57883927,1677.65965047,184.725632094,-373.361337549,203.084468002,-1.41912519932,-3965.07077056,-4166.73611313,184.725648031,1.22873971867,-373.361337549,227.177857072,146.183480477,165.983391609,-308.188240499,142.20484889
0.0026,1601.23484555,1670.62684946,129.971158422,1322.63802222,-1731.20600397,-2993.26487168,184.725629057,92.3628145283,184.721663986,1592.91231485,-13.1513124887,-1579.76100236,184.725629057,1670.62684946,1601.23484555,184.725629057,-375.813700301,203.084464662,-1.55797344446,-3965.07077065,-4166.59726147,184.725648031,1.26568484828,-375.813700301,203.937935357,171.875764945,166.369023492,-308.156851101,141.787827609
0.0028,1515.75078204,1478.18202464,274.630627196,1521.71270019,-1790.38140924,-2999.89472484,184.725625737,92.3628128685,184.721660666,1520.2635465,124.978623956,-1645.24217046,184.725625737,1478.18202464,1515.75078204,184.725625737,-376.131180821,203.084461012,-1.69529980421,-3965.07077059,-4166.45993148,184.725648031,1.30262997788,-376.131180821,179.540062511,196.591118311,166.754950287,-308.124840854,141.369890567
0.003,1421.63175083,1277.3378747,417.526396033,1712.14070305,-1839.15814686,-2989.47857775,184.725622138,92.3628110688,184.721657067,1438.95150771,262.170829718,-1701.12233742,184.725622138,1277.3378747,1421.63175083,184.725622138,-374.311804043,203.084457055,-1.83202895522,-3965.07077059,-4166.32319836,184.725648031,1.33957510749,-374.311804043,154.122765048,220.189038995,167.141203998,-308.092135127,140.950931129
0.0032,1319.44086683,1069.23563614,558.261378395,1892.83998091,-1877.70224522,-2962.07561705,184.725618262,92.3628091312,184.721653192,1349.4699389,398.110412127,-1747.58035103,184.725618262,1069.23563614,1319.44086683,184.725618262,-370.366068297,203.084452795,-1.96568658948,-3965.07077056,-4166.18953649,184.725648031,1.3765202371,-370.366068297,127.830553999,242.535514298,167.527787824,-308.05892009,140.531132266
0.0034,1209.76373398,855.05778741,695.603732335,2062.7837644,-1905.36746631,-2917.84155181,184.725614117,92.3628070583,184.721649046,1252.33281936,531.540918733,-1783.8737381,184.725614117,855.05778741,1209.76373398,184.725614117,-364.316221842,203.084448237,-2.097217381,-3965.07077059,-4166.05800114,184.725648031,1.4134653667,-364.316221842,100.81273901,263.503482832,167.914727719,-308.025119785,140.110392066
0.0036,1093.18538208,636.021329766,829.220597057,2221.00639907,-1922.40597913,-2857.02772884,184.725609707,92.3628048535,184.721644636,1148.04934272,662.20542214,-1810.25476486,184.725609707,636.021329766,1093.18538208,184.725609707,-356.19680134,203.084443389,-2.22421878576,-3965.07077059,-4165.93099488,184.725648031,1.45041049631,-356.19680134,73.2229066336,282.973894707,168.302016452,-307.990916011,139.688899559
0.0038,970.439460222,413.370872054,957.891860876,2366.60883234,-1928.3313211,-2779.97970439,184.725605042,92.3628025209,184.721639971,1037.29184345,788.845281688,-1826.13712513,184.725605042,413.370872054,970.439460222,184.725605042,-346.053772685,203.084438261,-2.34767070413,-3965.07077059,-4165.80753779,184.725648031,1.48735562592,-346.053772685,45.2177604581,300.836012227,168.689673861,-307.956230405,139.266556544
0.004,842.11945411,188.371558588,1081.35856762,2498.76372213,-1923.47802173,-2687.13528072,184.725600131,92.3628000653,184.72163506,920.573208912,911.269745603,-1831.84295451,184.725600131,188.371558588,842.11945411,184.725600131,-333.944927849,203.084432861,-2.46525785327,-3965.07077056,-4165.6899453,184.725648031,1.52430075552,-333.944927849,16.9564770242,316.988450825,169.077682316,-307.921239321,138.843557005
0.0042,709.090744746,-37.6981196503,1198.43784019,2616.720138,-1907.52858494,-2579.02201835,184.725594984,92.3627974922,184.721629914,798.70924774,1028.24410126,-1826.953349,184.725594984,-37.6981196503,709.090744746,184.725594984,-319.938906366,203.084427204,-2.57800871134,-3965.07077056,-4165.57718877,184.725648031,1.56124588513,-319.938906366,-11.4004030551,331.339309421,169.466055658,-307.885861027,138.419805369
0.0044,571.941310487,-263.553589652,1308.95274552,2719.80782807,-1880.89405601,-2456.25423842,184.725589615,92.3627948077,184.721624545,672.204347889,1139.65061191,-1811.8549598,184.725589615,-263.553589652,571.941310487,184.725589615,-304.115444667,203.084421301,-2.68370860815,-3965.07077056,-4165.47148294,184.725648031,1.59819101473,-304.115444667,-39.6917257666,343.807170433,169.854766067,-307.850265476,137.995499409
0.0046,431.649269783,-487.911495585,1411.78220326,2807.44102752,-1843.43147304,-2319.52953193,184.725584037,92.3627920183,184.721618966,542.000000398,1244.30395743,-1786.30395783,184.725584037,-487.911495585,431.649269783,184.725584037,-286.564297332,203.084415168,-2.78344655037,-3965.07077053,-4165.37173888,184.725648031,1.63513614434,-286.564297332,-67.7567573862,354.321054718,170.243821678,-307.814366728,137.57054505
0.0048,288.782951924,-709.496991071,1506.837637,2879.12178702,-1795.62058892,-2169.62479595,184.725578263,92.3627891313,184.721613192,408.579753707,1342.16468423,-1750.74443793,184.725578263,-709.496991071,288.782951924,184.725578263,-267.385336299,203.08440882,-2.87511983514,-3965.07077056,-4165.28005927,184.725648031,1.67208127395,-267.385336299,-95.4360239362,362.821360235,170.633184858,-307.778327518,137.145142659
0.005,144.411956644,-927.050983125,1593.08286673,2934.4428022,-1737.49482338,-2007.39181908,184.725572308,92.3627861542,184.721607238,272.990469665,1432.12114535,-1705.11161501,184.725572308,-927.050983125,144.411956644,184.725572308,-246.687393398,203.084402274,-2.95988705754,-3965.07077056,-4165.19528547,184.725648031,1.70902640355,-246.687393398,-122.572246783,369.259640181,171.022858486,-307.742056995,136.719198509
0.0052,-0.929020770236,-1139.33728657,1670.522036,2973.08972802,-1669.59301523,-1833.75244146,184.72556619,92.3627830952,184.72160112,135.682666184,1514.2157011,-1649.89836728,184.72556619,-1139.33728657,-0.929020770236,184.72556619,-224.588210067,203.084395548,-3.03576681018,-3965.07077056,-4165.11939898,184.725648031,1.74597153316,-224.588210067,-149.011251474,373.599461541,171.412795653,-307.705710008,136.292914355
0.0054,-146.101951675,-1345.14964827,1738.22502779,2994.84296494,-1592.12307611,-1649.69331667,184.725559925,92.3627799627,184.721594855,-2.21381352437,1587.43297056,-1585.21915704,184.725559925,-1345.14964827,-146.101951675,184.725559925,-201.213224642,203.08438866,-3.10399445891,-3965.07077053,-4165.05116442,184.725648031,1.78291666277,-201.213224642,-174.602784152,375.816008794,171.802994579,-307.669190252,135.866195673
0.0056,-290.61926603,-1543.31860134,1796.29095729,2999.57890673,-1505.67169126,-1456.26030539,184.725553531,92.3627767654,184.72158846,-140.293225448,1651.89879377,-1511.60556833,184.725553531,-1543.31860134,-290.61926603,184.725553531,-176.695376414,203.08438163,-3.16271647811,-3965.07077056,-4164.99243541,184.725648031,1.81986179237,-176.695376414,-199.201469214,375.896845628,172.193399754,-307.632644175,135.439244421
0.0058,-433.298853632,-1732.71811027,1843.91455416,2987.27064282,-1410.61570053,-1254.55253255,184.725547025,92.3627735123,184.721581954,-277.36672875,1706.71449553,-1429.34776678,184.725547025,-1732.71811027,-433.298853632,184.725547025,-151.173862625,203.084374477,-3.21324944496,-3965.07077053,-4164.94189528,184.725648031,1.85680692198,-151.173862625,-222.667487726,373.841350351,172.584005469,-307.595969637,135.011964168
0.006,-573.712936696,-1912.27196925,1881.28995223,2957.98811121,-1307.57701553,-1045.71614197,184.725540426,92.3627702128,184.721575355,-413.084355264,1752.08911156,-1339.00475629,184.725540426,-1912.27196925,-573.712936696,184.725540426,-124.793803766,203.084367222,-3.25387185812,-3965.07077059,-4164.90126554,184.725648031,1.89375205158,-124.793803766,-244.867562667,369.661366433,172.974748412,-307.559304341,134.584555929
0.0062,-710.660439797,-2080.95991744,1907.75274797,2911.8977011,-1197.09230818,-830.937783665,184.725533752,92.3627668761,184.721568681,-546.22333002,1787.2585417,-1241.03521168,184.725533752,-2080.95991744,-710.660439797,184.725533752,-97.704996165,203.084359886,-3.2859839797,-3965.07077053,-4164.86914615,184.725648031,1.93069718119,-97.704996165,-265.675483245,363.38047941,173.365619784,-307.522540091,134.156920307
0.0064,-843.784903929,-2237.82343627,1923.58989371,2849.2613074,-1079.80498979,-611.437871123,184.725527024,92.3627635119,184.721561953,-676.49943931,1812.51274375,-1136.01330444,184.725527024,-2237.82343627,-843.784903929,184.725527024,-70.0614482987,203.084352489,-3.30799785256,-3965.07077056,-4164.84712484,184.725648031,1.9676423108,-70.0614482987,-284.973096265,355.034544563,173.756549367,-307.485805667,133.7292563
0.0066,-971.891634493,-2381.97119594,1928.29078637,2770.43484257,-956.399151876,-388.463646629,184.725520259,92.3627601295,184.721555188,-802.681582877,1827.23713143,-1024.55554855,184.725520259,-2381.97119594,-971.891634493,184.725520259,-42.0201552792,203.084345052,-3.32139664888,-3965.07077051,-4164.83371866,184.725648031,2.0045874404,-42.0201552792,-302.65066334,344.670818619,174.147526208,-307.448986772,133.301460564
0.0068,-1094.70558306,-2512.58412013,1922.23075982,2675.86621433,-827.52517676,-163.282094205,184.725513477,92.3627567386,184.721548406,-924.559993724,1831.79832857,-907.238334847,184.725513477,-2512.58412013,-1094.70558306,184.725513477,-13.7405185333,203.084337596,-3.32472550869,-3965.07077051,-4164.83038235,184.725648031,2.04153257001,-13.7405185333,-318.607837188,332.348355722,174.538474162,-307.412203247,132.873729086
0.007,-1211.06347071,-2628.92004013,1905.06260341,2566.09278048,-693.999132698,62.8272596502,184.725506697,92.3627533487,184.721541627,-1040.92085778,1825.74297521,-784.822117424,184.725506697,-2628.92004013,-1211.06347071,184.725506697,14.6168316553,203.084330142,-3.31954753399,-3965.07077051,-4164.83555285,184.725648031,2.07847769962,14.6168316553,-332.753842143,318.137010487,174.929381115,-307.375334808,132.445953693
0.0072,-1320.78005168,-2730.31791205,1877.24342236,2441.73829557,-556.463370686,288.579616484,184.725499938,92.3627499691,184.721534867,-1151.63602312,1809.50817768,-657.872154558,184.725499938,-2730.31791205,-1320.78005168,184.725499938,42.8907184457,203.084322711,-3.30453780293,-3965.07077051,-4164.85055515,184.725648031,2.11542282922,42.8907184457,-345.008414883,302.117696437,175.320166034,-307.338492511,132.018326478
0.0074,-1422.74765556,-2816.20157296,1838.595467,2303.50936659,-415.847811437,512.69220637,184.725493218,92.3627466089,184.721528147,-1255.53403652,1782.81006267,-527.276026149,184.725493218,-2816.20157296,-1422.74765556,184.725493218,70.9205224122,203.084315323,-3.28133428097,-3965.07077053,-4164.87375124,184.725648031,2.15236795883,70.9205224122,-355.301802301,284.381279889,175.710816689,-307.301550356,131.590733667
0.0076,-1516.87730254,-2886.08301476,1789.64894605,2152.19143789,-272.771643514,733.891576869,184.725486555,92.3627432773,184.721521484,-1352.57379963,1746.14820994,-393.574410304,184.725486555,-2886.08301476,-1516.87730254,184.725486555,98.546949241,203.084307997,-3.24873641133,-3965.07077053,-4164.90634178,184.725648031,2.18931308843,98.546949241,-363.575647338,265.028698097,176.101248224,-307.264610917,131.163362692
0.0078,-1602.1397721,-2939.56515715,1730.3980107,1988.64432812,-128.258238605,950.920829032,184.725479966,92.3627399828,184.721514895,-1441.65023325,1699.41289001,-257.762656759,184.725479966,-2939.56515715,-1602.1397721,184.725479966,125.613036054,203.084300754,-3.20844981074,-3965.07077053,-4164.94662112,184.725648031,2.22625821804,125.613036054,-369.782802072,244.169766018,176.491449359,-307.2275429,130.736093541
0.008,-1678.54669765,-2976.34410394,1661.43541392,1813.79734459,17.1112837308,1162.54675936,184.725473468,92.3627367339,184.721508397,-1522.81283248,1643.1564689,-120.343636422,184.725473468,-2976.34410394,-1678.54669765,184.725473468,151.964986389,203.08429361,-3.15939071774,-3965.07077053,-4164.99567308,184.725648031,2.26320334765,151.964986389,-373.888140882,221.923154493,176.881332492,-307.190440845,130.309108353
0.0082,-1745.16832137,-2996.21086982,1582.92599225,1628.64400273,162.242329125,1367.56686709,184.725467077,92.3627335386,184.721502006,-1595.045345,1577.44434141,17.6010035872,184.725467077,-2996.21086982,-1745.16832137,184.725467077,177.453056519,203.084286584,-3.1033231914,-3965.07077051,-4165.05173362,184.725648031,2.30014847725,177.453056519,-375.868190537,198.415134018,177.270888349,-307.15316872,129.882280372
0.0084,-1802.11898065,-2999.05256785,1495.51280525,1434.23638076,306.606175403,1564.81618709,184.725460809,92.3627304046,184.721495738,-1658.48937337,1502.87048473,155.618888649,184.725460809,-2999.05256785,-1802.11898065,184.725460809,201.932438489,203.084279694,-3.03927084804,-3965.07077053,-4165.11577901,184.725648031,2.33709360686,201.932438489,-375.711854817,173.779416327,177.660027649,-307.115813609,129.45578596
0.0086,-1848.58712977,-2984.85305094,1399.52655572,1231.67914159,449.060574046,1753.17390936,184.725454678,92.3627273392,184.721489608,-1712.2379224,1419.67272646,292.565195938,184.725454678,-2984.85305094,-1848.58712977,184.725454678,225.264006377,203.084272953,-2.96904543042,-3965.07077051,-4165.18599773,184.725648031,2.37403873646,225.264006377,-373.419867299,148.155860922,178.048744158,-307.078235418,129.02949126
0.0088,-1884.78955463,-2953.69300359,1295.64694983,1022.12325583,589.142604802,1931.56974776,184.725448698,92.362724349,184.721483627,-1756.52410854,1328.47422118,428.049887365,184.725448698,-2953.69300359,-1884.78955463,184.725448698,247.315227499,203.084266379,-2.89176720381,-3965.07077048,-4165.2632694,184.725648031,2.41098386607,247.315227499,-369.005413792,121.690186293,178.436947943,-307.040514464,128.603566521
0.009,-1910.04902441,-2905.74948339,1184.36226268,806.759461846,725.686761737,2098.99002154,184.725442881,92.3627214403,184.72147781,-1790.56818487,1229.6789487,560.889236169,184.725442881,-2905.74948339,-1910.04902441,184.725442881,267.960751302,203.084259983,-2.8092828691,-3965.07077048,-4165.34574731,184.725648031,2.44792899568,267.960751302,-362.493417345,94.532666043,178.824636794,-307.002507372,128.177870578
0.0092,-1924.68213561,-2841.29491498,1066.37405784,586.811499666,858.308077764,2254.48341532,184.725437238,92.3627186188,184.721472167,-1814.69204708,1123.92581188,690.766235205,184.725437238,-2841.29491498,-1924.68213561,184.725437238,287.083328641,203.084253779,-2.72079738975,-3965.07077051,-4165.43422657,184.725648031,2.48487412528,287.083328641,-353.921047341,66.837718699,179.211721095,-306.964288475,127.752567381
0.0094,-1928.15910449,-2760.6955421,942.31661628,363.529157489,985.842488208,2397.16638461,184.725431779,92.3627158897,184.721466709,-1828.25838687,1011.77523138,816.483155488,184.725431779,-2760.6955421,-1928.15910449,184.725431779,304.574229154,203.084247779,-2.62817928195,-3965.07077048,-4165.52683868,184.725648031,2.52181925489,304.574229154,-343.336849913,38.7626207591,179.598203577,-306.925711984,127.327508408
0.0096,-1920.89133667,-2664.40934644,812.897764908,138.181170122,1107.99357176,2526.22817632,184.725426515,92.3627132576,184.721461444,-1831.6730195,893.867725896,937.805293608,184.725426515,-2664.40934644,-1920.89133667,184.725426515,320.334148719,203.084241991,-2.53070485592,-3965.07077048,-4165.62430732,184.725648031,2.5587643845,320.334148719,-330.801135239,10.4669865199,179.983995833,-306.886847106,126.902851273
0.0098,-1902.50639936,-2552.98344538,678.883222825,-87.9519902168,1223.62317654,2640.9354356,184.725421453,92.3627107265,184.721456382,-1824.45316512,770.90724501,1053.54592011,184.725421453,-2552.98344538,-1902.50639936,184.725421453,334.27344467,203.084236426,-2.43025022745,-3965.07077048,-4165.72475638,184.725648031,2.5957095141,334.27344467,-316.384969975,-17.8884746948,180.369106369,-306.847546564,126.478440195
0.01,-1873.50321655,-2427.05098312,540.971029269,-313.585389803,1332.53218728,2740.63637293,184.7254166,92.3627082998,184.721451529,-1807.08164032,643.521401603,1163.56023871,184.7254166,-2427.05098312,-1873.50321655,184.7254166,346.313012209,203.08423109,-2.32614937425,-3965.07077048,-4165.82885184,184.725648031,2.63265464371,346.313012209,-300.170437098,-46.1425751109,180.753448783,-306.807875352,126.054426569
0.0102,-1833.67319511,-2287.32753303,400.041106232,-537.436934651,1433.63208888,2824.76446768,184.72541196,92.3627059802,184.72144689,-1779.23895117,512.541858132,1266.69709304,184.72541196,-2287.32753303,-1833.67319511,184.72541196,356.384330557,203.08422599,-2.22027158737,-3965.07077051,-4165.93472457,184.725648031,2.66959977331,356.384330557,-282.249510079,-74.134820478,181.137038082,-306.767685678,125.630647596
0.0104,-1783.59332611,-2134.60703163,256.765561401,-758.234655629,1526.8277647,2892.84168726,184.72540754,92.3627037699,184.721442469,-1741.47605461,378.568740135,1362.90731447,184.72540754,-2134.60703163,-1783.59332611,184.72540754,364.430290177,203.08422113,-2.11199447513,-3965.07077045,-4166.04299683,184.725648031,2.70654490292,364.430290177,-262.724182526,-101.706107651,181.519790563,-306.727039265,125.207248701
0.0106,-1723.22181768,-1969.75726726,112.119005456,-974.723936041,1611.10281222,2944.4812033,184.725403341,92.3627016703,184.72143827,-1693.64200859,242.543058899,1451.09894969,184.725403341,-1969.75726726,-1723.22181768,184.725403341,370.405046892,203.084216513,-2.00316542387,-3965.07077051,-4166.15182122,184.725648031,2.74349003253,370.405046892,-241.705246511,-128.699800381,181.901728345,-306.685788797,124.784060452
0.0108,-1653.20229707,-1793.71494917,-33.268250393,-1185.67464061,1686.47054746,2979.38958979,184.725399365,92.3626996823,184.721434294,-1636.34527011,105.023148181,1531.32212193,184.725399365,-1793.71494917,-1653.20229707,184.725399365,374.274783229,203.084212142,-1.89319202304,-3965.07077048,-4166.26179023,184.725648031,2.78043516213,374.274783229,-219.312292177,-154.962491053,182.282770992,-306.643993682,124.36122269
0.011,-1573.65917278,-1607.48038494,-178.348265234,-1389.88810536,1752.00743801,2997.3684903,184.725395613,92.3626978063,184.721430542,-1569.60513953,-32.9611363498,1602.56627588,184.725395613,-1607.48038494,-1573.65917278,184.725395613,376.01737158,203.084208017,-1.78388547897,-3965.07077051,-4166.37109268,184.725648031,2.81738029174,376.01737158,-195.672414888,-180.344956691,182.662948222,-306.601508072,123.93855985
0.0112,-1485.28952719,-1412.1117965,-322.547739277,-1586.20394864,1807.83726646,2998.31574513,184.725392083,92.3626960417,184.721427013,-1494.07536234,-170.906943113,1664.98230546,184.725392083,-1412.1117965,-1485.28952719,184.725392083,375.623054754,203.084204137,-1.67466941476,-3965.07077045,-4166.48030488,184.725648031,2.85432542135,375.623054754,-170.920087801,-204.702966953,183.042183309,-306.558390002,123.516206693
0.0114,-1388.37984723,-1208.71930714,-464.768133003,-1773.50666467,1853.14798024,2982.22597181,184.725388775,92.3626943876,184.721423705,-1409.94358917,-307.717766853,1717.66135602,184.725388775,-1208.71930714,-1388.37984723,184.725388775,373.093923329,203.084200501,-1.56730479002,-3965.07077048,-4166.58766586,184.725648031,2.89127055095,373.093923329,-145.195824275,-227.898099054,183.420513922,-306.514496059,123.093982136
0.0116,-1283.66601284,-998.458633569,-604.507361348,-1950.73196205,1888.17337419,2949.19059562,184.725385685,92.3626928425,184.721420614,-1317.89531969,-442.958985513,1760.8543052,184.725385685,-998.458633569,-1283.66601284,184.725385685,368.444502597,203.084197103,-1.4612185657,-3965.07077045,-4166.69374869,184.725648031,2.92821568056,368.444502597,-118.645929109,-249.798573488,183.797867349,-306.469883819,122.67201647
0.0118,-1171.58906329,-782.524518869,-740.639893965,-2116.8728113,1912.22895726,2899.39733016,184.725382808,92.3626914041,184.721417737,-1218.28114904,-575.490846832,1793.77199587,184.725382808,-782.524518869,-1171.58906329,184.725382808,361.701053215,203.08419394,-1.3581083715,-3965.07077045,-4166.79685572,184.725648031,2.96516081016,361.701053215,-91.421143862,-270.279909353,184.174289427,-306.424413232,122.250123805
0.012,-1052.90785368,-562.143943757,-872.747708428,-2270.98516696,1925.65556211,2833.12911071,184.725380139,92.3626900696,184.721415068,-1111.8037577,-704.95844929,1816.76220699,184.725380139,-562.143943757,-1052.90785368,184.725380139,352.902054068,203.084191006,-1.25739234686,-3965.07077045,-4166.89756878,184.725648031,3.00210593977,352.902054068,-63.676285006,-289.225769062,184.549711625,-306.378142278,121.828430654
0.0122,-928.207234542,-338.56915462,-999.702255477,-2412.19333188,1927.90949002,2750.7624865,184.725377672,92.3626888359,184.721412601,-998.967909301,-830.202899482,1829.17080878,184.725377672,-338.56915462,-928.207234542,184.725377672,342.09733917,203.084188294,-1.16069281101,-3965.07077045,-4166.9942656,184.725648031,3.03905106938,342.09733917,-35.5689004115,-306.528438759,184.924188023,-306.330935135,121.406747112
0.0124,-798.252392313,-113.07054801,-1121.18075016,-2539.69493312,1919.43314247,2652.76548113,184.725375398,92.3626876991,184.721410327,-880.478165811,-950.958961095,1831.43712691,184.725375398,-113.07054801,-798.252392313,184.725375398,329.348468482,203.084185794,-1.06740835309,-3965.07077045,-4167.08754758,184.725648031,3.07599619898,329.348468482,-7.25880499011,-322.089663492,185.297654301,-306.282850979,120.985196678
0.0126,-663.758289625,113.07054801,-1236.07544453,-2652.76548113,1899.83373415,2539.69493312,184.72537331,92.362686655,184.721408239,-756.981526874,-1066.07289325,1823.05442013,184.72537331,113.07054801,-663.758289625,184.72537331,314.727717586,203.084183498,-0.979075103998,-3965.07077045,-4167.17587853,184.725648031,3.11294132859,314.727717586,21.0932233711,-335.820940958,185.670172725,-306.233759007,120.563586282
0.0128,-525.47934633,338.569154621,-1344.16800893,-2750.7624865,1869.64735526,2412.19333188,184.725371398,92.3626856988,184.721406327,-629.168746264,-1175.37726354,1804.5460098,184.725371398,338.569154621,-525.47934633,184.725371398,298.318331155,203.084181396,-0.89506277442,-3965.07077045,-4167.25988877,184.725648031,3.1498864582,298.318331155,49.3259980936,-347.644329248,186.041683078,-306.1837203,120.142037222
