time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_4,branch_current_branch_fixed_6,branch_current_branch_fixed_7,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,separate_field_current_A
0,20,21,0.999999999991,46.6400933,23.32004665,46.6401445711,20,1.0009090909,46.6400933,21,20,0.999999999991,46.6400933,51.2753884125,0,51.2711010003,-0.00428727278145,46.6400933,0.392699081699,0,0,-0.0100000001264,-9.09090909091
2e-05,19.999999965,21,0.999999999991,46.6400933,23.32004665,46.6401445711,19.999999965,1.0009090909,46.6400933,21,19.999999965,0.999999999991,46.6400933,51.2753884125,-5.96046447754e-08,51.2711010003,-0.00428727277497,46.6400933,0.393631883565,0,0,-0.0100000001113,-9.09090909091
4e-05,20.000000016,21,0.999999999991,46.6400933,23.32004665,46.6401445711,20.000000016,0.999090909082,46.6400933,21,20.000000016,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727277141,46.6400933,0.394564685431,0,0,-0.0100000001029,-9.09090909091
6e-05,19.9999999661,21,0.999999999991,46.6400933,23.32004665,46.6401445711,19.9999999661,1.0009090909,46.6400933,21,19.9999999661,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727276805,46.6400933,0.395497487297,0,0,-0.0100000000951,-9.09090909091
8e-05,20.0000000171,21,0.999999999991,46.6400933,23.32004665,46.6401445711,20.0000000171,0.999090909082,46.6400933,21,20.0000000171,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727276489,46.6400933,0.396430289163,0,0,-0.0100000000877,-9.09090909094
0.0001,19.9999999671,21,0.999999999991,46.6400933,23.32004665,46.6401445711,19.9999999671,1.0009090909,46.6400933,21,19.9999999671,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727276191,46.6400933,0.397363091029,0,0,-0.0100000000808,-9.09090909091
0.00012,20.000000018,21,0.999999999991,46.6400933,23.32004665,46.6401445711,20.000000018,0.999090909082,46.6400933,21,20.000000018,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727275911,46.6400933,0.398295892895,0,0,-0.0100000000743,-9.09090909088
0.00014,19.999999968,21,0.999999999991,46.6400933,23.32004665,46.6401445711,19.999999968,1.0009090909,46.6400933,21,19.999999968,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727275647,46.6400933,0.399228694761,0,0,-0.0100000000681,-9.09090909091
0.00016,20.0000000189,21,0.999999999991,46.6400933,23.32004665,46.6401445711,20.0000000189,0.999090909082,46.6400933,21,20.0000000189,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727275398,46.6400933,0.400161496627,0,0,-0.0100000000623,-9.09090909091
0.00018,19.9999999688,21,0.999999999991,46.6400933,23.32004665,46.6401445711,19.9999999688,1.0009090909,46.6400933,21,19.9999999688,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727275164,46.6400933,0.401094298493,0,0,-0.0100000000568,-9.09090909094
