time_s,SRCE A_v_pu,BUS  A_v_pu,SRCE B_v_pu,BUS  B_v_pu,SRCE C_v_pu,BUS  C_v_pu,STP1 A_v_pu,CAP1 A_v_pu,STP1 B_v_pu,CAP1 B_v_pu,STP1 C_v_pu,CAP1 C_v_pu,STP2 A_v_pu,CAP2 A_v_pu,STP2 B_v_pu,CAP2 B_v_pu,STP2 C_v_pu,CAP2 C_v_pu,CAP1 S_v_pu,CAP2 8_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,switch_voltage_switch_fixed_1_pu,switch_voltage_switch_fixed_3_pu,switch_voltage_switch_fixed_4_pu,switch_voltage_switch_fixed_5_pu,switch_voltage_switch_fixed_6_pu,switch_voltage_switch_fixed_7_pu,switch_current_switch_fixed_1_pu,switch_current_switch_fixed_2_pu,switch_current_switch_fixed_3_pu,switch_current_switch_fixed_4_pu,switch_current_switch_fixed_5_pu,switch_current_switch_fixed_6_pu,switch_current_switch_fixed_7_pu
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0005,-0.65342060399,-1.73273681788,0.982287250729,1.5549488451,-0.328866646739,0.175862830301,0.287542796737,-0.298338682704,1.55494884525,1.83837522544,0.175862830152,0.476973256204,0,0,0,0,0,0,0.476973256204,0,-1.73273681788,1.5549488451,0.175862830301,-0.298338682704,1.83837522544,0.476973256204,0,0,0,-2.02027961462,-1.48657308685e-10,1.49060708221e-10,-1.73273681788,1.5549488451,0.175862830301,-0,0,-0.148657308685,0.149060708221,-0,0,0
0.001,-0.783693457326,-0.783709983868,0.929776485888,1.05108497184,-0.146083028562,-0.270040226583,-1.06801872029,-1.06801872029,1.05108497185,1.06226512246,-0.270040226588,-0.28629344816,0,0,0,0,0,0,-0.28629344816,0,-0.783709983868,1.05108497184,-0.270040226583,-1.06801872029,1.06226512246,-0.28629344816,0,0,0,0.284308736422,-4.36362057599e-12,4.86660711729e-12,-0.783709983868,1.05108497184,-0.270040226583,0,-0,-0.00436362057599,0.00486660711729,-0,0,-0
0.0015,-0.886203579231,-0.886203579484,0.844327925502,0.813765119533,0.0418756537292,0.0707591362428,-1.015341267,-1.015341267,0.813765119523,0.811124558182,0.0707591362531,0.0702031678659,0,0,0,0,0,0,0.0702031678659,0,-0.886203579484,0.813765119533,0.0707591362428,-1.015341267,0.811124558182,0.0702031678659,0,0,0,0.129137687513,1.0603296019e-11,-1.02864800011e-11,-0.886203579484,0.813765119533,0.0707591362428,0,-0,0.010603296019,-0.0102864800011,-0,0,0
0.002,-0.957319497532,-0.957319497532,0.728968627421,0.71285734447,0.228350870111,0.243404034921,-0.978881899103,-0.978881899103,0.712857344491,0.709641698698,0.2434040349,0.244605555734,0,0,0,0,0,0,0.244605555734,0,-0.957319497532,0.71285734447,0.243404034921,-0.978881899103,0.709641698698,0.244605555734,0,0,0,0.0215624015713,-2.03690397882e-11,2.05687689103e-11,-0.957319497532,0.71285734447,0.243404034921,0,-0,-0.0203690397882,0.0205687689103,-0,0,0
0.0025,-0.994521895368,-0.994521895368,0.587785252292,0.596332266248,0.406736643076,0.397522930823,-0.959712683187,-0.959712683187,0.596332266266,0.596364508503,0.397522930805,0.396221594484,0,0,0,0,0,0,0.396221594484,0,-0.994521895368,0.596332266248,0.397522930823,-0.959712683187,0.596364508503,0.396221594484,0,0,0,-0.0348092121815,-1.79959380731e-11,1.81217818529e-11,-0.994521895368,0.596332266248,0.397522930823,-0,0,-0.0179959380731,0.0181217818529,-0,0,0
0.003,-0.99649285925,-0.99649285925,0.425779291565,0.426633512903,0.570713567684,0.569439279658,-0.958369178858,-0.958369178858,0.426633512917,0.426499349942,0.569439279645,0.568773790909,0,0,0,0,0,0,0.568773790909,0,-0.99649285925,0.426633512903,0.569439279658,-0.958369178858,0.426499349942,0.568773790909,0,0,0,-0.0381236803912,-1.32315269852e-11,1.33105748645e-11,-0.99649285925,0.426633512903,0.569439279658,-0,0,-0.0132315269852,0.0133105748645,-0,0,0
0.0035,-0.963162566798,-0.963162566798,0.248689887165,0.246401936922,0.714472679633,0.716495963356,-0.974808549046,-0.974808549046,0.246401936936,0.245938197613,0.716495963342,0.716455845485,0,0,0,0,0,0,0.716455845485,0,-0.963162566798,0.246401936922,0.716495963356,-0.974808549046,0.245938197613,0.716455845485,0,0,0,0.011645982248,-1.42489353649e-11,1.42986733564e-11,-0.963162566798,0.246401936922,0.716495963356,0,-0,-0.0142489353649,0.0142986733564,-0,0,0
0.004,-0.895711760239,-0.895711760239,0.0627905195293,0.0622766007816,0.83292124071,0.833268407766,-1.00839144023,-1.00839144023,0.0622766007954,0.0620394624997,0.833268407752,0.833188068171,0,0,0,0,0,0,0.833188068171,0,-0.895711760239,0.0622766007816,0.833268407766,-1.00839144023,0.0620394624997,0.833188068171,0,0,0,0.112679679988,-1.38158165464e-11,1.384703463e-11,-0.895711760239,0.0622766007816,0.833268407766,0,-0,-0.0138158165464,0.01384703463,-0,0,0
0.0045,-0.796529918024,-0.796529918024,-0.125333233564,-0.125892125759,0.921863151588,0.922316985016,-1.05789225836,-1.05789225836,-0.125892125747,-0.126043138885,0.922316985004,0.922267957197,0,0,0,0,0,0,0.922267957197,0,-0.796529918024,-0.125892125759,0.922316985016,-1.05789225836,-0.126043138885,0.922267957197,0,0,0,0.261362340331,-1.19420862088e-11,1.1961431845e-11,-0.796529918024,-0.125892125759,0.922316985016,0,-0,-0.0119420862088,0.011961431845,-0,-0,0
0.005,-0.669130606359,-0.669130606359,-0.309016994375,-0.310133368459,0.978147600734,0.979197785232,-1.12153478961,-1.12153478961,-0.310133368449,-0.310305803459,0.979197785222,0.979244175719,0,0,0,0,0,0,0.979244175719,0,-0.669130606359,-0.310133368459,0.979197785232,-1.12153478961,-0.310305803459,0.979244175719,0,0,0,0.452404183255,-1.00029984296e-11,1.00150998605e-11,-0.669130606359,-0.310133368459,0.979197785232,0,-0,-0.0100029984296,0.0100150998605,-0,-0,0
0.0055,-0.518027009373,-0.518027009373,-0.481753674102,-0.482962936451,0.999780683475,1.00094824395,-1.19705021112,-1.19705021112,-0.482962936444,-0.483129311342,1.00094824394,1.00103519896,0,0,0,0,0,0,1.00103519896,0,-0.518027009373,-0.482962936451,1.00094824395,-1.19705021112,-0.483129311342,1.00103519896,0,0,0,0.679023201744,-7.80758790953e-12,7.81485987034e-12,-0.518027009373,-0.482962936451,1.00094824395,0,-0,-0.00780758790953,0.00781485987034,-0,-0,0
0.006,-0.348572047322,-0.348572047322,-0.637423989749,-0.638681293338,0.98599603707,0.987227064616,-1.28175436968,-1.28175436968,-0.638681293333,-0.638837324146,0.987227064611,0.987333053232,0,0,0,0,0,0,0.987333053232,0,-0.348572047322,-0.638681293338,0.987227064616,-1.28175436968,-0.638837324146,0.987333053232,0,0,0,0.933182322362,-5.24924548273e-12,5.25368637483e-12,-0.348572047322,-0.638681293338,0.987227064616,0,-0,-0.00524924548273,0.00525368637483,-0,-0,0
0.0065,-0.166768746716,-0.166768746716,-0.770513242776,-0.771857432246,0.937281989492,0.938609618869,-1.3726409189,-1.3726409189,-0.771857432244,-0.772012362549,0.938609618867,0.938733017406,0,0,0,0,0,0,0.938733017406,0,-0.166768746716,-0.771857432246,0.938609618869,-1.3726409189,-0.772012362549,0.938733017406,0,0,0,1.20587217219,-2.50355292053e-12,2.50599541118e-12,-0.166768746716,-0.771857432246,0.938609618869,0,-0,-0.00250355292053,0.00250599541118,-0,-0,0
0.007,0.0209424198834,0.0209424198834,-0.876306680044,-0.877677503356,0.855364260161,0.856724641674,-1.4664865915,-1.4664865915,-0.877677503356,-0.877829660419,0.856724641674,0.856856929963,0,0,0,0,0,0,0.856856929963,0,0.0209424198834,-0.877677503356,0.856724641674,-1.4664865915,-0.877829660419,0.856856929963,0,0,0,1.48742901138,3.15747428203e-13,-3.14415160574e-13,0.0209424198834,-0.877677503356,0.856724641674,0,-0,0.000315747428203,-0.000314415160574,0,-0,0
0.0075,0.207911690818,0.207911690818,-0.951056516295,-0.952395159544,0.743144825477,0.744476878604,-1.55996461083,-1.55996461083,-0.952395159547,-0.952540162943,0.744476878608,0.744609361693,0,0,0,0,0,0,0.744609361693,0,0.207911690818,-0.952395159544,0.744476878604,-1.55996461083,-0.952540162943,0.744609361693,0,0,0,1.76787630165,3.12705417116e-12,-3.12638803734e-12,0.207911690818,-0.952395159544,0.744476878604,0,-0,0.00312705417116,-0.00312638803734,0,-0,0
0.008,0.387515586452,0.387515586452,-0.992114701314,-0.993379562506,0.604599114862,0.605859809799,-1.64976205569,-1.64976205569,-0.993379562512,-0.993514187144,0.605859809805,0.605986544049,0,0,0,0,0,0,0.605986544049,0,0.387515586452,-0.993379562506,0.605859809799,-1.64976205569,-0.993514187144,0.605986544049,0,0,0,2.03727764214,5.83000314691e-12,-5.82978110231e-12,0.387515586452,-0.993379562506,0.605859809799,0,-0,0.00583000314691,-0.00582978110231,0,-0,0
0.0085,0.553391549243,0.553391549243,-0.998026728428,-0.999174621114,0.444635179185,0.445780430314,-1.73269691476,-1.73269691476,-0.999174621123,-0.999295299725,0.445780430322,0.445896135559,0,0,0,0,0,0,0.445896135559,0,0.553391549243,-0.999174621114,0.445780430314,-1.73269691476,-0.999295299725,0.445896135559,0,0,0,2.286088464,8.32556246166e-12,-8.32545143936e-12,0.553391549243,-0.999174621114,0.445780430314,0,-0,0.00832556246166,-0.00832545143936,0,-0,0
0.009,0.699663340513,0.699663340513,-0.968583161129,-0.969572625341,0.268919820615,0.269907601983,-1.80583061721,-1.80583061721,-0.969572625351,-0.969675609341,0.269907601994,0.270007450406,0,0,0,0,0,0,0.270007450406,0,0.699663340513,-0.969572625341,0.269907601983,-1.80583061721,-0.969675609341,0.270007450406,0,0,0,2.50549395773,1.05259134742e-11,-1.05259134742e-11,0.699663340513,-0.969572625341,0.269907601983,0,-0,0.0105259134742,-0.0105259134742,0,-0,0
0.0095,0.821149209134,0.821149209134,-0.904827052466,-0.905623269975,0.0836778433323,0.0844729807377,-1.86657201101,-1.86657201101,-0.905623269988,-0.905705289602,0.0844729807501,0.0845530226173,0,0,0,0,0,0,0.0845530226173,0,0.821149209134,-0.905623269975,0.0844729807377,-1.86657201101,-0.905705289602,0.0845530226173,0,0,0,2.68772122014,1.23536736396e-11,-1.23537291508e-11,0.821149209134,-0.905623269975,0.0844729807377,0,-0,0.0123536736396,-0.0123537291508,0,-0,0
0.01,0.913545457643,0.913545457643,-0.809016994375,-0.809592088504,-0.104528463268,-0.103954070101,-1.91276907882,-1.91276907882,-0.809592088518,-0.809650509152,-0.103954070087,-0.103896897739,0,0,0,0,0,0,-0.103896897739,0,0.913545457643,-0.809592088504,-0.103954070101,-1.91276907882,-0.809650509152,-0.103896897739,0,0,0,2.82631453646,1.37437838887e-11,-1.37438810333e-11,0.913545457643,-0.809592088504,-0.103954070101,0,-0,0.0137437838887,-0.0137438810333,0,-0,-0
0.0105,0.973578902873,0.973578902873,-0.684547105929,-0.684880741583,-0.289031796944,-0.288698623278,-1.94278512587,-1.94278512587,-0.684880741597,-0.684913649426,-0.288698623264,-0.288666504098,0,0,0,0,0,0,-0.288666504098,0,0.973578902873,-0.684880741583,-0.288698623278,-1.94278512587,-0.684913649426,-0.288666504098,0,0,0,2.91636402875,1.46470613416e-11,-1.46471168527e-11,0.973578902873,-0.684880741583,-0.288698623278,0,-0,0.0146470613416,-0.0146471168527,0,-0,-0
0.011,0.999122830099,0.999122830099,-0.535826794979,-0.535907177814,-0.46329603512,-0.463215962897,-1.95555673014,-1.95555673014,-0.535907177829,-0.535913502329,-0.463215962882,-0.463210137374,0,0,0,0,0,0,-0.463210137374,0,0.999122830099,-0.535907177814,-0.463215962897,-1.95555673014,-0.535913502329,-0.463210137374,0,0,0,2.95467956024,1.50314205527e-11,-1.50314205527e-11,0.999122830099,-0.535907177814,-0.463215962897,0,-0,0.0150314205527,-0.0150314205527,0,-0,-0
0.0115,0.989272332962,1.83525555673,-0.368124552684,-0.792167462568,-0.621147780278,-1.04554224652,1.8352555559,1.94722200255,-0.792167462169,-0.850458912766,-1.04554224609,-1.10387485214,0,0,0,0,0,0,-1.10387485214,0,1.83525555673,-0.792167462568,-1.04554224652,1.94722200255,-0.850458912766,-1.10387485214,0,0,0,8.28907387174e-10,-3.99338895285e-10,-4.2910563991e-10,1.83525555673,-0.792167462568,-1.04554224652,0,-0.828907387174,-0.399338895285,-0.42910563991,0,-0,-0
0.012,0.944376370238,0.8533755964,-0.187381314586,-0.142357841457,-0.756995055652,-0.712822691824,0.853375597261,0.817863412365,-0.142357841902,-0.126267966486,-0.71282269224,-0.696825818841,0,0,0,0,0,0,-0.696825818841,0,0.8533755964,-0.142357841457,-0.712822691824,0.817863412365,-0.126267966486,-0.696825818841,0,0,0,-8.61676840991e-10,4.45216613576e-10,4.16800705061e-10,0.8533755964,-0.142357841457,-0.712822691824,-0,0.861676840991,0.445216613576,0.416800705061,0,-0,-0
0.0125,0.866025403784,0.514274342845,2.82961448932e-13,0.175872069204,-0.866025403784,-0.691473851642,0.514274342253,0.494770451861,0.175872069487,0.184435174611,-0.691473851333,-0.683052300686,0,0,0,0,0,0,-0.683052300686,0,0.514274342845,0.175872069204,-0.691473851642,0.494770451861,0.184435174611,-0.683052300686,0,0,0,5.9259919194e-10,-2.83145146218e-10,-3.09203551652e-10,0.514274342845,0.175872069204,-0.691473851642,0,-0.59259919194,-0.283145146218,-0.309203551652,0,0,-0
0.013,0.756995055652,1.27450249399,0.187381314586,-0.0709889646095,-0.944376370238,-1.20448979392,1.27450249435,1.31876868953,-0.0709889647987,-0.0939559008962,-1.20448979409,-1.22764182255,0,0,0,0,0,0,-1.22764182255,0,1.27450249399,-0.0709889646095,-1.20448979392,1.31876868953,-0.0939559008962,-1.22764182255,0,0,0,-3.55522944417e-10,1.8924245504e-10,1.66464397822e-10,1.27450249399,-0.0709889646095,-1.20448979392,-0,0.355522944417,0.18924245504,0.166464397822,0,-0,-0
0.0135,0.621147780278,0.159926799551,0.368124552685,0.599428056091,-0.989272332963,-0.760072848729,0.159926799527,0.112982861979,0.599428056093,0.622329752458,-0.760072848708,-0.737393225493,0,0,0,0,0,0,-0.737393225493,0,0.159926799551,0.599428056091,-0.760072848729,0.112982861979,0.622329752458,-0.737393225493,0,0,0,2.38838671063e-11,-2.52886600549e-12,-2.12194706251e-11,0.159926799551,0.599428056091,-0.760072848729,0,-0.0238838671063,-0.00252886600549,-0.0212194706251,0,0,-0
0.014,0.46329603512,0.774164116861,0.535826794979,0.381323909441,-0.999122830099,-1.15601607383,0.774164116809,0.809376992328,0.381323909461,0.363341996923,-1.15601607379,-1.17424917323,0,0,0,0,0,0,-1.17424917323,0,0.774164116861,0.381323909441,-1.15601607383,0.809376992328,0.363341996923,-1.17424917323,0,0,0,5.23160403887e-11,-1.91376914316e-11,-3.30788729741e-11,0.774164116861,0.381323909441,-1.15601607383,0,-0.0523160403887,-0.0191376914316,-0.0330788729741,0,0,-0
0.0145,0.289031796945,0.154029349508,0.684547105929,0.753150162403,-0.973578902873,-0.907567864102,0.154029349723,0.134771040298,0.753150162292,0.762546507839,-0.907567864205,-0.898442920894,0,0,0,0,0,0,-0.898442920894,0,0.154029349508,0.753150162403,-0.907567864102,0.134771040298,0.762546507839,-0.898442920894,0,0,0,-2.14578771418e-10,1.11674669512e-10,1.02977182337e-10,0.154029349508,0.753150162403,-0.907567864102,-0,0.214578771418,0.111674669512,0.102977182337,0,0,-0
0.015,0.104528463268,0.106146468335,0.809016994375,0.809416111977,-0.913545457643,-0.915848193665,0.10614646823,0.110762845343,0.809416112028,0.806977904342,-0.915848193611,-0.918568404309,0,0,0,0,0,0,-0.918568404309,0,0.106146468335,0.809416111977,-0.915848193665,0.110762845343,0.806977904342,-0.918568404309,0,0,0,1.050634163e-10,-5.09318143216e-11,-5.40776312619e-11,0.106146468335,0.809416111977,-0.915848193665,0,-0.1050634163,-0.0509318143216,-0.0540776312619,0,0,-0
0.0155,-0.0836778433322,-0.0081059888036,0.904827052466,0.868294085642,-0.821149209134,-0.860398150983,-0.00810598864157,-0.00354371924913,0.868294085562,0.86595493577,-0.860398151065,-0.863019914548,0,0,0,0,0,0,-0.863019914548,0,-0.0081059888036,0.868294085642,-0.860398150983,-0.00354371924913,0.86595493577,-0.863019914548,0,0,0,-1.6202487442e-10,7.97738541891e-11,8.22908408082e-11,-0.0081059888036,0.868294085642,-0.860398150983,-0,0.16202487442,0.0797738541891,0.0822908408082,-0,0,-0
0.016,-0.268919820615,-0.369174970844,0.968583161129,1.01995043499,-0.699663340513,-0.650929948323,-0.369174970847,-0.378232938938,1.019950435,1.02446943418,-0.650929948326,-0.646684161784,0,0,0,0,0,0,-0.646684161784,0,-0.369174970844,1.01995043499,-0.650929948323,-0.378232938938,1.02446943418,-0.646684161784,0,0,0,2.77883271949e-12,-5.42033085082e-12,2.67064148574e-12,-0.369174970844,1.01995043499,-0.650929948323,0,-0.00277883271949,-0.00542033085082,0.00267064148574,-0,0,-0
0.0165,-0.444635179185,-0.361631797995,0.998026728428,0.957697471065,-0.553391549243,-0.596179288352,-0.361631797942,-0.353180037728,0.957697471045,0.953490846998,-0.596179288386,-0.600640045325,0,0,0,0,0,0,-0.600640045325,0,-0.361631797995,0.957697471065,-0.596179288352,-0.353180037728,0.953490846998,-0.600640045325,0,0,0,-5.32157651278e-11,1.9929613515e-11,3.33075789172e-11,-0.361631797995,0.957697471065,-0.596179288352,-0,0.0532157651278,0.019929613515,0.0333075789172,-0,0,-0
0.017,-0.604599114862,-0.66135039091,0.992114701314,1.02154655464,-0.387515586452,-0.360279722007,-0.661350390846,-0.668007537611,1.02154655461,1.0249088641,-0.360279722048,-0.357143462921,0,0,0,0,0,0,-0.357143462921,0,-0.66135039091,1.02154655464,-0.360279722007,-0.668007537611,1.0249088641,-0.357143462921,0,0,0,-6.35785868397e-11,2.27013963183e-11,4.08929001772e-11,-0.66135039091,1.02154655464,-0.360279722007,-0,0.0635785868397,0.0227013963183,0.0408929001772,-0,0,-0
0.0175,-0.743144825477,-0.725112166276,0.951056516295,0.942937311257,-0.207911690818,-0.217886597861,-0.725112166273,-0.722315676521,0.942937311267,0.941575733237,-0.217886597874,-0.219438135788,0,0,0,0,0,0,-0.219438135788,0,-0.725112166276,0.942937311257,-0.217886597861,-0.722315676521,0.941575733237,-0.219438135788,0,0,0,-2.97695201823e-12,-9.68580771143e-12,1.26744170714e-11,-0.725112166276,0.942937311257,-0.217886597861,-0,0.00297695201823,-0.00968580771143,0.0126744170714,-0,0,-0
0.018,-0.85536426016,-0.856612108504,0.876306680044,0.877632844459,-0.0209424198834,-0.021065931435,-0.856612108447,-0.857625406993,0.877632844444,0.878170177382,-0.0210659314759,-0.0206757385211,0,0,0,0,0,0,-0.0206757385211,0,-0.856612108504,0.877632844459,-0.021065931435,-0.857625406993,0.878170177382,-0.0206757385211,0,0,0,-5.60982371667e-11,1.51848533747e-11,4.09218318953e-11,-0.856612108504,0.877632844459,-0.021065931435,-0,0.0560982371667,0.0151848533747,0.0409218318953,-0,0,-0
0.0185,-0.937281989492,-0.957507694689,0.770513242776,0.7811056231,0.166768746716,0.176368832606,-0.957507694691,-0.959079356273,0.781105623115,0.781909466974,0.176368832592,0.177073568876,0,0,0,0,0,0,0.177073568876,0,-0.957507694689,0.7811056231,0.176368832606,-0.959079356273,0.781909466974,0.177073568876,0,0,0,1.14619425062e-12,-1.46709311366e-11,1.35310374016e-11,-0.957507694689,0.7811056231,0.176368832606,0,-0.00114619425062,-0.0146709311366,0.0135310374016,-0,0,0
