time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSD2_voltage,node_BUSDS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSHG_voltage,node_BUSHR_voltage,node_BUSMS_voltage,node_BUSHS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,output_fixed_5,output_fixed_6,branch_current_branch_fixed_5,branch_current_branch_fixed_7,branch_current_branch_fixed_8,branch_current_branch_fixed_10,branch_current_branch_fixed_11,branch_current_branch_fixed_12
0.00032,10,10,12,12,9.57956698553e-13,4.78978349277e-13,1.16629236059e-12,5.83146180295e-13,9.99999957957e-13,1.19999996629e-12,10,10,9.57956698553e-13,12,12,1.16629236059e-12,1.05316259735e-12,4.20422062408e-08,1.13895738339e-12,3.37064667451e-08,4.20432594034e-08,3.37076057025e-08
0.00034,10,10,12,12,9.6574229223e-13,4.82871146115e-13,1.17324214756e-12,5.86621073782e-13,9.99999965742e-13,1.19999997324e-12,10,10,9.6574229223e-13,12,12,1.17324214756e-12,1.06172195716e-12,3.42566117904e-08,1.14574428473e-12,2.67566799334e-08,3.42576735123e-08,2.67578256777e-08
0.00036,10,10,12,12,9.7208610917e-13,4.86043054585e-13,1.1787589888e-12,5.89379494401e-13,9.99999972086e-13,1.19999997876e-12,10,10,9.7208610917e-13,12,12,1.1787589888e-12,1.06869625019e-12,2.79127942201e-08,1.151131825e-12,2.1239838826e-08,2.79138629163e-08,2.12409899578e-08
0.00038,10,10,12,12,9.77255145089e-13,4.88627572544e-13,1.18313833702e-12,5.91569168512e-13,9.99999977255e-13,1.19999998314e-12,10,10,9.77255145089e-13,12,12,1.18313833702e-12,1.07437900735e-12,2.27437577872e-08,1.15540853225e-12,1.68604907065e-08,2.27448321662e-08,1.68616461151e-08
0.0004,10,10,12,12,9.81466952048e-13,4.90733476024e-13,1.18661472687e-12,5.93307363434e-13,9.99999981467e-13,1.19999998661e-12,10,10,9.81466952048e-13,12,12,1.18661472687e-12,1.07900940199e-12,1.85319504098e-08,1.15880344421e-12,1.33841009432e-08,1.85330294192e-08,1.33852597466e-08
0.00042,10,10,12,12,9.84898794685e-13,4.92449397342e-13,1.18937433532e-12,5.94687167658e-13,9.99999984899e-13,1.19999998937e-12,10,10,9.84898794685e-13,12,12,1.18937433532e-12,1.08278231606e-12,1.51001074318e-08,1.16149837433e-12,1.06244925593e-08,1.51011902141e-08,1.06256540577e-08
0.00044,10,10,12,12,9.8769511085e-13,4.93847555425e-13,1.19156495234e-12,5.95782476172e-13,9.99999987695e-13,1.19999999156e-12,10,10,9.8769511085e-13,12,12,1.19156495234e-12,1.08585654227e-12,1.23037909885e-08,1.16363764877e-12,8.43387558282e-09,1.23048768451e-08,8.43503922047e-09
0.00046,10,10,12,12,9.89973590642e-13,4.94986795321e-13,1.19330389577e-12,5.96651947884e-13,9.99999989974e-13,1.1999999933e-12,10,10,9.89973590642e-13,12,12,1.19330389577e-12,1.08836146728e-12,1.00253109704e-08,1.16533583571e-12,6.69493220024e-09,1.00263993318e-08,6.69609753607e-09
0.00048,10,10,12,12,9.91830129693e-13,4.95915064847e-13,1.19468429416e-12,5.97342147081e-13,9.9999999183e-13,1.19999999468e-12,10,10,9.91830129693e-13,12,12,1.19468429416e-12,1.09040251725e-12,8.16877173435e-09,1.16668388102e-12,5.31453383745e-09,8.16986213687e-09,5.31570052133e-09
0.0005,10,10,12,12,9.93342865186e-13,4.96671432593e-13,1.19578007434e-12,5.97890037169e-13,9.99999993343e-13,1.19999999578e-12,10,10,9.93342865186e-13,12,12,1.19578007434e-12,1.09206559497e-12,6.65603609157e-09,1.16775397885e-12,4.21875368782e-09,6.65712815716e-09,4.21992144179e-09
